Market,Selection,Odds,matchup,timestamp
Money Line – Game,KK Buducnost Voli,1.161,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:29:15
Money Line – Game,Spartak Subotica,4.91,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:29:15
Handicap – Game,KK Buducnost Voli -10.5,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:29:15
Handicap – Game,Spartak Subotica +10.5,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:29:15
Total – Game,Over 166,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:29:15
Total – Game,Under 166,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:29:15
Total – Game,Under 166,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:39:37
Total – Game,Over 166,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:39:37
Handicap – Game,Spartak Subotica +10.5,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:39:37
Money Line – Game,Spartak Subotica,4.91,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:39:37
Money Line – Game,KK Buducnost Voli,1.161,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:39:37
Handicap – Game,KK Buducnost Voli -10.5,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:39:37
Money Line – Game,KK Buducnost Voli,1.161,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:46:06
Money Line – Game,Spartak Subotica,4.91,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:46:06
Handicap – Game,KK Buducnost Voli -10.5,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:46:06
Handicap – Game,Spartak Subotica +10.5,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:46:06
Total – Game,Over 166,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:46:06
Total – Game,Under 166,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 16:46:06
Total – Game,Over 166,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:09:38
Handicap – Game,Spartak Subotica +10.5,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:09:38
Total – Game,Under 166,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:09:38
Money Line – Game,Spartak Subotica,4.91,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:09:38
Money Line – Game,KK Buducnost Voli,1.161,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:09:38
Handicap – Game,KK Buducnost Voli -10.5,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:09:38
Money Line – Game,KK Buducnost Voli,1.161,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:22:19
Money Line – Game,Spartak Subotica,4.91,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:22:19
Handicap – Game,KK Buducnost Voli -10.5,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:22:19
Handicap – Game,Spartak Subotica +10.5,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:22:19
Total – Game,Over 166,1.925,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:22:19
Total – Game,Under 166,1.892,KK Buducnost Voli vs Spartak Subotica,2025-10-05 17:22:19
Total – Game,Under 167.5,1.934,BC Dubai vs Kk Split,2025-10-05 22:24:51
Total – Game,Over 167.5,1.884,BC Dubai vs Kk Split,2025-10-05 22:24:51
Handicap – Game,Kk Split +14.0,1.943,BC Dubai vs Kk Split,2025-10-05 22:24:51
Money Line – Game,Kk Split,7.63,BC Dubai vs Kk Split,2025-10-05 22:24:51
Money Line – Game,BC Dubai,1.073,BC Dubai vs Kk Split,2025-10-05 22:24:51
Handicap – Game,BC Dubai -14.0,1.877,BC Dubai vs Kk Split,2025-10-05 22:24:51
Money Line – Game,BC Dubai,1.073,BC Dubai vs Kk Split,2025-10-05 22:43:56
Money Line – Game,Kk Split,7.63,BC Dubai vs Kk Split,2025-10-05 22:43:56
Handicap – Game,BC Dubai -14.0,1.877,BC Dubai vs Kk Split,2025-10-05 22:43:56
Handicap – Game,Kk Split +14.0,1.943,BC Dubai vs Kk Split,2025-10-05 22:43:56
Total – Game,Over 167.5,1.884,BC Dubai vs Kk Split,2025-10-05 22:43:56
Total – Game,Under 167.5,1.934,BC Dubai vs Kk Split,2025-10-05 22:43:56
Money Line – Game,KK Krka Novo Mesto,12.45,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 22:55:38
Total – Game,Over 166.5,1.833,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 22:55:38
Handicap – Game,KK Krka Novo Mesto +21.0,1.952,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 22:55:38
Handicap – Game,KK Partizan Belgrade -21.0,1.869,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 22:55:38
Money Line – Game,KK Partizan Belgrade,1.027,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 22:55:38
Total – Game,Under 166.5,1.99,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 22:55:38
Total – Game,Over 167.5,1.884,BC Dubai vs Kk Split,2025-10-05 22:55:38
Handicap – Game,Kk Split +14.0,1.943,BC Dubai vs Kk Split,2025-10-05 22:55:38
Handicap – Game,BC Dubai -14.0,1.877,BC Dubai vs Kk Split,2025-10-05 22:55:38
Money Line – Game,Kk Split,7.63,BC Dubai vs Kk Split,2025-10-05 22:55:38
Money Line – Game,BC Dubai,1.073,BC Dubai vs Kk Split,2025-10-05 22:55:38
Total – Game,Under 167.5,1.934,BC Dubai vs Kk Split,2025-10-05 22:55:38
Total – Game,Under 166.5,1.99,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 23:02:20
Total – Game,Over 166.5,1.833,KK Partizan Belgrade vs KK Krka Novo Mesto,2025-10-05 23:02:20
