team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KK Buducnost Voli,Spartak Subotica,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-buducnost-voli-vs-spartak-subotica/1616781962/,1.161,4.91,-10.5,1.925,10.5,1.892,166.0,1.925,166.0,1.892,2025-10-05 16:29:15
KK Buducnost Voli,Spartak Subotica,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-buducnost-voli-vs-spartak-subotica/1616781962/,1.161,4.91,-10.5,1.925,10.5,1.892,166.0,1.925,166.0,1.892,2025-10-05 16:39:37
KK Buducnost Voli,Spartak Subotica,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-buducnost-voli-vs-spartak-subotica/1616781962/,1.161,4.91,-10.5,1.925,10.5,1.892,166.0,1.925,166.0,1.892,2025-10-05 16:46:06
KK Buducnost Voli,Spartak Subotica,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-buducnost-voli-vs-spartak-subotica/1616781962/,1.161,4.91,-10.5,1.925,10.5,1.892,166.0,1.925,166.0,1.892,2025-10-05 16:58:43
KK Buducnost Voli,Spartak Subotica,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-buducnost-voli-vs-spartak-subotica/1616781962/,1.161,4.91,-10.5,1.925,10.5,1.892,166.0,1.925,166.0,1.892,2025-10-05 17:09:38
KK Buducnost Voli,Spartak Subotica,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-buducnost-voli-vs-spartak-subotica/1616781962/,1.161,4.91,-10.5,1.925,10.5,1.892,166.0,1.925,166.0,1.892,2025-10-05 17:22:19
KK Buducnost Voli,Spartak Subotica,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-buducnost-voli-vs-spartak-subotica/1616781962/,1.161,4.91,-10.5,1.925,10.5,1.892,166.0,1.925,166.0,1.892,2025-10-05 17:30:43
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 22:24:51
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 22:43:56
KK Partizan Belgrade,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-partizan-belgrade-vs-kk-krka-novo-mesto/1616864336/,1.027,12.45,-21.0,1.869,21.0,1.952,166.5,1.833,166.5,1.99,2025-10-05 22:55:38
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 22:55:38
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 23:02:20
KK Partizan Belgrade,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-partizan-belgrade-vs-kk-krka-novo-mesto/1616864336/,1.027,12.45,-21.0,1.869,21.0,1.952,166.5,1.833,166.5,1.99,2025-10-05 23:02:20
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 23:22:16
KK Partizan Belgrade,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-partizan-belgrade-vs-kk-krka-novo-mesto/1616864336/,1.027,12.45,-21.0,1.869,21.0,1.952,166.5,1.833,166.5,1.99,2025-10-05 23:22:16
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 23:27:39
KK Partizan Belgrade,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-partizan-belgrade-vs-kk-krka-novo-mesto/1616864336/,1.027,12.45,-21.0,1.869,21.0,1.952,166.5,1.833,166.5,1.99,2025-10-05 23:27:39
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 23:41:39
KK Partizan Belgrade,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-partizan-belgrade-vs-kk-krka-novo-mesto/1616864336/,1.027,12.45,-21.0,1.869,21.0,1.952,166.5,1.833,166.5,1.99,2025-10-05 23:41:39
KK Partizan Belgrade,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-partizan-belgrade-vs-kk-krka-novo-mesto/1616864336/,1.027,12.45,-21.0,1.869,21.0,1.952,166.5,1.833,166.5,1.99,2025-10-05 23:47:47
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 23:47:47
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-05 23:55:56
KK Partizan Belgrade,KK Krka Novo Mesto,https://www.pinnacle.com/en/basketball/aba-adriatic-league/kk-partizan-belgrade-vs-kk-krka-novo-mesto/1616864336/,1.027,12.45,-21.0,1.869,21.0,1.952,166.5,1.833,166.5,1.99,2025-10-05 23:55:56
BC Dubai,Kk Split,https://www.pinnacle.com/en/basketball/aba-adriatic-league/bc-dubai-vs-kk-split/1616851777/,1.073,7.63,-14.0,1.877,14.0,1.943,167.5,1.884,167.5,1.934,2025-10-06 00:00:32
