team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,150.5,1.826,150.5,1.84,2025-10-06 23:24:06
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,150.5,1.826,150.5,1.84,2025-10-06 23:56:57
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,150.5,1.826,150.5,1.84,2025-10-07 00:07:38
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 00:07:38
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,150.5,1.826,150.5,1.84,2025-10-07 01:52:04
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 01:52:04
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,149.0,1.847,149.0,1.819,2025-10-07 03:57:12
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 03:57:12
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 04:07:37
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,149.5,1.793,149.5,1.877,2025-10-07 04:07:37
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,148.0,1.826,148.0,1.84,2025-10-07 04:31:34
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 04:31:34
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,148.0,1.826,148.0,1.84,2025-10-07 04:46:54
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 04:46:54
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,148.0,1.826,148.0,1.84,2025-10-07 04:59:27
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 04:59:27
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 05:08:30
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.84,1.826,1.5,1.763,-1.5,1.909,148.0,1.826,148.0,1.84,2025-10-07 05:08:30
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.833,1.833,1.5,1.757,-1.5,1.909,146.0,1.819,146.0,1.847,2025-10-07 05:27:40
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 05:27:40
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.833,1.833,1.5,1.757,-1.5,1.909,146.5,1.869,146.5,1.793,2025-10-07 05:56:55
KK MZT Skopje Aerodrom,KK Vrsac,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-mzt-skopje-aerodrom-vs-kk-vrsac/1617071217/,1.409,2.55,-4.0,1.854,4.0,1.813,157.5,1.84,157.5,1.826,2025-10-07 05:56:55
Kk Podgorica,KK Borac Banja Luka,https://www.pinnacle.com/en/basketball/aba-liga-2/kk-podgorica-vs-kk-borac-banja-luka/1616620558/,1.833,1.833,1.5,1.757,-1.5,1.909,146.5,1.869,146.5,1.793,2025-10-07 06:06:00
