Market,Selection,Odds,matchup,timestamp
Money Line – Game,ZKK Brod Na Savi,1.121,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 10:32:30
Money Line – Game,Kk Podgorica,3.9,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 10:32:30
Handicap – Game,ZKK Brod Na Savi -10.5,1.806,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 10:32:30
Handicap – Game,Kk Podgorica +10.5,1.793,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 10:32:30
Total – Game,Over 131.5,1.74,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 10:32:30
Total – Game,Under 131.5,1.862,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 10:32:30
Total – Game,Under 131.5,1.862,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:44:03
Handicap – Game,Kk Podgorica +10.5,1.793,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:44:03
Total – Game,Over 131.5,1.74,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:44:03
Money Line – Game,Kk Podgorica,3.9,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:44:03
Money Line – Game,ZKK Brod Na Savi,1.121,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:44:03
Handicap – Game,ZKK Brod Na Savi -10.5,1.806,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:44:03
Money Line – Game,ZKK Brod Na Savi,1.121,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:56:09
Money Line – Game,Kk Podgorica,3.9,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:56:09
Handicap – Game,ZKK Brod Na Savi -10.5,1.806,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:56:09
Handicap – Game,Kk Podgorica +10.5,1.793,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:56:09
Total – Game,Over 131.5,1.74,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:56:09
Total – Game,Under 131.5,1.862,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 11:56:09
Total – Game,Over 131.5,1.74,ZKK Brod Na Savi vs Kk Podgorica,2025-10-27 12:07:31
