Market,Selection,Odds,matchup,timestamp
Money Line – Game,Rilski Sportist,5.29,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 137,2.11,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 137.5,1.649,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 137.5,2.06,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 138,1.684,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 138,2.0,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 138.5,1.729,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 138.5,1.952,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 139,1.775,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 139,1.892,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 139.5,1.826,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 139.5,1.84,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 140,1.884,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 140,1.787,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 140.5,1.934,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 140.5,1.74,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 141,1.99,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 141,1.699,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 141.5,2.04,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 141.5,1.657,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 137,1.613,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -9.0,1.478,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +9.0,2.34,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -9.5,1.518,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Money Line – Game,ZKK Celje,1.07,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +14.0,1.595,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -14.0,2.12,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +13.5,1.641,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -13.5,2.05,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +13.0,1.694,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -13.0,1.97,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +12.5,1.757,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -12.5,1.9,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Over 142,2.1,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +12.0,1.826,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +11.5,1.917,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -11.5,1.757,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +11.0,2.0,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -11.0,1.684,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +10.5,2.08,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -10.5,1.621,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +10.0,2.17,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -10.0,1.564,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,Rilski Sportist +9.5,2.25,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Celje -12.0,1.833,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Total – Game,Under 142,1.625,Rilski Sportist vs ZKK Celje,2025-10-09 03:05:50
Handicap – Game,ZKK Buducnost -35.0,1.555,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Orlovi +35.0,2.18,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Buducnost -35.5,1.598,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Orlovi +35.5,2.11,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Buducnost -36.0,1.649,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Orlovi +36.0,2.03,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Buducnost -36.5,1.709,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Orlovi +36.5,1.961,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Buducnost -37.0,1.781,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Orlovi +37.0,1.884,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Buducnost -37.5,1.862,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Orlovi +37.5,1.806,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Buducnost -38.0,1.943,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
Handicap – Game,ZKK Orlovi +38.0,1.729,ZKK Buducnost vs ZKK Orlovi,2025-11-24 00:05:45
