team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Rilski Sportist,ZKK Celje,https://www.pinnacle.com/en/basketball/adriatic-league-women/rilski-sportist-vs-zkk-celje/1617137030/,5.29,1.07,11.5,1.917,-11.5,1.757,139.5,1.826,139.5,1.84,2025-10-09 03:05:50
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-23 23:29:14
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-23 23:50:40
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-24 00:05:45
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-24 03:45:51
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-24 05:32:04
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-24 05:51:35
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-24 06:43:30
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-24 07:48:06
ZKK Buducnost,ZKK Orlovi,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-buducnost-vs-zkk-orlovi/1619697443/,,,-37.5,1.862,37.5,1.806,146.0,1.84,146.0,1.826,2025-11-24 08:01:24
Montana 2003 BC,Zkk Zagreb,https://www.pinnacle.com/en/basketball/adriatic-league-women/montana-2003-bc-vs-zkk-zagreb/1623498561/,1.031,6.8,-16.0,1.84,16.0,1.826,140.5,1.892,140.5,1.781,2026-02-09 04:11:06
Montana 2003 BC,Zkk Zagreb,https://www.pinnacle.com/en/basketball/adriatic-league-women/montana-2003-bc-vs-zkk-zagreb/1623498561/,1.031,6.8,-16.0,1.84,16.0,1.826,140.5,1.892,140.5,1.781,2026-02-09 06:51:33
Montana 2003 BC,Zkk Zagreb,https://www.pinnacle.com/en/basketball/adriatic-league-women/montana-2003-bc-vs-zkk-zagreb/1623498561/,1.027,8.98,-18.5,1.884,18.5,1.854,138.0,1.847,138.0,1.892,2026-02-09 11:34:55
Montana 2003 BC,Zkk Zagreb,https://www.pinnacle.com/en/basketball/adriatic-league-women/montana-2003-bc-vs-zkk-zagreb/1623498561/,1.027,8.98,-18.5,1.884,18.5,1.854,138.0,1.847,138.0,1.892,2026-02-09 12:35:15
Montana 2003 BC,Zkk Zagreb,https://www.pinnacle.com/en/basketball/adriatic-league-women/montana-2003-bc-vs-zkk-zagreb/1623498561/,1.028,8.94,-18.5,1.9,18.5,1.84,138.0,1.854,138.0,1.884,2026-02-09 15:02:47
Zkk Zagreb,KK Partizan Belgrade,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-zagreb-vs-kk-partizan-belgrade/1624469151/,3.08,1.317,6.0,1.854,-6.0,1.884,136.5,1.9,136.5,1.84,2026-02-26 11:57:59
Zkk Zagreb,KK Partizan Belgrade,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-zagreb-vs-kk-partizan-belgrade/1624469151/,3.09,1.315,6.0,1.877,-6.0,1.862,142.5,1.952,142.5,1.787,2026-02-26 12:51:41
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.012,8.45,-21.0,1.869,21.0,1.8,143.0,1.826,143.0,1.84,2026-03-03 01:31:21
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.011,8.56,-21.5,1.892,21.5,1.781,145.5,1.819,145.5,1.847,2026-03-03 03:59:20
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.01,8.71,-21.5,1.833,21.5,1.833,150.0,1.909,150.0,1.763,2026-03-03 05:15:07
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.013,8.37,-20.5,1.826,20.5,1.84,142.0,1.813,142.0,1.854,2026-03-03 06:07:20
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.011,8.59,-21.5,1.877,21.5,1.793,146.0,1.819,146.0,1.847,2026-03-03 07:13:26
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.011,8.61,-21.5,1.833,21.5,1.833,142.5,1.806,142.5,1.862,2026-03-03 09:29:21
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.011,8.61,-21.5,1.833,21.5,1.833,142.5,1.806,142.5,1.862,2026-03-03 10:08:15
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.012,8.53,-21.5,1.869,21.5,1.793,141.5,1.862,141.5,1.806,2026-03-03 11:03:30
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.017,10.45,-21.5,1.909,21.5,1.826,141.5,1.9,141.5,1.84,2026-03-03 11:41:41
ZKK Celje,Rilski Sportist,https://www.pinnacle.com/en/basketball/adriatic-league-women/zkk-celje-vs-rilski-sportist/1624804776/,1.017,10.44,-21.5,1.909,21.5,1.833,141.5,1.892,141.5,1.847,2026-03-03 12:04:00
