Market,Selection,Odds,matchup,timestamp
Handicap – Game,SK Tirana +20.5,1.819,SK Tirana vs Beselidhja,2025-10-06 01:55:39
Handicap – Game,Beselidhja -20.5,1.781,SK Tirana vs Beselidhja,2025-10-06 01:55:39
Total – Game,Over 172.5,1.813,SK Tirana vs Beselidhja,2025-10-06 01:55:39
Total – Game,Under 172.5,1.787,SK Tirana vs Beselidhja,2025-10-06 01:55:39
Handicap – Game,SK Tirana +20.5,1.819,SK Tirana vs Beselidhja,2025-10-06 03:09:06
Handicap – Game,Beselidhja -20.5,1.781,SK Tirana vs Beselidhja,2025-10-06 03:09:06
Total – Game,Over 172.5,1.813,SK Tirana vs Beselidhja,2025-10-06 03:09:06
Total – Game,Under 172.5,1.787,SK Tirana vs Beselidhja,2025-10-06 03:09:06
Total – Game,Under 172.5,1.787,SK Tirana vs Beselidhja,2025-10-06 03:16:55
Total – Game,Over 172.5,1.813,SK Tirana vs Beselidhja,2025-10-06 03:16:55
Handicap – Game,SK Tirana +20.5,1.819,SK Tirana vs Beselidhja,2025-10-06 03:16:55
Handicap – Game,Beselidhja -20.5,1.781,SK Tirana vs Beselidhja,2025-10-06 03:16:55
Handicap – Game,SK Tirana +20.5,1.819,SK Tirana vs Beselidhja,2025-10-06 03:59:09
Handicap – Game,Beselidhja -20.5,1.781,SK Tirana vs Beselidhja,2025-10-06 03:59:09
Total – Game,Over 172.5,1.813,SK Tirana vs Beselidhja,2025-10-06 03:59:09
Total – Game,Under 172.5,1.787,SK Tirana vs Beselidhja,2025-10-06 03:59:09
Handicap – Game,SK Tirana +20.5,1.819,SK Tirana vs Beselidhja,2025-10-06 04:04:44
Handicap – Game,Beselidhja -20.5,1.781,SK Tirana vs Beselidhja,2025-10-06 04:04:44
Total – Game,Over 172.5,1.813,SK Tirana vs Beselidhja,2025-10-06 04:04:44
Total – Game,Under 172.5,1.787,SK Tirana vs Beselidhja,2025-10-06 04:04:44
Total – Game,Under 172.5,1.787,SK Tirana vs Beselidhja,2025-10-06 04:33:03
Total – Game,Over 172.5,1.813,SK Tirana vs Beselidhja,2025-10-06 04:33:03
