team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 01:55:39
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 03:09:06
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 03:16:55
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 03:59:09
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 04:04:44
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 04:33:03
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 04:40:00
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 04:48:36
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 04:53:45
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 05:27:33
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 05:35:50
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 05:45:03
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 05:58:08
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 06:39:27
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 06:59:13
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 07:07:07
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 07:45:11
SK Tirana,Beselidhja,https://www.pinnacle.com/en/basketball/albania-superleague/sk-tirana-vs-beselidhja/1617061211/,,,20.5,1.819,-20.5,1.781,172.5,1.813,172.5,1.787,2025-10-06 07:57:17
