Market,Selection,Odds,matchup,timestamp
Money Line – Game,Union de Mar Del Plata,1.961,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 148.5,2.16,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 149,1.68,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 149,2.11,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 149.5,1.714,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 149.5,2.05,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 150,1.757,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 150,1.99,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 150.5,1.806,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 151,1.862,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 148.5,1.641,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 151,1.877,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 151.5,1.826,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 152,1.97,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 152,1.781,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 152.5,2.02,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 152.5,1.735,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 153,2.08,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 153,1.694,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 153.5,2.13,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 153.5,1.657,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Over 151.5,1.917,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata +2.5,1.581,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 150.5,1.934,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata +2.0,1.625,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata -2.5,2.24,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata +4.0,1.581,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata -4.0,2.24,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata +3.5,1.625,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata -3.5,2.16,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata +3.0,1.675,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata -3.0,2.08,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata +2.5,1.74,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata -2.5,2.0,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata +2.0,1.806,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Money Line – Game,Gimnasia y Esgrima La Plata,1.781,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata +1.5,1.877,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata -2.0,1.934,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata +1.5,1.671,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata -1.5,2.09,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata +1.0,1.709,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata -2.0,2.16,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata -1.0,1.806,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata +1.0,1.934,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Gimnasia y Esgrima La Plata -1.5,1.862,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Handicap – Game,Union de Mar Del Plata -1.0,2.04,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:03:56
Total – Game,Under 154,1.892,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:22:11
Total – Game,Over 152.5,1.714,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:22:11
Total – Game,Under 152.5,2.05,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:22:11
Total – Game,Over 153,1.757,Union de Mar Del Plata vs Gimnasia y Esgrima La Plata,2025-11-02 21:22:11
