team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.925,1.746,1.5,1.84,-1.5,1.826,151.0,1.826,151.0,1.84,2025-11-02 18:33:46
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 18:56:22
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 19:09:11
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 19:19:37
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 19:27:33
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 19:56:04
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 20:27:09
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 20:43:23
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 20:55:50
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 21:03:56
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 21:22:11
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.877,-1.5,1.862,151.0,1.862,151.0,1.877,2025-11-02 21:30:54
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.884,-1.5,1.854,154.5,1.917,154.5,1.819,2025-11-02 21:41:50
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.884,-1.5,1.854,154.5,1.917,154.5,1.819,2025-11-02 21:56:22
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.884,-1.5,1.854,154.5,1.917,154.5,1.819,2025-11-02 22:09:22
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.884,-1.5,1.854,154.5,1.917,154.5,1.819,2025-11-02 22:24:39
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.884,-1.5,1.854,154.5,1.917,154.5,1.819,2025-11-02 22:44:17
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.884,-1.5,1.854,154.5,1.917,154.5,1.819,2025-11-02 22:56:50
Union de Mar Del Plata,Gimnasia y Esgrima La Plata,https://www.pinnacle.com/en/basketball/argentina-la-liga/union-de-mar-del-plata-vs-gimnasia-y-esgrima-la-plata/1618834771/,1.961,1.781,1.5,1.884,-1.5,1.854,154.5,1.934,154.5,1.806,2025-11-02 23:05:13
CSD Comunicaciones,Independiente Bbc de Santiago Del Estero,https://www.pinnacle.com/en/basketball/argentina-la-liga/csd-comunicaciones-vs-independiente-bbc-de-santiago-del-estero/1618825026/,1.179,4.09,-9.5,1.925,9.5,1.819,152.0,1.854,152.0,1.884,2025-11-02 23:25:10
CSD Comunicaciones,Independiente Bbc de Santiago Del Estero,https://www.pinnacle.com/en/basketball/argentina-la-liga/csd-comunicaciones-vs-independiente-bbc-de-santiago-del-estero/1618825026/,1.161,4.3,-9.5,1.925,9.5,1.819,152.0,1.862,152.0,1.877,2025-11-02 23:43:09
CSD Comunicaciones,Independiente Bbc de Santiago Del Estero,https://www.pinnacle.com/en/basketball/argentina-la-liga/csd-comunicaciones-vs-independiente-bbc-de-santiago-del-estero/1618825026/,1.161,4.3,-9.5,1.925,9.5,1.819,152.0,1.862,152.0,1.877,2025-11-02 23:52:27
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.505,2.44,-4.0,1.9,4.0,1.84,155.0,1.862,155.0,1.877,2025-11-07 19:42:26
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.505,2.44,-4.0,1.9,4.0,1.84,155.0,1.862,155.0,1.877,2025-11-07 19:51:38
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.505,2.44,-4.0,1.9,4.0,1.84,155.0,1.862,155.0,1.877,2025-11-07 20:44:21
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.505,2.44,-4.0,1.9,4.0,1.84,155.0,1.862,155.0,1.877,2025-11-07 20:57:18
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.505,2.44,-4.0,1.9,4.0,1.84,155.0,1.862,155.0,1.877,2025-11-07 21:07:01
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.505,2.44,-4.0,1.9,4.0,1.84,155.0,1.862,155.0,1.877,2025-11-07 21:21:27
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.483,2.49,-4.0,1.869,4.0,1.869,155.0,1.862,155.0,1.877,2025-11-07 21:55:53
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.483,2.49,-4.0,1.869,4.0,1.869,155.0,1.862,155.0,1.877,2025-11-07 22:25:34
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.483,2.49,-4.0,1.869,4.0,1.869,155.0,1.862,155.0,1.877,2025-11-07 22:35:19
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.483,2.49,-4.0,1.869,4.0,1.869,155.0,1.862,155.0,1.877,2025-11-07 22:45:44
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.483,2.49,-4.0,1.869,4.0,1.869,155.0,1.862,155.0,1.877,2025-11-07 22:57:57
Gimnasia y Esgrima La Plata,Provincial de Rosario,https://www.pinnacle.com/en/basketball/argentina-la-liga/gimnasia-y-esgrima-la-plata-vs-provincial-de-rosario/1619179250/,1.495,2.46,-4.0,1.869,4.0,1.869,155.0,1.869,155.0,1.869,2025-11-07 23:24:11
Bochas,Amancay de la Rioja,https://www.pinnacle.com/en/basketball/argentina-la-liga/bochas-vs-amancay-de-la-rioja/1619446652/,1.552,2.22,-3.5,1.917,3.5,1.751,156.0,1.84,156.0,1.826,2025-11-09 22:24:30
Bochas,Amancay de la Rioja,https://www.pinnacle.com/en/basketball/argentina-la-liga/bochas-vs-amancay-de-la-rioja/1619446652/,1.502,2.32,-3.5,1.862,3.5,1.806,156.0,1.84,156.0,1.826,2025-11-09 22:44:44
Bochas,Amancay de la Rioja,https://www.pinnacle.com/en/basketball/argentina-la-liga/bochas-vs-amancay-de-la-rioja/1619446652/,1.526,2.27,-3.5,1.892,3.5,1.781,156.0,1.84,156.0,1.826,2025-11-09 22:58:01
