Market,Selection,Odds,matchup,timestamp
Money Line – Game,San Lorenzo de Almagro,1.581,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +9.5,2.21,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -10.0,1.645,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +10.0,2.13,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -10.5,1.704,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +10.5,2.05,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -11.0,1.775,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +11.0,1.97,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -11.5,1.854,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +11.5,1.884,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -12.0,1.934,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +12.0,1.806,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -12.5,2.01,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +12.5,1.735,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -13.0,2.09,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +13.0,1.671,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -13.5,2.17,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +13.5,1.621,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -14.0,2.24,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +14.0,1.578,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -9.5,1.595,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,Club Atletico Penarol MDP +9.0,2.29,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Handicap – Game,IA Central Cordoba -9.0,1.552,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 141.5,1.662,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 146.5,1.636,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 146.5,2.17,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 146,1.675,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 146,2.11,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 145.5,1.714,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 145.5,2.06,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 145,1.751,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 145,2.0,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 144.5,1.943,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Money Line – Game,IA Central Cordoba,1.219,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 144,1.854,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 143.5,1.909,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 143.5,1.833,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 143,1.961,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 143,1.781,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 142.5,2.02,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 142.5,1.74,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 142,2.07,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 142,1.699,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 141.5,2.13,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 144,1.884,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Money Line – Game,Club Atletico Penarol MDP,3.71,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Under 144.5,1.8,Club Atletico Penarol MDP vs IA Central Cordoba,2025-10-12 18:32:49
Total – Game,Over 151,2.21,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Martin Corrientes +5.0,1.641,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Lorenzo de Almagro -5.0,2.13,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Martin Corrientes +4.5,1.699,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Lorenzo de Almagro -4.5,2.05,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Martin Corrientes +4.0,1.769,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Lorenzo de Almagro -4.0,1.97,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Martin Corrientes +3.5,1.847,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Lorenzo de Almagro -3.5,1.892,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Martin Corrientes +3.0,1.925,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Lorenzo de Almagro -3.0,1.806,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Lorenzo de Almagro -2.5,1.735,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Martin Corrientes +2.0,2.07,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Lorenzo de Almagro -2.0,1.68,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
Handicap – Game,San Martin Corrientes +1.5,2.14,San Lorenzo de Almagro vs San Martin Corrientes,2025-10-12 18:32:49
