team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Penarol Mar Del Plata,Asociacion Atletica Quimsa,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/penarol-mar-del-plata-vs-asociacion-atletica-quimsa/1617064653/,2.21,1.675,2.5,1.934,-2.5,1.884,161.0,1.917,161.0,1.9,2025-10-08 22:34:02
Obras Sanitarias,Ciclista Olimpico de La Banda,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/obras-sanitarias-vs-ciclista-olimpico-de-la-banda/1616725562/,1.303,3.43,-6.5,1.892,6.5,1.925,159.0,1.826,159.0,2.0,2025-10-08 22:34:02
Penarol Mar Del Plata,Asociacion Atletica Quimsa,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/penarol-mar-del-plata-vs-asociacion-atletica-quimsa/1617064653/,2.21,1.675,2.5,1.934,-2.5,1.884,161.0,1.917,161.0,1.9,2025-10-08 22:43:47
Obras Sanitarias,Ciclista Olimpico de La Banda,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/obras-sanitarias-vs-ciclista-olimpico-de-la-banda/1616725562/,1.294,3.49,-6.5,1.862,6.5,1.961,159.5,1.884,159.5,1.934,2025-10-08 22:43:47
Penarol Mar Del Plata,Asociacion Atletica Quimsa,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/penarol-mar-del-plata-vs-asociacion-atletica-quimsa/1617064653/,2.21,1.675,2.5,1.934,-2.5,1.884,161.0,1.917,161.0,1.9,2025-10-08 22:56:17
Obras Sanitarias,Ciclista Olimpico de La Banda,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/obras-sanitarias-vs-ciclista-olimpico-de-la-banda/1616725562/,1.294,3.49,-6.5,1.862,6.5,1.961,159.5,1.884,159.5,1.934,2025-10-08 22:56:17
Obera Tenis Club,La Union Formosa,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/obera-tenis-club-vs-la-union-formosa/1617065154/,1.404,2.92,-5.0,1.9,5.0,1.917,164.0,2.0,164.0,1.826,2025-10-08 23:23:57
Argentino Junin,Asociacion Deportiva Atenas,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/argentino-junin-vs-asociacion-deportiva-atenas/1617065158/,2.31,1.621,3.5,1.877,-3.5,1.943,158.5,1.99,158.5,1.833,2025-10-08 23:23:57
Argentino Junin,Asociacion Deportiva Atenas,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/argentino-junin-vs-asociacion-deportiva-atenas/1617065158/,2.31,1.621,3.5,1.877,-3.5,1.943,158.5,1.99,158.5,1.833,2025-10-08 23:42:40
Obera Tenis Club,La Union Formosa,https://www.pinnacle.com/en/basketball/argentina-liga-nacional/obera-tenis-club-vs-la-union-formosa/1617065154/,1.404,2.92,-5.0,1.9,5.0,1.917,164.0,2.0,164.0,1.826,2025-10-08 23:42:40
