Market,Selection,Odds,matchup,timestamp
Money Line – Game,Club Nautico Sportivo Avellaneda,1.806,Club Nautico Sportivo Avellaneda vs Asociacion Atletica Quimsa,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +10.5,2.1,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -10.5,1.666,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +10.0,2.18,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -10.0,1.613,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +9.5,2.27,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -9.5,1.564,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +9.0,2.35,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -9.0,1.523,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Money Line – Game,Tomas Rocamora,5.04,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Money Line – Game,Ferro Carril Oeste,1.115,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 123,1.628,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 123,2.09,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 122.5,1.662,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 122.5,2.04,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 122,1.699,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 122,1.98,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 121.5,1.746,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 118,2.12,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 118.5,1.645,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 118.5,2.06,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 119,1.68,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 119,2.01,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 119.5,1.724,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -11.0,1.735,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 119.5,1.952,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 120,1.9,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 120.5,1.854,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 120.5,1.884,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 121,1.877,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Under 121,1.793,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 121.5,1.934,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 120,1.769,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Total – Game,Over 118,1.609,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -11.5,1.813,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -12.0,1.884,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 134,1.662,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 134,2.13,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 133.5,1.699,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 133.5,2.08,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 133,1.735,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 133,2.02,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 132.5,1.781,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 132.5,1.97,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 132,1.826,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 132,1.909,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 131.5,1.884,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 131.5,1.854,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 131,1.934,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 131,1.806,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 130.5,2.0,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 130.5,1.757,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 130,2.05,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +12.0,1.847,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -12.5,1.961,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +12.5,1.769,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -13.0,2.03,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +13.0,1.709,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -13.5,2.11,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +11.5,1.934,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +13.5,1.653,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +14.0,1.609,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 129,1.641,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 129,2.16,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 129.5,1.675,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Under 129.5,2.11,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Total – Game,Over 130,1.714,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Ferro Carril Oeste -14.0,2.19,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Bigua de Neuquen +1.0,1.502,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
Handicap – Game,Tomas Rocamora +11.0,2.02,Ferro Carril Oeste vs Tomas Rocamora,2025-10-18 22:30:58
Handicap – Game,Bigua de Neuquen -1.0,1.558,CA Lanus vs Bigua de Neuquen,2025-10-18 22:30:58
