team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
River Plate,Club Sportivo Pilar,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/river-plate-vs-club-sportivo-pilar/1626327150/,1.052,5.02,-12.0,1.793,12.0,1.8,144.5,1.813,144.5,1.787,2026-03-16 17:46:29
River Plate,Club Sportivo Pilar,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/river-plate-vs-club-sportivo-pilar/1626327150/,1.052,5.02,-12.0,1.793,12.0,1.8,144.5,1.813,144.5,1.787,2026-03-16 17:55:26
River Plate,Club Sportivo Pilar,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/river-plate-vs-club-sportivo-pilar/1626327150/,1.052,5.02,-12.0,1.793,12.0,1.8,144.5,1.813,144.5,1.787,2026-03-16 19:54:37
River Plate,Club Sportivo Pilar,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/river-plate-vs-club-sportivo-pilar/1626327150/,1.078,5.1,-10.5,1.806,10.5,1.862,144.5,1.869,144.5,1.8,2026-03-16 20:09:54
River Plate,Club Sportivo Pilar,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/river-plate-vs-club-sportivo-pilar/1626327150/,1.079,5.09,-10.5,1.813,10.5,1.854,144.5,1.869,144.5,1.8,2026-03-16 21:40:58
River Plate,Club Sportivo Pilar,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/river-plate-vs-club-sportivo-pilar/1626327150/,1.079,5.09,-10.5,1.813,10.5,1.854,144.5,1.869,144.5,1.8,2026-03-16 22:08:52
River Plate,Club Sportivo Pilar,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/river-plate-vs-club-sportivo-pilar/1626327150/,1.076,5.16,-10.5,1.769,10.5,1.9,144.5,1.862,144.5,1.806,2026-03-16 22:54:17
Nautico Hacoaj,Social Alejandro Korn,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/nautico-hacoaj-vs-social-alejandro-korn/1626563826/,1.429,2.49,-4.5,1.854,4.5,1.813,140.5,1.84,140.5,1.826,2026-03-20 20:28:32
Ateneo Popular Versalles,Independiente Avellaneda,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/ateneo-popular-versalles-vs-independiente-avellaneda/1626545887/,2.02,1.675,2.5,1.813,-2.5,1.854,139.5,1.862,139.5,1.806,2026-03-20 20:28:32
Ateneo Popular Versalles,Independiente Avellaneda,https://www.pinnacle.com/en/basketball/argentina-torneo-federal/ateneo-popular-versalles-vs-independiente-avellaneda/1626545887/,2.02,1.675,2.5,1.813,-2.5,1.854,139.5,1.862,139.5,1.806,2026-03-20 21:17:44
