team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.641,2.24,-3.0,1.925,3.0,1.862,179.5,1.98,179.5,1.819,2025-09-18 01:53:03
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.649,2.22,-3.0,1.934,3.0,1.854,179.5,1.98,179.5,1.819,2025-09-18 03:06:24
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.649,2.22,-3.0,1.934,3.0,1.854,179.5,1.98,179.5,1.819,2025-09-18 03:15:34
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.641,2.24,-3.0,1.925,3.0,1.862,179.5,1.97,179.5,1.819,2025-09-18 03:47:22
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.653,2.26,-3.0,1.943,3.0,1.877,179.5,1.99,179.5,1.833,2025-09-18 03:59:56
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.653,2.26,-3.0,1.943,3.0,1.877,179.5,1.99,179.5,1.833,2025-09-18 04:05:33
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.653,2.26,-3.0,1.943,3.0,1.877,179.5,1.99,179.5,1.833,2025-09-18 04:36:12
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.666,2.24,-3.0,1.961,3.0,1.862,179.5,1.952,179.5,1.869,2025-09-18 04:49:25
Tasmania Jackjumpers,Melbourne United,https://www.pinnacle.com/en/basketball/australia-nbl/tasmania-jackjumpers-vs-melbourne-united/1615405923/,1.662,2.24,-3.0,1.952,3.0,1.862,179.5,1.961,179.5,1.862,2025-09-18 05:47:21
Melbourne United,SE Melbourne Phoenix,https://www.pinnacle.com/en/basketball/australia-nbl/melbourne-united-vs-se-melbourne-phoenix/1615972622/,1.636,2.25,-3.0,1.9,3.0,1.884,188.0,1.862,188.0,1.925,2025-09-24 23:58:48
Melbourne United,SE Melbourne Phoenix,https://www.pinnacle.com/en/basketball/australia-nbl/melbourne-united-vs-se-melbourne-phoenix/1615972622/,1.52,2.51,-4.0,1.892,4.0,1.892,189.5,1.892,189.5,1.892,2025-09-25 01:55:20
Melbourne United,SE Melbourne Phoenix,https://www.pinnacle.com/en/basketball/australia-nbl/melbourne-united-vs-se-melbourne-phoenix/1615972622/,1.52,2.51,-4.0,1.892,4.0,1.892,189.5,1.892,189.5,1.892,2025-09-25 02:06:30
Melbourne United,SE Melbourne Phoenix,https://www.pinnacle.com/en/basketball/australia-nbl/melbourne-united-vs-se-melbourne-phoenix/1615972622/,1.571,2.38,-3.5,1.892,3.5,1.892,189.5,1.892,189.5,1.892,2025-09-25 03:08:31
Melbourne United,SE Melbourne Phoenix,https://www.pinnacle.com/en/basketball/australia-nbl/melbourne-united-vs-se-melbourne-phoenix/1615972622/,1.571,2.38,-3.5,1.892,3.5,1.892,189.5,1.892,189.5,1.892,2025-09-25 03:17:57
Melbourne United,SE Melbourne Phoenix,https://www.pinnacle.com/en/basketball/australia-nbl/melbourne-united-vs-se-melbourne-phoenix/1615972622/,1.581,2.41,-3.5,1.909,3.5,1.909,189.5,1.909,189.5,1.909,2025-09-25 04:02:54
Melbourne United,SE Melbourne Phoenix,https://www.pinnacle.com/en/basketball/australia-nbl/melbourne-united-vs-se-melbourne-phoenix/1615972622/,1.584,2.4,-3.5,1.909,3.5,1.909,189.5,1.925,189.5,1.892,2025-09-25 04:36:10
