Market,Selection,Odds,matchup,timestamp
Money Line – Game,Sydney Uni Flames,1.564,Sydney Uni Flames vs Southside Flyers,2025-10-23 23:50:14
Money Line – Game,Southside Flyers,2.3,Sydney Uni Flames vs Southside Flyers,2025-10-23 23:50:14
Handicap – Game,Sydney Uni Flames -3.5,1.9,Sydney Uni Flames vs Southside Flyers,2025-10-23 23:50:14
Handicap – Game,Southside Flyers +3.5,1.84,Sydney Uni Flames vs Southside Flyers,2025-10-23 23:50:14
Total – Game,Over 154,1.917,Sydney Uni Flames vs Southside Flyers,2025-10-23 23:50:14
Total – Game,Under 154,1.826,Sydney Uni Flames vs Southside Flyers,2025-10-23 23:50:14
Money Line – Game,Adelaide Lightning,7.48,Adelaide Lightning vs Townsville Fire,2025-11-25 05:47:10
Money Line – Game,Townsville Fire,1.045,Adelaide Lightning vs Townsville Fire,2025-11-25 05:47:10
Handicap – Game,Adelaide Lightning +15.5,1.869,Adelaide Lightning vs Townsville Fire,2025-11-25 05:47:10
Handicap – Game,Townsville Fire -15.5,1.869,Adelaide Lightning vs Townsville Fire,2025-11-25 05:47:10
Total – Game,Over 160.5,1.84,Adelaide Lightning vs Townsville Fire,2025-11-25 05:47:10
Total – Game,Under 160.5,1.9,Adelaide Lightning vs Townsville Fire,2025-11-25 05:47:10
Money Line – Game,Adelaide Lightning,7.48,Adelaide Lightning vs Townsville Fire,2025-11-25 06:00:47
Money Line – Game,Townsville Fire,1.045,Adelaide Lightning vs Townsville Fire,2025-11-25 06:00:47
Handicap – Game,Adelaide Lightning +15.5,1.869,Adelaide Lightning vs Townsville Fire,2025-11-25 06:00:47
Handicap – Game,Townsville Fire -15.5,1.869,Adelaide Lightning vs Townsville Fire,2025-11-25 06:00:47
Total – Game,Over 160.5,1.84,Adelaide Lightning vs Townsville Fire,2025-11-25 06:00:47
Total – Game,Under 160.5,1.9,Adelaide Lightning vs Townsville Fire,2025-11-25 06:00:47
Money Line – Game,Adelaide Lightning,7.48,Adelaide Lightning vs Townsville Fire,2025-11-25 06:52:12
Money Line – Game,Townsville Fire,1.045,Adelaide Lightning vs Townsville Fire,2025-11-25 06:52:12
Handicap – Game,Adelaide Lightning +15.5,1.869,Adelaide Lightning vs Townsville Fire,2025-11-25 06:52:12
Handicap – Game,Townsville Fire -15.5,1.869,Adelaide Lightning vs Townsville Fire,2025-11-25 06:52:12
Total – Game,Over 161.5,1.862,Adelaide Lightning vs Townsville Fire,2025-11-25 06:52:12
Total – Game,Under 161.5,1.877,Adelaide Lightning vs Townsville Fire,2025-11-25 06:52:12
Money Line – Game,Adelaide Lightning,7.48,Adelaide Lightning vs Townsville Fire,2025-11-25 07:33:29
Money Line – Game,Townsville Fire,1.045,Adelaide Lightning vs Townsville Fire,2025-11-25 07:33:29
Handicap – Game,Adelaide Lightning +15.5,1.869,Adelaide Lightning vs Townsville Fire,2025-11-25 07:33:29
