team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Sydney Uni Flames,Southside Flyers,https://www.pinnacle.com/en/basketball/australia-wnbl/sydney-uni-flames-vs-southside-flyers/1617913390/,1.564,2.3,-3.5,1.9,3.5,1.84,154.0,1.917,154.0,1.826,2025-10-23 23:24:47
Sydney Uni Flames,Southside Flyers,https://www.pinnacle.com/en/basketball/australia-wnbl/sydney-uni-flames-vs-southside-flyers/1617913390/,1.564,2.3,-3.5,1.9,3.5,1.84,154.0,1.917,154.0,1.826,2025-10-23 23:43:56
Sydney Uni Flames,Southside Flyers,https://www.pinnacle.com/en/basketball/australia-wnbl/sydney-uni-flames-vs-southside-flyers/1617913390/,1.564,2.3,-3.5,1.9,3.5,1.84,154.0,1.917,154.0,1.826,2025-10-23 23:50:14
Adelaide Lightning,Townsville Fire,https://www.pinnacle.com/en/basketball/australia-wnbl/adelaide-lightning-vs-townsville-fire/1619733530/,7.32,1.048,15.5,1.806,-15.5,1.934,160.5,1.847,160.5,1.892,2025-11-25 03:36:53
Adelaide Lightning,Townsville Fire,https://www.pinnacle.com/en/basketball/australia-wnbl/adelaide-lightning-vs-townsville-fire/1619733530/,7.48,1.045,15.5,1.869,-15.5,1.869,160.5,1.84,160.5,1.9,2025-11-25 05:47:10
Adelaide Lightning,Townsville Fire,https://www.pinnacle.com/en/basketball/australia-wnbl/adelaide-lightning-vs-townsville-fire/1619733530/,7.48,1.045,15.5,1.869,-15.5,1.869,160.5,1.84,160.5,1.9,2025-11-25 06:00:47
Adelaide Lightning,Townsville Fire,https://www.pinnacle.com/en/basketball/australia-wnbl/adelaide-lightning-vs-townsville-fire/1619733530/,7.48,1.045,15.5,1.869,-15.5,1.869,160.5,1.84,160.5,1.9,2025-11-25 06:52:12
Adelaide Lightning,Townsville Fire,https://www.pinnacle.com/en/basketball/australia-wnbl/adelaide-lightning-vs-townsville-fire/1619733530/,7.48,1.045,15.5,1.869,-15.5,1.869,161.5,1.862,161.5,1.877,2025-11-25 07:33:29
Adelaide Lightning,Townsville Fire,https://www.pinnacle.com/en/basketball/australia-wnbl/adelaide-lightning-vs-townsville-fire/1619733530/,7.48,1.045,15.5,1.869,-15.5,1.869,161.5,1.862,161.5,1.877,2025-11-25 08:01:52
Bendigo Spirit,Adelaide Lightning,https://www.pinnacle.com/en/basketball/australia-wnbl/bendigo-spirit-vs-adelaide-lightning/1620095218/,1.121,4.93,-11.5,1.917,11.5,1.819,148.0,1.934,148.0,1.813,2025-11-29 23:30:31
