Market,Selection,Odds,matchup,timestamp
Money Line – Game,BC Vienna,1.515,BC Vienna vs Flyers Wels,2025-10-20 16:01:27
Money Line – Game,Flyers Wels,2.41,BC Vienna vs Flyers Wels,2025-10-20 16:01:27
Handicap – Game,BC Vienna -3.5,1.847,BC Vienna vs Flyers Wels,2025-10-20 16:01:27
Handicap – Game,Flyers Wels +3.5,1.892,BC Vienna vs Flyers Wels,2025-10-20 16:01:27
Total – Game,Over 163.5,1.862,BC Vienna vs Flyers Wels,2025-10-20 16:01:27
Total – Game,Under 163.5,1.877,BC Vienna vs Flyers Wels,2025-10-20 16:01:27
Total – Game,Over 163.5,1.862,BC Vienna vs Flyers Wels,2025-10-20 16:36:48
Handicap – Game,Flyers Wels +3.5,1.892,BC Vienna vs Flyers Wels,2025-10-20 16:36:48
Total – Game,Under 163.5,1.877,BC Vienna vs Flyers Wels,2025-10-20 16:36:48
Money Line – Game,Flyers Wels,2.41,BC Vienna vs Flyers Wels,2025-10-20 16:36:48
Money Line – Game,BC Vienna,1.515,BC Vienna vs Flyers Wels,2025-10-20 16:36:48
Handicap – Game,BC Vienna -3.5,1.847,BC Vienna vs Flyers Wels,2025-10-20 16:36:48
Money Line – Game,BC Vienna,1.51,BC Vienna vs Flyers Wels,2025-10-20 16:46:45
Money Line – Game,Flyers Wels,2.42,BC Vienna vs Flyers Wels,2025-10-20 16:46:45
Handicap – Game,BC Vienna -3.5,1.84,BC Vienna vs Flyers Wels,2025-10-20 16:46:45
Handicap – Game,Flyers Wels +3.5,1.9,BC Vienna vs Flyers Wels,2025-10-20 16:46:45
Total – Game,Over 163.5,1.847,BC Vienna vs Flyers Wels,2025-10-20 16:46:45
Total – Game,Under 163.5,1.884,BC Vienna vs Flyers Wels,2025-10-20 16:46:45
Total – Game,Over 163.5,1.84,BC Vienna vs Flyers Wels,2025-10-20 16:58:09
Money Line – Game,BC Vienna,1.425,BC Vienna vs Flyers Wels,2025-10-20 16:58:09
Money Line – Game,Flyers Wels,2.65,BC Vienna vs Flyers Wels,2025-10-20 16:58:09
Handicap – Game,BC Vienna -4.5,1.793,BC Vienna vs Flyers Wels,2025-10-20 16:58:09
Handicap – Game,Flyers Wels +4.5,1.952,BC Vienna vs Flyers Wels,2025-10-20 16:58:09
Total – Game,Under 163.5,1.9,BC Vienna vs Flyers Wels,2025-10-20 16:58:09
Handicap – Game,Oberwart Gunners -26.5,1.8,Oberwart Gunners vs BC Vienna,2025-12-26 15:41:27
Handicap – Game,BC Vienna +26.5,1.943,Oberwart Gunners vs BC Vienna,2025-12-26 15:41:27
Total – Game,Over 169.5,1.917,Oberwart Gunners vs BC Vienna,2025-12-26 15:41:27
Total – Game,Under 169.5,1.819,Oberwart Gunners vs BC Vienna,2025-12-26 15:41:27
Money Line – Game,Furstenfeld Panthers,8.4,Furstenfeld Panthers vs UBSC Graz,2025-12-26 15:41:27
Money Line – Game,UBSC Graz,1.033,Furstenfeld Panthers vs UBSC Graz,2025-12-26 15:41:27
Handicap – Game,Furstenfeld Panthers +21.0,1.862,Furstenfeld Panthers vs UBSC Graz,2025-12-26 15:41:27
Handicap – Game,UBSC Graz -21.0,1.877,Furstenfeld Panthers vs UBSC Graz,2025-12-26 15:41:27
Total – Game,Over 165.5,1.892,Furstenfeld Panthers vs UBSC Graz,2025-12-26 15:41:27
Total – Game,Under 165.5,1.84,Furstenfeld Panthers vs UBSC Graz,2025-12-26 15:41:27
Money Line – Game,Traiskirchen Lions,1.2,Traiskirchen Lions vs BBC Nord Dragonz,2025-12-26 15:41:27
Money Line – Game,BBC Nord Dragonz,3.88,Traiskirchen Lions vs BBC Nord Dragonz,2025-12-26 15:41:27
Handicap – Game,Traiskirchen Lions -8.5,1.819,Traiskirchen Lions vs BBC Nord Dragonz,2025-12-26 15:41:27
Handicap – Game,BBC Nord Dragonz +8.5,1.925,Traiskirchen Lions vs BBC Nord Dragonz,2025-12-26 15:41:27
Total – Game,Over 163,1.892,Traiskirchen Lions vs BBC Nord Dragonz,2025-12-26 15:41:27
Total – Game,Under 163,1.847,Traiskirchen Lions vs BBC Nord Dragonz,2025-12-26 15:41:27
Money Line – Game,SKN St. Polten Basketball,3.08,SKN St. Polten Basketball vs BK Dukes Klosterneuburg,2025-12-26 15:41:27
Money Line – Game,BK Dukes Klosterneuburg,1.318,SKN St. Polten Basketball vs BK Dukes Klosterneuburg,2025-12-26 15:41:27
Handicap – Game,SKN St. Polten Basketball +6.5,1.847,SKN St. Polten Basketball vs BK Dukes Klosterneuburg,2025-12-26 15:41:27
Handicap – Game,BK Dukes Klosterneuburg -6.5,1.892,SKN St. Polten Basketball vs BK Dukes Klosterneuburg,2025-12-26 15:41:27
Total – Game,Over 173,1.869,SKN St. Polten Basketball vs BK Dukes Klosterneuburg,2025-12-26 15:41:27
Total – Game,Under 173,1.869,SKN St. Polten Basketball vs BK Dukes Klosterneuburg,2025-12-26 15:41:27
Money Line – Game,Flyers Wels,1.333,Flyers Wels vs Swans Gmunden,2025-12-26 15:41:27
Money Line – Game,Swans Gmunden,3.01,Flyers Wels vs Swans Gmunden,2025-12-26 15:41:27
