team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
UBSC Graz,Furstenfeld Panthers,https://www.pinnacle.com/en/basketball/austria-superliga/ubsc-graz-vs-furstenfeld-panthers/1617349223/,1.07,6.25,-12.5,1.8,12.5,1.943,159.5,1.84,159.5,1.9,2025-10-19 17:00:52
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1617376183/,1.534,2.37,-3.5,1.884,3.5,1.854,163.5,1.877,163.5,1.862,2025-10-20 16:01:27
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1617376183/,1.515,2.41,-3.5,1.847,3.5,1.892,163.5,1.862,163.5,1.877,2025-10-20 16:36:48
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1617376183/,1.515,2.41,-3.5,1.847,3.5,1.892,163.5,1.862,163.5,1.877,2025-10-20 16:46:45
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1617376183/,1.44,2.61,-4.5,1.833,4.5,1.909,163.5,1.84,163.5,1.892,2025-10-20 16:58:09
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1621618332/,,,-26.5,1.8,26.5,1.943,169.5,1.917,169.5,1.819,2025-12-26 15:41:27
Furstenfeld Panthers,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/furstenfeld-panthers-vs-ubsc-graz/1621615682/,8.4,1.033,21.0,1.862,-21.0,1.877,165.5,1.892,165.5,1.84,2025-12-26 15:41:27
Traiskirchen Lions,BBC Nord Dragonz,https://www.pinnacle.com/en/basketball/austria-superliga/traiskirchen-lions-vs-bbc-nord-dragonz/1621619948/,1.2,3.88,-8.5,1.819,8.5,1.925,163.0,1.892,163.0,1.847,2025-12-26 15:41:27
SKN St. Polten Basketball,BK Dukes Klosterneuburg,https://www.pinnacle.com/en/basketball/austria-superliga/skn-st-polten-basketball-vs-bk-dukes-klosterneuburg/1621619955/,3.1,1.314,6.5,1.862,-6.5,1.877,173.0,1.869,173.0,1.869,2025-12-26 15:41:27
Flyers Wels,Swans Gmunden,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-swans-gmunden/1621646326/,1.333,3.01,-6.0,1.934,6.0,1.813,165.0,1.787,165.0,1.952,2025-12-26 15:41:27
Furstenfeld Panthers,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/furstenfeld-panthers-vs-ubsc-graz/1621615682/,8.55,1.031,21.0,1.934,-21.0,1.806,165.5,1.884,165.5,1.854,2025-12-26 15:59:14
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1621618332/,,,-26.5,1.869,26.5,1.869,168.5,1.862,168.5,1.877,2025-12-26 15:59:14
Traiskirchen Lions,BBC Nord Dragonz,https://www.pinnacle.com/en/basketball/austria-superliga/traiskirchen-lions-vs-bbc-nord-dragonz/1621619948/,1.2,3.88,-8.5,1.819,8.5,1.925,163.0,1.892,163.0,1.847,2025-12-26 15:59:14
SKN St. Polten Basketball,BK Dukes Klosterneuburg,https://www.pinnacle.com/en/basketball/austria-superliga/skn-st-polten-basketball-vs-bk-dukes-klosterneuburg/1621619955/,3.0,1.333,6.5,1.813,-6.5,1.934,173.0,1.869,173.0,1.869,2025-12-26 15:59:14
Flyers Wels,Swans Gmunden,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-swans-gmunden/1621646326/,1.333,3.01,-6.0,1.934,6.0,1.813,165.0,1.787,165.0,1.952,2025-12-26 15:59:14
Traiskirchen Lions,BBC Nord Dragonz,https://www.pinnacle.com/en/basketball/austria-superliga/traiskirchen-lions-vs-bbc-nord-dragonz/1621619948/,1.156,4.37,-10.5,1.84,10.5,1.9,163.0,1.877,163.0,1.862,2025-12-26 16:36:15
SKN St. Polten Basketball,BK Dukes Klosterneuburg,https://www.pinnacle.com/en/basketball/austria-superliga/skn-st-polten-basketball-vs-bk-dukes-klosterneuburg/1621619955/,2.98,1.338,6.5,1.793,-6.5,1.952,173.0,1.869,173.0,1.869,2025-12-26 16:36:15
Flyers Wels,Swans Gmunden,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-swans-gmunden/1621646326/,1.333,3.01,-6.0,1.934,6.0,1.813,165.0,1.787,165.0,1.952,2025-12-26 16:36:15
SKN St. Polten Basketball,BK Dukes Klosterneuburg,https://www.pinnacle.com/en/basketball/austria-superliga/skn-st-polten-basketball-vs-bk-dukes-klosterneuburg/1621619955/,2.98,1.338,6.5,1.793,-6.5,1.952,173.0,1.869,173.0,1.869,2025-12-26 17:07:10
Flyers Wels,Swans Gmunden,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-swans-gmunden/1621646326/,1.333,3.01,-6.0,1.934,6.0,1.813,165.0,1.787,165.0,1.952,2025-12-26 17:07:10
SKN St. Polten Basketball,BK Dukes Klosterneuburg,https://www.pinnacle.com/en/basketball/austria-superliga/skn-st-polten-basketball-vs-bk-dukes-klosterneuburg/1621619955/,2.98,1.338,6.5,1.793,-6.5,1.952,173.0,1.869,173.0,1.869,2025-12-26 17:27:57
Flyers Wels,Swans Gmunden,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-swans-gmunden/1621646326/,1.333,3.01,-6.0,1.934,6.0,1.813,165.0,1.787,165.0,1.952,2025-12-26 17:27:57
Flyers Wels,Swans Gmunden,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-swans-gmunden/1621646326/,1.333,3.01,-6.0,1.934,6.0,1.813,165.0,1.787,165.0,1.952,2025-12-26 17:55:44
Flyers Wels,Swans Gmunden,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-swans-gmunden/1621646326/,1.333,3.01,-6.0,1.934,6.0,1.813,165.0,1.787,165.0,1.952,2025-12-26 18:13:20
BC Vienna,Kapfenberg Bulls,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-kapfenberg-bulls/1621698182/,1.492,2.47,-4.0,1.813,4.0,1.925,170.0,1.943,170.0,1.8,2025-12-29 17:15:20
BC Vienna,Kapfenberg Bulls,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-kapfenberg-bulls/1621698182/,1.492,2.47,-4.0,1.813,4.0,1.925,170.0,1.943,170.0,1.8,2025-12-29 17:33:16
BC Vienna,Kapfenberg Bulls,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-kapfenberg-bulls/1621698182/,1.389,2.78,-6.5,1.884,6.5,1.854,170.0,1.925,170.0,1.813,2025-12-29 17:50:49
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1625290871/,1.246,3.5,-7.5,1.884,7.5,1.854,171.5,1.854,171.5,1.884,2026-03-09 02:07:31
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1625290871/,1.271,3.33,-6.5,1.833,6.5,1.909,171.5,1.862,171.5,1.877,2026-03-09 07:41:24
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1625290871/,1.271,3.33,-6.5,1.833,6.5,1.909,171.5,1.862,171.5,1.877,2026-03-09 08:10:36
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1625290871/,1.271,3.33,-6.5,1.833,6.5,1.909,171.5,1.862,171.5,1.877,2026-03-09 09:05:32
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1625290871/,1.271,3.33,-6.5,1.833,6.5,1.909,171.5,1.862,171.5,1.877,2026-03-09 10:09:29
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1625290871/,1.271,3.33,-6.5,1.833,6.5,1.909,171.5,1.862,171.5,1.877,2026-03-09 11:06:49
BC Vienna,Flyers Wels,https://www.pinnacle.com/en/basketball/austria-superliga/bc-vienna-vs-flyers-wels/1625290871/,1.271,3.33,-6.5,1.833,6.5,1.909,171.5,1.862,171.5,1.877,2026-03-09 11:52:08
Kapfenberg Bulls,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/kapfenberg-bulls-vs-bc-vienna/1627149363/,1.819,1.917,-1.0,1.854,1.0,1.884,172.0,1.909,172.0,1.826,2026-04-06 15:10:38
Flyers Wels,BK Dukes Klosterneuburg,https://www.pinnacle.com/en/basketball/austria-superliga/flyers-wels-vs-bk-dukes-klosterneuburg/1627149267/,1.51,2.42,-3.0,1.892,3.0,1.847,163.0,1.892,163.0,1.847,2026-04-06 15:10:38
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1629901531/,2.51,1.476,4.5,1.793,-4.5,1.952,168.5,1.909,168.5,1.826,2026-05-07 05:06:43
Kapfenberg Bulls,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/kapfenberg-bulls-vs-ubsc-graz/1629901532/,1.602,2.23,-3.0,1.934,3.0,1.813,164.0,1.813,164.0,1.925,2026-05-07 05:06:43
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1629901531/,2.65,1.427,4.5,1.854,-4.5,1.884,168.5,1.909,168.5,1.833,2026-05-07 07:42:34
Kapfenberg Bulls,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/kapfenberg-bulls-vs-ubsc-graz/1629901532/,1.602,2.23,-3.0,1.934,3.0,1.813,164.0,1.813,164.0,1.925,2026-05-07 07:42:34
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1629901531/,3.03,1.328,5.5,1.961,-5.5,1.787,169.5,1.813,169.5,1.934,2026-05-07 10:24:30
Kapfenberg Bulls,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/kapfenberg-bulls-vs-ubsc-graz/1629901532/,1.546,2.34,-3.0,1.833,3.0,1.9,162.0,1.847,162.0,1.892,2026-05-07 10:24:30
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1629901531/,3.03,1.327,6.0,1.869,-6.0,1.869,168.0,1.854,168.0,1.884,2026-05-07 12:22:43
Kapfenberg Bulls,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/kapfenberg-bulls-vs-ubsc-graz/1629901532/,1.342,2.97,-6.5,1.869,6.5,1.869,165.5,1.9,165.5,1.84,2026-05-07 12:22:43
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1629901531/,3.29,1.279,7.0,1.884,-7.0,1.854,167.5,1.847,167.5,1.892,2026-05-07 15:13:04
Kapfenberg Bulls,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/kapfenberg-bulls-vs-ubsc-graz/1629901532/,1.323,3.05,-6.5,1.819,6.5,1.925,164.5,1.787,164.5,1.961,2026-05-07 15:13:04
Oberwart Gunners,BC Vienna,https://www.pinnacle.com/en/basketball/austria-superliga/oberwart-gunners-vs-bc-vienna/1629901531/,2.980,1.338,+6.0,1.833,-6.0,1.909,166,1.884,166,1.854,2026-05-07 16:58:15
Kapfenberg Bulls,UBSC Graz,https://www.pinnacle.com/en/basketball/austria-superliga/kapfenberg-bulls-vs-ubsc-graz/1629901532/,1.403,2.730,-5.5,1.900,+5.5,1.840,164.5,1.925,164.5,1.813,2026-05-07 16:58:15
