Market,Selection,Odds,matchup,timestamp
Money Line – Game,Al Najma,1.103,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Money Line – Game,Al Nweidrat,5.280,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -8.5,1.529,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +8.5,2.230,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -9.0,1.571,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +9.0,2.160,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -9.5,1.621,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +9.5,2.080,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -10.0,1.680,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +10.0,2.000,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -10.5,1.746,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +10.5,1.917,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -11.0,1.862,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +11.0,1.877,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -11.5,1.900,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +11.5,1.763,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -12.0,1.980,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +12.0,1.694,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -12.5,2.060,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +12.5,1.632,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -13.0,2.130,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +13.0,1.584,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Najma -13.5,2.210,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Handicap – Game,Al Nweidrat +13.5,1.540,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 169,1.595,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 169,2.140,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 169.5,1.628,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 169.5,2.090,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 170,1.666,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 170,2.030,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 170.5,1.704,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 170.5,1.980,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 171,1.751,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 171,1.917,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 171.5,1.833,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 171.5,1.900,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 172,1.854,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 172,1.813,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 172.5,1.909,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 172.5,1.763,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 173,1.961,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 173,1.719,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 173.5,2.010,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 173.5,1.680,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Over 174,2.070,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
Total – Game,Under 174,1.645,Al Najma vs Al Nweidrat,2026-03-01 19:03:08
