Market,Selection,Odds,matchup,timestamp
Money Line – Game,Bahrain,1.363,Bahrain vs Isa Town,2025-12-24 10:32:14
Money Line – Game,Isa Town,2.88,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -3.5,1.549,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +3.5,2.3,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -4.0,1.591,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +4.0,2.22,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -4.5,1.641,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +4.5,2.13,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -5.0,1.699,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +5.0,2.05,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -5.5,1.769,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +5.5,1.97,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -6.0,1.847,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +6.0,1.892,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -6.5,1.925,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +6.5,1.806,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -7.0,2.0,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +7.0,1.735,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -7.5,2.08,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +7.5,1.675,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -8.0,2.16,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +8.0,1.625,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Bahrain -8.5,2.24,Bahrain vs Isa Town,2025-12-24 10:32:14
Handicap – Game,Isa Town +8.5,1.581,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 154,1.684,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 154,2.1,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 154.5,1.719,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 154.5,2.04,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 155,1.763,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 155,1.99,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 155.5,1.806,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 155.5,1.934,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 156,1.854,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 156,1.884,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 156.5,1.909,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 156.5,1.833,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 157,1.97,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 157,1.781,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 157.5,2.03,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 157.5,1.735,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 158,2.08,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 158,1.694,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 158.5,2.14,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 158.5,1.653,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Over 159,2.2,Bahrain vs Isa Town,2025-12-24 10:32:14
Total – Game,Under 159,1.621,Bahrain vs Isa Town,2025-12-24 10:32:14
Money Line – Game,Al Ahli Manama,1.892,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Money Line – Game,Al Najma,1.775,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama +3.5,1.568,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma -3.5,2.16,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama +3.0,1.617,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma -3.0,2.08,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama +2.5,1.671,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma -2.5,2.0,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama +2.0,1.724,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma -2.0,1.934,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama +1.5,1.793,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma -1.5,1.869,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama +1.0,1.847,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma -1.0,1.819,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama -1.0,1.961,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma +1.0,1.714,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama -1.5,2.01,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma +1.5,1.671,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama -2.0,2.08,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma +2.0,1.621,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama -2.5,2.15,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma +2.5,1.574,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Ahli Manama -3.0,2.23,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Handicap – Game,Al Najma +3.0,1.531,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 158.5,1.645,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 158.5,2.07,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 159,1.68,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 159,2.01,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 159.5,1.719,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 159.5,1.961,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 160,1.763,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 160,1.909,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 160.5,1.813,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 160.5,1.854,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 161,1.862,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 161,1.806,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 161.5,1.917,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 161.5,1.751,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 162,1.98,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 162,1.709,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 162.5,2.03,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 162.5,1.666,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 163,2.09,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 163,1.628,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Over 163.5,2.14,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Total – Game,Under 163.5,1.595,Al Ahli Manama vs Al Najma,2025-12-24 10:32:14
Money Line – Game,Bahrain,1.363,Bahrain vs Isa Town,2025-12-24 10:45:36
Money Line – Game,Isa Town,2.88,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -3.5,1.549,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +3.5,2.3,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -4.0,1.591,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +4.0,2.22,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -4.5,1.641,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +4.5,2.13,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -5.0,1.699,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +5.0,2.05,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -5.5,1.769,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +5.5,1.97,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -6.0,1.847,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +6.0,1.892,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -6.5,1.925,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +6.5,1.806,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -7.0,2.0,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +7.0,1.735,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -7.5,2.08,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +7.5,1.675,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -8.0,2.16,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +8.0,1.625,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Bahrain -8.5,2.24,Bahrain vs Isa Town,2025-12-24 10:45:36
Handicap – Game,Isa Town +8.5,1.581,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 154,1.684,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 154,2.1,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 154.5,1.719,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 154.5,2.04,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 155,1.763,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 155,1.99,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 155.5,1.806,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 155.5,1.934,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 156,1.854,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 156,1.884,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 156.5,1.909,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 156.5,1.833,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 157,1.97,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 157,1.781,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 157.5,2.03,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 157.5,1.735,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 158,2.08,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 158,1.694,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 158.5,2.14,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 158.5,1.653,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Over 159,2.2,Bahrain vs Isa Town,2025-12-24 10:45:36
Total – Game,Under 159,1.621,Bahrain vs Isa Town,2025-12-24 10:45:36
Money Line – Game,Al Ahli Manama,1.892,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Money Line – Game,Al Najma,1.775,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama +3.5,1.568,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma -3.5,2.16,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama +3.0,1.617,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma -3.0,2.08,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama +2.5,1.671,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma -2.5,2.0,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama +2.0,1.724,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma -2.0,1.934,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama +1.5,1.793,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma -1.5,1.869,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama +1.0,1.847,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma -1.0,1.819,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama -1.0,1.961,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma +1.0,1.714,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama -1.5,2.01,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma +1.5,1.671,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama -2.0,2.08,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma +2.0,1.621,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama -2.5,2.15,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma +2.5,1.574,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Ahli Manama -3.0,2.23,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Handicap – Game,Al Najma +3.0,1.531,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 158.5,1.645,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 158.5,2.07,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 159,1.68,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 159,2.01,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 159.5,1.719,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 159.5,1.961,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 160,1.763,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 160,1.909,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 160.5,1.813,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 160.5,1.854,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 161,1.862,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 161,1.806,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 161.5,1.917,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 161.5,1.751,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 162,1.98,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 162,1.709,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 162.5,2.03,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 162.5,1.666,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 163,2.09,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 163,1.628,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Over 163.5,2.14,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Total – Game,Under 163.5,1.595,Al Ahli Manama vs Al Najma,2025-12-24 10:45:36
Money Line – Game,Bahrain,1.286,Bahrain vs Isa Town,2025-12-24 11:58:46
Money Line – Game,Isa Town,3.25,Bahrain vs Isa Town,2025-12-24 11:58:46
Handicap – Game,Bahrain -5.0,1.561,Bahrain vs Isa Town,2025-12-24 11:58:46
Handicap – Game,Isa Town +5.0,2.27,Bahrain vs Isa Town,2025-12-24 11:58:46
