Market,Selection,Odds,matchup,timestamp
Money Line – Game,Liege Panthers,3.64,Liege Panthers vs BC Namur Capitale,2025-09-10 17:53:12
Money Line – Game,BC Namur Capitale,1.186,Liege Panthers vs BC Namur Capitale,2025-09-10 17:53:12
Handicap – Game,Liege Panthers +8.0,1.862,Liege Panthers vs BC Namur Capitale,2025-09-10 17:53:12
Handicap – Game,BC Namur Capitale -8.0,1.806,Liege Panthers vs BC Namur Capitale,2025-09-10 17:53:12
Total – Game,Over 136.5,1.847,Liege Panthers vs BC Namur Capitale,2025-09-10 17:53:12
Total – Game,Under 136.5,1.819,Liege Panthers vs BC Namur Capitale,2025-09-10 17:53:12
Total – Game,Under 136.5,1.862,Liege Panthers vs BC Namur Capitale,2025-09-10 17:59:06
Total – Game,Over 136.5,1.806,Liege Panthers vs BC Namur Capitale,2025-09-10 17:59:06
Handicap – Game,BC Namur Capitale -11.5,1.769,Liege Panthers vs BC Namur Capitale,2025-09-10 17:59:06
Money Line – Game,BC Namur Capitale,1.067,Liege Panthers vs BC Namur Capitale,2025-09-10 17:59:06
Money Line – Game,Liege Panthers,5.38,Liege Panthers vs BC Namur Capitale,2025-09-10 17:59:06
Handicap – Game,Liege Panthers +11.5,1.9,Liege Panthers vs BC Namur Capitale,2025-09-10 17:59:06
Money Line – Game,Spirou Charleroi,1.036,Spirou Charleroi vs Basket Lummen,2025-09-12 17:17:56
Money Line – Game,Basket Lummen,6.53,Spirou Charleroi vs Basket Lummen,2025-09-12 17:17:56
Handicap – Game,Spirou Charleroi -17.5,1.781,Spirou Charleroi vs Basket Lummen,2025-09-12 17:17:56
Handicap – Game,Basket Lummen +17.5,1.892,Spirou Charleroi vs Basket Lummen,2025-09-12 17:17:56
Total – Game,Over 142.5,1.806,Spirou Charleroi vs Basket Lummen,2025-09-12 17:17:56
Total – Game,Under 142.5,1.862,Spirou Charleroi vs Basket Lummen,2025-09-12 17:17:56
Total – Game,Under 142.5,1.862,Spirou Charleroi vs Basket Lummen,2025-09-12 17:26:11
Total – Game,Over 142.5,1.806,Spirou Charleroi vs Basket Lummen,2025-09-12 17:26:11
Handicap – Game,Basket Lummen +17.5,1.892,Spirou Charleroi vs Basket Lummen,2025-09-12 17:26:11
Money Line – Game,Basket Lummen,6.53,Spirou Charleroi vs Basket Lummen,2025-09-12 17:26:11
Money Line – Game,Spirou Charleroi,1.036,Spirou Charleroi vs Basket Lummen,2025-09-12 17:26:11
Handicap – Game,Spirou Charleroi -17.5,1.781,Spirou Charleroi vs Basket Lummen,2025-09-12 17:26:11
Money Line – Game,Spirou Charleroi,1.036,Spirou Charleroi vs Basket Lummen,2025-09-12 17:33:00
Money Line – Game,Basket Lummen,6.53,Spirou Charleroi vs Basket Lummen,2025-09-12 17:33:00
Handicap – Game,Spirou Charleroi -17.5,1.781,Spirou Charleroi vs Basket Lummen,2025-09-12 17:33:00
Handicap – Game,Basket Lummen +17.5,1.892,Spirou Charleroi vs Basket Lummen,2025-09-12 17:33:00
Total – Game,Over 142.5,1.806,Spirou Charleroi vs Basket Lummen,2025-09-12 17:33:00
Total – Game,Under 142.5,1.862,Spirou Charleroi vs Basket Lummen,2025-09-12 17:33:00
Handicap – Game,Spirou Charleroi -17.5,1.781,Spirou Charleroi vs Basket Lummen,2025-09-12 17:40:38
Total – Game,Under 142.5,1.862,Spirou Charleroi vs Basket Lummen,2025-09-12 17:40:38
Total – Game,Over 142.5,1.806,Spirou Charleroi vs Basket Lummen,2025-09-12 17:40:38
Money Line – Game,Basket Lummen,6.53,Spirou Charleroi vs Basket Lummen,2025-09-12 17:40:38
Money Line – Game,Spirou Charleroi,1.036,Spirou Charleroi vs Basket Lummen,2025-09-12 17:40:38
Handicap – Game,Basket Lummen +17.5,1.892,Spirou Charleroi vs Basket Lummen,2025-09-12 17:40:38
Total – Game,Over 142.5,1.806,Spirou Charleroi vs Basket Lummen,2025-09-12 17:53:26
Money Line – Game,Spirou Charleroi,1.036,Spirou Charleroi vs Basket Lummen,2025-09-12 17:53:26
Money Line – Game,Basket Lummen,6.53,Spirou Charleroi vs Basket Lummen,2025-09-12 17:53:26
Handicap – Game,Spirou Charleroi -17.5,1.781,Spirou Charleroi vs Basket Lummen,2025-09-12 17:53:26
Handicap – Game,Basket Lummen +17.5,1.892,Spirou Charleroi vs Basket Lummen,2025-09-12 17:53:26
Total – Game,Under 142.5,1.862,Spirou Charleroi vs Basket Lummen,2025-09-12 17:53:26
Total – Game,Under 142.5,1.862,Spirou Charleroi vs Basket Lummen,2025-09-12 18:00:37
Handicap – Game,Basket Lummen +17.5,1.892,Spirou Charleroi vs Basket Lummen,2025-09-12 18:00:37
Total – Game,Over 142.5,1.806,Spirou Charleroi vs Basket Lummen,2025-09-12 18:00:37
Money Line – Game,Basket Lummen,6.53,Spirou Charleroi vs Basket Lummen,2025-09-12 18:00:37
Money Line – Game,Spirou Charleroi,1.036,Spirou Charleroi vs Basket Lummen,2025-09-12 18:00:37
Handicap – Game,Spirou Charleroi -17.5,1.781,Spirou Charleroi vs Basket Lummen,2025-09-12 18:00:37
Money Line – Game,Spirou Charleroi,1.023,Spirou Charleroi vs Basket Lummen,2025-09-12 18:25:55
Money Line – Game,Basket Lummen,7.33,Spirou Charleroi vs Basket Lummen,2025-09-12 18:25:55
Handicap – Game,Spirou Charleroi -21.5,1.833,Spirou Charleroi vs Basket Lummen,2025-09-12 18:25:55
Handicap – Game,Basket Lummen +21.5,1.833,Spirou Charleroi vs Basket Lummen,2025-09-12 18:25:55
Total – Game,Over 143.5,1.813,Spirou Charleroi vs Basket Lummen,2025-09-12 18:25:55
Total – Game,Under 143.5,1.854,Spirou Charleroi vs Basket Lummen,2025-09-12 18:25:55
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 01:48:48
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 01:48:48
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 01:48:48
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 01:48:48
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 01:48:48
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 01:48:48
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 01:57:57
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 01:57:57
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 01:57:57
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 01:57:57
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 01:57:57
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 01:57:57
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 02:53:51
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 02:53:51
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 02:53:51
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 02:53:51
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 02:53:51
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 02:53:51
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 03:58:30
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 03:58:30
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 03:58:30
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 03:58:30
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 03:58:30
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 03:58:30
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 04:05:14
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 04:05:14
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 04:05:14
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 04:05:14
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 04:05:14
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 04:05:14
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 04:35:49
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 04:35:49
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 04:35:49
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 04:35:49
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 04:35:49
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 04:35:49
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 05:27:37
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 05:27:37
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 05:27:37
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 05:27:37
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 05:27:37
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 05:27:37
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 05:33:45
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 05:33:45
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 05:33:45
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 05:33:45
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 05:33:45
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 05:33:45
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 06:00:12
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 06:00:12
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 06:00:12
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 06:00:12
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 06:00:12
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 06:00:12
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 06:57:20
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 06:57:20
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 06:57:20
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 06:57:20
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 06:57:20
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 06:57:20
Total – Game,Under 147.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 07:04:17
Total – Game,Over 147.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 07:04:17
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 07:04:17
Money Line – Game,Ldp Donza,6.81,Phantoms Boom vs Ldp Donza,2025-09-13 07:04:17
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 07:04:17
Handicap – Game,Phantoms Boom -19.5,1.763,Phantoms Boom vs Ldp Donza,2025-09-13 07:04:17
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 07:27:06
Money Line – Game,Ldp Donza,6.82,Phantoms Boom vs Ldp Donza,2025-09-13 07:27:06
Handicap – Game,Phantoms Boom -19.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 07:27:06
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 07:27:06
Total – Game,Over 147.5,1.74,Phantoms Boom vs Ldp Donza,2025-09-13 07:27:06
Total – Game,Under 147.5,1.862,Phantoms Boom vs Ldp Donza,2025-09-13 07:27:06
Handicap – Game,Phantoms Boom -19.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 07:34:11
Total – Game,Under 147.5,1.862,Phantoms Boom vs Ldp Donza,2025-09-13 07:34:11
Total – Game,Over 147.5,1.74,Phantoms Boom vs Ldp Donza,2025-09-13 07:34:11
Money Line – Game,Ldp Donza,6.82,Phantoms Boom vs Ldp Donza,2025-09-13 07:34:11
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 07:34:11
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 07:34:11
Total – Game,Over 147.5,1.74,Phantoms Boom vs Ldp Donza,2025-09-13 08:04:14
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 08:04:14
Money Line – Game,Ldp Donza,6.82,Phantoms Boom vs Ldp Donza,2025-09-13 08:04:14
Handicap – Game,Phantoms Boom -19.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 08:04:14
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 08:04:14
Total – Game,Under 147.5,1.862,Phantoms Boom vs Ldp Donza,2025-09-13 08:04:14
Total – Game,Over 147.5,1.74,Phantoms Boom vs Ldp Donza,2025-09-13 09:12:51
Total – Game,Under 147.5,1.862,Phantoms Boom vs Ldp Donza,2025-09-13 09:12:51
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 09:12:51
Money Line – Game,Ldp Donza,6.82,Phantoms Boom vs Ldp Donza,2025-09-13 09:12:51
Handicap – Game,Phantoms Boom -19.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 09:12:51
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 09:12:51
Money Line – Game,Phantoms Boom,1.01,Phantoms Boom vs Ldp Donza,2025-09-13 09:29:05
Money Line – Game,Ldp Donza,6.82,Phantoms Boom vs Ldp Donza,2025-09-13 09:29:05
Handicap – Game,Phantoms Boom -19.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 09:29:05
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 09:29:05
Total – Game,Over 147.5,1.74,Phantoms Boom vs Ldp Donza,2025-09-13 09:29:05
Total – Game,Under 147.5,1.862,Phantoms Boom vs Ldp Donza,2025-09-13 09:29:05
Total – Game,Under 147.5,1.862,Phantoms Boom vs Ldp Donza,2025-09-13 09:58:32
Total – Game,Over 147.5,1.74,Phantoms Boom vs Ldp Donza,2025-09-13 09:58:32
Handicap – Game,Ldp Donza +19.5,1.84,Phantoms Boom vs Ldp Donza,2025-09-13 09:58:32
Handicap – Game,Phantoms Boom -19.5,1.757,Phantoms Boom vs Ldp Donza,2025-09-13 09:58:32
Money Line – Game,Ldp Donza,6.82,Phantoms Boom vs Ldp Donza,2025-09-13 09:58:32
