team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Liege Panthers,BC Namur Capitale,https://www.pinnacle.com/en/basketball/belgium-division-1-women/liege-panthers-vs-bc-namur-capitale/1614979498/,3.99,1.149,9.5,1.84,-9.5,1.826,136.5,1.826,136.5,1.84,2025-09-10 17:46:23
Liege Panthers,BC Namur Capitale,https://www.pinnacle.com/en/basketball/belgium-division-1-women/liege-panthers-vs-bc-namur-capitale/1614979498/,3.99,1.149,9.5,1.84,-9.5,1.826,136.5,1.826,136.5,1.84,2025-09-10 17:53:12
Liege Panthers,BC Namur Capitale,https://www.pinnacle.com/en/basketball/belgium-division-1-women/liege-panthers-vs-bc-namur-capitale/1614979498/,3.95,1.153,9.5,1.813,-9.5,1.854,136.5,1.833,136.5,1.833,2025-09-10 17:59:06
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 16:36:55
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 16:43:40
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 16:53:31
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 17:05:57
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 17:17:56
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 17:26:11
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 17:33:00
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 17:40:38
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 17:47:09
Spirou Charleroi,Basket Lummen,https://www.pinnacle.com/en/basketball/belgium-division-1-women/spirou-charleroi-vs-basket-lummen/1615126847/,1.036,6.53,-17.5,1.781,17.5,1.892,142.5,1.806,142.5,1.862,2025-09-12 17:53:26
