Market,Selection,Odds,matchup,timestamp
Money Line – Game,Bbc Falco Gent Hse A,1.122,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:44:01
Money Line – Game,Gembo Borgerhout,4.31,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:44:01
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:44:01
Handicap – Game,Gembo Borgerhout +10.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:44:01
Total – Game,Over 161.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:44:01
Total – Game,Under 161.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:44:01
Total – Game,Under 161.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:53:52
Total – Game,Over 161.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:53:52
Handicap – Game,Gembo Borgerhout +10.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:53:52
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:53:52
Money Line – Game,Gembo Borgerhout,4.31,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:53:52
Money Line – Game,Bbc Falco Gent Hse A,1.122,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 16:53:52
Total – Game,Under 168.5,1.793,Liege Basket vs BC Guco Lier,2025-09-12 17:06:17
Total – Game,Over 168.5,1.877,Liege Basket vs BC Guco Lier,2025-09-12 17:06:17
Handicap – Game,BC Guco Lier -2.5,1.854,Liege Basket vs BC Guco Lier,2025-09-12 17:06:17
Handicap – Game,Liege Basket +2.5,1.813,Liege Basket vs BC Guco Lier,2025-09-12 17:06:17
Money Line – Game,BC Guco Lier,1.628,Liege Basket vs BC Guco Lier,2025-09-12 17:06:17
Money Line – Game,Liege Basket,2.09,Liege Basket vs BC Guco Lier,2025-09-12 17:06:17
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:06:17
Total – Game,Over 161.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:06:17
Handicap – Game,Gembo Borgerhout +10.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:06:17
Money Line – Game,Gembo Borgerhout,4.31,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:06:17
Money Line – Game,Bbc Falco Gent Hse A,1.122,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:06:17
Total – Game,Under 161.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:06:17
Money Line – Game,BC Guco Lier,1.628,Liege Basket vs BC Guco Lier,2025-09-12 17:18:01
Total – Game,Under 166.5,1.813,Liege Basket vs BC Guco Lier,2025-09-12 17:18:01
Total – Game,Over 166.5,1.854,Liege Basket vs BC Guco Lier,2025-09-12 17:18:01
Handicap – Game,BC Guco Lier -2.5,1.862,Liege Basket vs BC Guco Lier,2025-09-12 17:18:01
Handicap – Game,Liege Basket +2.5,1.806,Liege Basket vs BC Guco Lier,2025-09-12 17:18:01
Money Line – Game,Liege Basket,2.09,Liege Basket vs BC Guco Lier,2025-09-12 17:18:01
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:18:01
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:18:01
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:18:01
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:18:01
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:18:01
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:18:01
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:33:07
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:33:07
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:33:07
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:33:07
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:33:07
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:33:07
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:40:43
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:40:43
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:40:43
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:40:43
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:40:43
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:40:43
Money Line – Game,BC Guco Lier,1.657,Liege Basket vs BC Guco Lier,2025-09-12 17:53:31
Total – Game,Under 166.5,1.813,Liege Basket vs BC Guco Lier,2025-09-12 17:53:31
Total – Game,Over 166.5,1.854,Liege Basket vs BC Guco Lier,2025-09-12 17:53:31
Handicap – Game,BC Guco Lier -2.5,1.909,Liege Basket vs BC Guco Lier,2025-09-12 17:53:31
Handicap – Game,Liege Basket +2.5,1.763,Liege Basket vs BC Guco Lier,2025-09-12 17:53:31
Money Line – Game,Liege Basket,2.04,Liege Basket vs BC Guco Lier,2025-09-12 17:53:31
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:53:31
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:53:31
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:53:31
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:53:31
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:53:31
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 17:53:31
Total – Game,Under 166.5,1.813,Liege Basket vs BC Guco Lier,2025-09-12 18:00:42
Total – Game,Over 166.5,1.854,Liege Basket vs BC Guco Lier,2025-09-12 18:00:42
Handicap – Game,BC Guco Lier -2.5,1.909,Liege Basket vs BC Guco Lier,2025-09-12 18:00:42
Handicap – Game,Liege Basket +2.5,1.763,Liege Basket vs BC Guco Lier,2025-09-12 18:00:42
Money Line – Game,BC Guco Lier,1.657,Liege Basket vs BC Guco Lier,2025-09-12 18:00:42
Money Line – Game,Liege Basket,2.04,Liege Basket vs BC Guco Lier,2025-09-12 18:00:42
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:00:42
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:00:42
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:00:42
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:00:42
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:00:42
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:00:42
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:26:00
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:26:00
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:26:00
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:26:00
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:26:00
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:26:00
Total – Game,Under 166.5,1.813,Liege Basket vs BC Guco Lier,2025-09-12 18:39:12
Total – Game,Over 166.5,1.854,Liege Basket vs BC Guco Lier,2025-09-12 18:39:12
Handicap – Game,BC Guco Lier -2.5,1.909,Liege Basket vs BC Guco Lier,2025-09-12 18:39:12
Money Line – Game,BC Guco Lier,1.657,Liege Basket vs BC Guco Lier,2025-09-12 18:39:12
Money Line – Game,Liege Basket,2.04,Liege Basket vs BC Guco Lier,2025-09-12 18:39:12
Handicap – Game,Liege Basket +2.5,1.763,Liege Basket vs BC Guco Lier,2025-09-12 18:39:12
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:39:12
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:39:12
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:39:12
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:39:12
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:39:12
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:39:12
Money Line – Game,Bbc Falco Gent Hse A,1.123,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:43:04
Money Line – Game,Gembo Borgerhout,4.3,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:43:04
Handicap – Game,Bbc Falco Gent Hse A -10.5,1.862,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:43:04
Handicap – Game,Gembo Borgerhout +10.5,1.806,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:43:04
Total – Game,Over 159.5,1.84,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:43:04
Total – Game,Under 159.5,1.826,Bbc Falco Gent Hse A vs Gembo Borgerhout,2025-09-12 18:43:04
Total – Game,Over 166.5,1.854,Liege Basket vs BC Guco Lier,2025-09-12 18:54:32
Handicap – Game,BC Guco Lier -2.5,1.909,Liege Basket vs BC Guco Lier,2025-09-12 18:54:32
Total – Game,Under 166.5,1.813,Liege Basket vs BC Guco Lier,2025-09-12 18:54:32
