team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.122,4.31,-10.5,1.84,10.5,1.826,161.5,1.826,161.5,1.84,2025-09-12 16:37:15
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.813,-2.5,1.854,168.5,1.877,168.5,1.793,2025-09-12 16:37:15
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.122,4.31,-10.5,1.84,10.5,1.826,161.5,1.826,161.5,1.84,2025-09-12 16:44:01
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.813,-2.5,1.854,168.5,1.877,168.5,1.793,2025-09-12 16:44:01
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.122,4.31,-10.5,1.84,10.5,1.826,161.5,1.826,161.5,1.84,2025-09-12 16:53:52
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.813,-2.5,1.854,168.5,1.877,168.5,1.793,2025-09-12 16:53:52
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.122,4.31,-10.5,1.84,10.5,1.826,161.5,1.826,161.5,1.84,2025-09-12 17:06:17
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.813,-2.5,1.854,168.5,1.877,168.5,1.793,2025-09-12 17:06:17
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.813,-2.5,1.854,168.5,1.877,168.5,1.793,2025-09-12 17:18:01
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.122,4.31,-10.5,1.84,10.5,1.826,161.5,1.826,161.5,1.84,2025-09-12 17:18:01
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.122,4.31,-10.5,1.84,10.5,1.826,161.5,1.826,161.5,1.84,2025-09-12 17:26:16
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.813,-2.5,1.854,168.5,1.877,168.5,1.793,2025-09-12 17:26:16
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 17:33:07
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.806,-2.5,1.862,166.5,1.854,166.5,1.813,2025-09-12 17:33:07
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 17:40:43
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.806,-2.5,1.862,166.5,1.854,166.5,1.813,2025-09-12 17:40:43
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.806,-2.5,1.862,166.5,1.854,166.5,1.813,2025-09-12 17:47:30
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 17:47:30
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 17:53:31
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.09,1.628,2.5,1.806,-2.5,1.862,166.5,1.854,166.5,1.813,2025-09-12 17:53:31
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 18:00:42
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 18:00:42
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 18:18:36
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 18:18:36
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 18:26:00
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 18:26:00
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 18:39:12
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 18:39:12
Bbc Falco Gent Hse A,Gembo Borgerhout,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-falco-gent-hse-a-vs-gembo-borgerhout/1614766751/,1.123,4.3,-10.5,1.862,10.5,1.806,159.5,1.84,159.5,1.826,2025-09-12 18:43:04
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 18:43:04
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 18:50:14
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 18:54:32
Liege Basket,BC Guco Lier,https://www.pinnacle.com/en/basketball/belgium-top-division-1/liege-basket-vs-bc-guco-lier/1614907307/,2.04,1.657,2.5,1.763,-2.5,1.909,166.5,1.854,166.5,1.813,2025-09-12 19:00:11
Basket Waregem,Antwerp Giants B,https://www.pinnacle.com/en/basketball/belgium-top-division-1/basket-waregem-vs-antwerp-giants-b/1614823090/,1.042,5.3,-13.0,1.769,13.0,1.833,157.5,1.806,157.5,1.793,2025-09-13 01:48:53
Basket SKT Ieper HSE,Basket Willebroek,https://www.pinnacle.com/en/basketball/belgium-top-division-1/basket-skt-ieper-hse-vs-basket-willebroek/1614824409/,1.203,3.24,-7.5,1.793,7.5,1.806,164.5,1.775,164.5,1.826,2025-09-13 01:48:53
Bbc Croonen Lommel,Spirou Charleroi B,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-croonen-lommel-vs-spirou-charleroi-b/1614823088/,1.172,3.45,-8.0,1.781,8.0,1.813,160.0,1.819,160.0,1.781,2025-09-13 01:48:53
Kontich Wolves HSE,Sfs Bcca Neufchateau,https://www.pinnacle.com/en/basketball/belgium-top-division-1/kontich-wolves-hse-vs-sfs-bcca-neufchateau/1614818583/,1.854,1.751,1.5,1.775,-1.5,1.826,163.5,1.781,163.5,1.819,2025-09-13 01:48:53
Bbc Croonen Lommel,Spirou Charleroi B,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-croonen-lommel-vs-spirou-charleroi-b/1614823088/,1.172,3.45,-8.0,1.781,8.0,1.813,160.0,1.819,160.0,1.781,2025-09-13 01:58:03
Kontich Wolves HSE,Sfs Bcca Neufchateau,https://www.pinnacle.com/en/basketball/belgium-top-division-1/kontich-wolves-hse-vs-sfs-bcca-neufchateau/1614818583/,1.854,1.751,1.5,1.775,-1.5,1.826,163.5,1.781,163.5,1.819,2025-09-13 01:58:03
Basket SKT Ieper HSE,Basket Willebroek,https://www.pinnacle.com/en/basketball/belgium-top-division-1/basket-skt-ieper-hse-vs-basket-willebroek/1614824409/,1.203,3.24,-7.5,1.793,7.5,1.806,164.5,1.775,164.5,1.826,2025-09-13 01:58:03
Basket Waregem,Antwerp Giants B,https://www.pinnacle.com/en/basketball/belgium-top-division-1/basket-waregem-vs-antwerp-giants-b/1614823090/,1.042,5.3,-13.0,1.769,13.0,1.833,157.5,1.806,157.5,1.793,2025-09-13 01:58:03
Bbc Croonen Lommel,Spirou Charleroi B,https://www.pinnacle.com/en/basketball/belgium-top-division-1/bbc-croonen-lommel-vs-spirou-charleroi-b/1614823088/,1.172,3.45,-8.0,1.781,8.0,1.813,160.0,1.819,160.0,1.781,2025-09-13 02:45:44
