team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KK Jahorina Pale,Mladost Mrkonjic,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-mladost-mrkonjic/1617606873/,1.028,5.8,-15.5,1.719,15.5,1.884,157.5,1.833,157.5,1.833,2025-10-20 16:01:32
KK Jahorina Pale,Mladost Mrkonjic,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-mladost-mrkonjic/1617606873/,1.028,5.8,-15.5,1.719,15.5,1.884,157.5,1.833,157.5,1.833,2025-10-20 16:36:53
KK Jahorina Pale,Mladost Mrkonjic,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-mladost-mrkonjic/1617606873/,1.028,5.8,-15.5,1.719,15.5,1.884,157.5,1.833,157.5,1.833,2025-10-20 16:46:50
KK Jahorina Pale,Mladost Mrkonjic,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-mladost-mrkonjic/1617606873/,1.028,5.8,-16.0,1.793,16.0,1.806,157.5,1.806,157.5,1.862,2025-10-20 16:58:14
KK Jahorina Pale,HKK Zrinjski Mostar,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-hkk-zrinjski-mostar/1619914485/,1.084,4.39,-10.0,1.826,10.0,1.775,160.0,1.793,160.0,1.806,2025-11-24 00:05:56
KK Jahorina Pale,HKK Zrinjski Mostar,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-hkk-zrinjski-mostar/1619914485/,1.084,4.39,-10.0,1.826,10.0,1.775,160.0,1.793,160.0,1.806,2025-11-24 03:45:56
KK Jahorina Pale,HKK Zrinjski Mostar,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-hkk-zrinjski-mostar/1619914485/,1.084,4.39,-10.0,1.826,10.0,1.775,160.0,1.793,160.0,1.806,2025-11-24 05:32:09
KK Jahorina Pale,HKK Zrinjski Mostar,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-hkk-zrinjski-mostar/1619914485/,1.084,4.39,-10.0,1.826,10.0,1.775,160.0,1.793,160.0,1.806,2025-11-24 05:51:41
KK Jahorina Pale,HKK Zrinjski Mostar,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-hkk-zrinjski-mostar/1619914485/,1.084,4.39,-10.0,1.826,10.0,1.775,160.0,1.793,160.0,1.806,2025-11-24 06:43:35
KK Jahorina Pale,HKK Zrinjski Mostar,https://www.pinnacle.com/en/basketball/bosnia-and-herzegovina-prvenstvo-bih/kk-jahorina-pale-vs-hkk-zrinjski-mostar/1619914485/,1.084,4.39,-10.0,1.826,10.0,1.775,160.0,1.793,160.0,1.806,2025-11-24 07:48:11
