Market,Selection,Odds,matchup,timestamp
Handicap – Game,Mladi Krajisnik +29.5,1.757,Mladi Krajisnik vs Lavovi,2026-01-05 16:15:45
Handicap – Game,Lavovi -29.5,1.909,Mladi Krajisnik vs Lavovi,2026-01-05 16:15:45
Total – Game,Over 128.5,1.826,Mladi Krajisnik vs Lavovi,2026-01-05 16:15:45
Total – Game,Under 128.5,1.84,Mladi Krajisnik vs Lavovi,2026-01-05 16:15:45
Handicap – Game,Mladi Krajisnik +29.5,1.757,Mladi Krajisnik vs Lavovi,2026-01-05 16:41:47
Handicap – Game,Lavovi -29.5,1.909,Mladi Krajisnik vs Lavovi,2026-01-05 16:41:47
Total – Game,Over 128.5,1.826,Mladi Krajisnik vs Lavovi,2026-01-05 16:41:47
Total – Game,Under 128.5,1.84,Mladi Krajisnik vs Lavovi,2026-01-05 16:41:47
Handicap – Game,Mladi Krajisnik +29.5,1.757,Mladi Krajisnik vs Lavovi,2026-01-05 17:43:25
Handicap – Game,Lavovi -29.5,1.909,Mladi Krajisnik vs Lavovi,2026-01-05 17:43:25
Total – Game,Over 128.5,1.826,Mladi Krajisnik vs Lavovi,2026-01-05 17:43:25
Total – Game,Under 128.5,1.840,Mladi Krajisnik vs Lavovi,2026-01-05 17:43:25
