Market,Selection,Odds,matchup,timestamp
Handicap – Game,Sao Jose -38.5,1.8,Sao Jose vs Macapa,2025-12-01 13:53:33
Handicap – Game,Macapa +38.5,1.8,Sao Jose vs Macapa,2025-12-01 13:53:33
Total – Game,Over 117.5,1.813,Sao Jose vs Macapa,2025-12-01 13:53:33
Total – Game,Under 117.5,1.787,Sao Jose vs Macapa,2025-12-01 13:53:33
Handicap – Game,Sao Jose -38.5,1.8,Sao Jose vs Macapa,2025-12-01 14:07:37
Handicap – Game,Macapa +38.5,1.8,Sao Jose vs Macapa,2025-12-01 14:07:37
Total – Game,Over 117.5,1.813,Sao Jose vs Macapa,2025-12-01 14:07:37
Total – Game,Under 117.5,1.787,Sao Jose vs Macapa,2025-12-01 14:07:37
Handicap – Game,Sao Jose -38.5,1.8,Sao Jose vs Macapa,2025-12-01 14:49:25
Handicap – Game,Macapa +38.5,1.8,Sao Jose vs Macapa,2025-12-01 14:49:25
Total – Game,Over 117.5,1.813,Sao Jose vs Macapa,2025-12-01 14:49:25
Total – Game,Under 117.5,1.787,Sao Jose vs Macapa,2025-12-01 14:49:25
Handicap – Game,Sao Jose -38.5,1.8,Sao Jose vs Macapa,2025-12-01 16:12:42
Handicap – Game,Macapa +38.5,1.8,Sao Jose vs Macapa,2025-12-01 16:12:42
Total – Game,Over 117.5,1.813,Sao Jose vs Macapa,2025-12-01 16:12:42
Total – Game,Under 117.5,1.787,Sao Jose vs Macapa,2025-12-01 16:12:42
Handicap – Game,Sao Jose -38.5,1.833,Sao Jose vs Macapa,2025-12-01 17:46:16
Handicap – Game,Macapa +38.5,1.833,Sao Jose vs Macapa,2025-12-01 17:46:16
Total – Game,Over 117.5,1.847,Sao Jose vs Macapa,2025-12-01 17:46:16
Total – Game,Under 117.5,1.819,Sao Jose vs Macapa,2025-12-01 17:46:16
Handicap – Game,Sao Jose -38.5,1.833,Sao Jose vs Macapa,2025-12-01 19:02:21
Handicap – Game,Macapa +38.5,1.833,Sao Jose vs Macapa,2025-12-01 19:02:21
Total – Game,Over 117.5,1.847,Sao Jose vs Macapa,2025-12-01 19:02:21
Total – Game,Under 117.5,1.819,Sao Jose vs Macapa,2025-12-01 19:02:21
Handicap – Game,Sao Jose -38.5,1.833,Sao Jose vs Macapa,2025-12-01 19:36:20
Handicap – Game,Macapa +38.5,1.833,Sao Jose vs Macapa,2025-12-01 19:36:20
Total – Game,Over 117.5,1.847,Sao Jose vs Macapa,2025-12-01 19:36:20
Total – Game,Under 117.5,1.819,Sao Jose vs Macapa,2025-12-01 19:36:20
Handicap – Game,Sao Jose -38.5,1.833,Sao Jose vs Macapa,2025-12-01 19:54:34
Handicap – Game,Macapa +38.5,1.833,Sao Jose vs Macapa,2025-12-01 19:54:34
Total – Game,Over 117.5,1.847,Sao Jose vs Macapa,2025-12-01 19:54:34
Total – Game,Under 117.5,1.819,Sao Jose vs Macapa,2025-12-01 19:54:34
Handicap – Game,Sao Jose -38.5,1.833,Sao Jose vs Macapa,2025-12-01 20:06:34
Handicap – Game,Macapa +38.5,1.833,Sao Jose vs Macapa,2025-12-01 20:06:34
Total – Game,Over 117.5,1.847,Sao Jose vs Macapa,2025-12-01 20:06:34
Total – Game,Under 117.5,1.819,Sao Jose vs Macapa,2025-12-01 20:06:34
Handicap – Game,Sao Jose -38.5,2.1,Sao Jose vs Macapa,2025-12-01 20:51:46
Handicap – Game,Macapa +38.5,1.621,Sao Jose vs Macapa,2025-12-01 20:51:46
Total – Game,Over 117.5,1.847,Sao Jose vs Macapa,2025-12-01 20:51:46
Total – Game,Under 117.5,1.819,Sao Jose vs Macapa,2025-12-01 20:51:46
