team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.8,38.5,1.8,117.5,1.813,117.5,1.787,2025-12-01 13:44:06
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.8,38.5,1.8,117.5,1.813,117.5,1.787,2025-12-01 13:53:33
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.8,38.5,1.8,117.5,1.813,117.5,1.787,2025-12-01 14:07:37
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.8,38.5,1.8,117.5,1.813,117.5,1.787,2025-12-01 14:49:25
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.8,38.5,1.8,117.5,1.813,117.5,1.787,2025-12-01 16:12:42
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.8,38.5,1.8,117.5,1.813,117.5,1.787,2025-12-01 17:17:55
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.833,38.5,1.833,117.5,1.847,117.5,1.819,2025-12-01 17:46:16
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.833,38.5,1.833,117.5,1.847,117.5,1.819,2025-12-01 18:00:29
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.833,38.5,1.833,117.5,1.847,117.5,1.819,2025-12-01 19:02:21
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.833,38.5,1.833,117.5,1.847,117.5,1.819,2025-12-01 19:36:20
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.833,38.5,1.833,117.5,1.847,117.5,1.819,2025-12-01 19:54:34
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,1.833,38.5,1.833,117.5,1.847,117.5,1.819,2025-12-01 20:06:34
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,2.1,38.5,1.621,117.5,1.847,117.5,1.819,2025-12-01 20:51:46
Sao Jose,Macapa,https://www.pinnacle.com/en/basketball/brazil-amapaense/sao-jose-vs-macapa/1620593252/,,,-38.5,2.1,38.5,1.621,117.5,1.847,117.5,1.819,2025-12-01 21:07:24
Macapa,Amauto,https://www.pinnacle.com/en/basketball/brazil-amapaense/macapa-vs-amauto/1620593251/,8.25,1.014,20.5,1.869,-20.5,1.8,127.5,1.862,127.5,1.806,2025-12-03 19:04:00
Macapa,Amauto,https://www.pinnacle.com/en/basketball/brazil-amapaense/macapa-vs-amauto/1620593251/,8.25,1.014,20.5,1.869,-20.5,1.8,127.5,1.862,127.5,1.806,2025-12-03 19:46:43
Macapa,Amauto,https://www.pinnacle.com/en/basketball/brazil-amapaense/macapa-vs-amauto/1620593251/,8.25,1.014,20.5,1.869,-20.5,1.8,127.5,1.862,127.5,1.806,2025-12-03 20:09:28
Macapa,Amauto,https://www.pinnacle.com/en/basketball/brazil-amapaense/macapa-vs-amauto/1620593251/,8.25,1.014,20.5,1.869,-20.5,1.8,127.5,1.862,127.5,1.806,2025-12-03 20:59:38
Macapa,Amauto,https://www.pinnacle.com/en/basketball/brazil-amapaense/macapa-vs-amauto/1620593251/,7.78,1.018,19.0,1.833,-19.0,1.833,126.5,1.819,126.5,1.847,2025-12-03 21:25:58
Macapa,Amauto,https://www.pinnacle.com/en/basketball/brazil-amapaense/macapa-vs-amauto/1620593251/,7.78,1.018,19.0,1.833,-19.0,1.833,126.5,1.819,126.5,1.847,2025-12-03 21:43:23
Esporte Clube Macapa,SER Sao Jose,https://www.pinnacle.com/en/basketball/brazil-amapaense/esporte-clube-macapa-vs-ser-sao-jose/1621108281/,,,48.5,1.8,-48.5,1.8,134.5,1.8,134.5,1.8,2025-12-10 19:15:02
Esporte Clube Macapa,SER Sao Jose,https://www.pinnacle.com/en/basketball/brazil-amapaense/esporte-clube-macapa-vs-ser-sao-jose/1621108281/,,,48.5,1.8,-48.5,1.8,134.5,1.8,134.5,1.8,2025-12-10 19:30:43
Esporte Clube Macapa,SER Sao Jose,https://www.pinnacle.com/en/basketball/brazil-amapaense/esporte-clube-macapa-vs-ser-sao-jose/1621108281/,,,48.5,1.8,-48.5,1.8,134.5,1.8,134.5,1.8,2025-12-10 19:46:39
Esporte Clube Macapa,SER Sao Jose,https://www.pinnacle.com/en/basketball/brazil-amapaense/esporte-clube-macapa-vs-ser-sao-jose/1621108281/,,,48.5,1.8,-48.5,1.8,134.5,1.8,134.5,1.8,2025-12-10 19:59:46
Esporte Clube Macapa,SER Sao Jose,https://www.pinnacle.com/en/basketball/brazil-amapaense/esporte-clube-macapa-vs-ser-sao-jose/1621108281/,,,48.5,1.8,-48.5,1.8,134.5,1.8,134.5,1.8,2025-12-10 21:10:02
Esporte Clube Macapa,SER Sao Jose,https://www.pinnacle.com/en/basketball/brazil-amapaense/esporte-clube-macapa-vs-ser-sao-jose/1621108281/,,,48.5,1.833,-48.5,1.833,134.5,1.833,134.5,1.833,2025-12-10 21:40:15
Esporte Clube Macapa,SER Sao Jose,https://www.pinnacle.com/en/basketball/brazil-amapaense/esporte-clube-macapa-vs-ser-sao-jose/1621108281/,,,48.5,1.649,-48.5,2.06,134.5,1.833,134.5,1.833,2025-12-10 21:57:10
Santos Macapa,Amauto Esporte Clube,https://www.pinnacle.com/en/basketball/brazil-amapaense/santos-macapa-vs-amauto-esporte-clube/1621117500/,2.2,1.515,3.5,1.8,-3.5,1.8,123.5,1.8,123.5,1.8,2025-12-11 17:18:08
Santos Macapa,Amauto Esporte Clube,https://www.pinnacle.com/en/basketball/brazil-amapaense/santos-macapa-vs-amauto-esporte-clube/1621117500/,2.24,1.543,3.5,1.833,-3.5,1.833,123.5,1.833,123.5,1.833,2025-12-11 18:00:34
Santos Macapa,Amauto Esporte Clube,https://www.pinnacle.com/en/basketball/brazil-amapaense/santos-macapa-vs-amauto-esporte-clube/1621117500/,2.24,1.543,3.5,1.833,-3.5,1.833,123.5,1.833,123.5,1.833,2025-12-11 18:52:23
Santos Macapa,Amauto Esporte Clube,https://www.pinnacle.com/en/basketball/brazil-amapaense/santos-macapa-vs-amauto-esporte-clube/1621117500/,2.24,1.543,3.5,1.833,-3.5,1.833,123.5,1.833,123.5,1.833,2025-12-11 19:42:45
Santos Macapa,Amauto Esporte Clube,https://www.pinnacle.com/en/basketball/brazil-amapaense/santos-macapa-vs-amauto-esporte-clube/1621117500/,2.24,1.543,3.5,1.833,-3.5,1.833,123.5,1.833,123.5,1.833,2025-12-11 19:57:03
