Market,Selection,Odds,matchup,timestamp
Handicap – Game,Jacarepagua -25.5,1.84,Jacarepagua vs Iraja BC,2025-09-10 17:46:43
Handicap – Game,Botafogo -8.0,1.564,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 130,1.653,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 130,2.14,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 130.5,1.689,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 130.5,2.09,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 131,1.729,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 131,2.03,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 131.5,1.769,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 131.5,1.98,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 132,1.819,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +8.0,2.27,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 132.5,1.833,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 133,1.925,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 133,1.813,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 133.5,1.99,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 133.5,1.763,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 134,2.04,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 134,1.724,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 134.5,2.1,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 134.5,1.684,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Over 135,2.15,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 135,1.649,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 132.5,1.833,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -8.5,1.609,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 132,1.925,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -9.0,1.657,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +8.5,2.19,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Iraja BC +25.5,1.9,Jacarepagua vs Iraja BC,2025-09-10 17:46:43
Total – Game,Over 125.5,1.869,Jacarepagua vs Iraja BC,2025-09-10 17:46:43
Total – Game,Under 125.5,1.869,Jacarepagua vs Iraja BC,2025-09-10 17:46:43
Money Line – Game,Fluminese,4.62,Fluminese vs Botafogo,2025-09-10 17:46:43
Money Line – Game,Botafogo,1.102,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +13.0,1.564,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +12.5,1.609,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -12.5,2.19,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +12.0,1.657,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -12.0,2.11,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -13.0,2.27,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -9.5,1.719,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -11.5,2.03,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +11.0,1.787,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -11.0,1.952,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +10.5,1.833,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -10.5,1.833,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +10.0,1.952,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Botafogo -10.0,1.787,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +9.5,2.03,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +11.5,1.719,Fluminese vs Botafogo,2025-09-10 17:46:43
Handicap – Game,Fluminese +9.0,2.11,Fluminese vs Botafogo,2025-09-10 17:46:43
Total – Game,Under 131.5,1.98,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 131.5,1.769,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 131,2.03,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 131,1.729,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -8.0,1.564,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 130.5,1.689,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 130,2.14,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 130,1.653,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 132,1.819,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 130.5,2.09,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 132,1.925,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 135,1.649,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 132.5,1.833,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 133,1.925,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 133,1.813,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 133.5,1.99,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 133.5,1.763,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 134,2.04,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 134,1.724,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 134.5,2.1,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 134.5,1.684,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 135,2.15,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +8.0,2.27,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Over 132.5,1.833,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -8.5,1.609,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -12.0,2.11,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -9.0,1.657,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +8.5,2.19,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Iraja BC +25.5,1.9,Jacarepagua vs Iraja BC,2025-09-10 17:53:17
Total – Game,Over 125.5,1.869,Jacarepagua vs Iraja BC,2025-09-10 17:53:17
Total – Game,Under 125.5,1.869,Jacarepagua vs Iraja BC,2025-09-10 17:53:17
Money Line – Game,Fluminese,4.62,Fluminese vs Botafogo,2025-09-10 17:53:17
Money Line – Game,Botafogo,1.102,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +13.0,1.564,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -13.0,2.27,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +12.5,1.609,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -12.5,2.19,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +12.0,1.657,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Jacarepagua -25.5,1.84,Jacarepagua vs Iraja BC,2025-09-10 17:53:17
Handicap – Game,Fluminese +11.5,1.719,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -9.5,1.719,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +9.5,2.03,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -10.0,1.787,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +10.0,1.952,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +9.0,2.11,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +10.5,1.833,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -11.0,1.952,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Fluminese +11.0,1.787,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -11.5,2.03,Fluminese vs Botafogo,2025-09-10 17:53:17
Handicap – Game,Botafogo -10.5,1.833,Fluminese vs Botafogo,2025-09-10 17:53:17
Total – Game,Under 132,1.925,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 130,2.14,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 130.5,1.689,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 130.5,2.09,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 131,1.729,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 131,2.03,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 131.5,1.769,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 131.5,1.98,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 132,1.819,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 132.5,1.869,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 134,2.04,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 133,1.925,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 133,1.813,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 133.5,1.99,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 133.5,1.763,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 130,1.653,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 134,1.724,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 134.5,2.1,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 134.5,1.684,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Over 135,2.15,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 135,1.649,Fluminese vs Botafogo,2025-09-10 18:17:55
Total – Game,Under 132.5,1.869,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Botafogo -8.0,1.564,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Botafogo -12.0,2.11,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Botafogo -8.5,1.609,Fluminese vs Botafogo,2025-09-10 18:17:55
Money Line – Game,Botafogo,1.121,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Fluminese +13.0,1.564,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Botafogo -13.0,2.27,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Fluminese +12.5,1.609,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Botafogo -12.5,2.19,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Fluminese +12.0,1.657,Fluminese vs Botafogo,2025-09-10 18:17:55
Handicap – Game,Fluminese +11.5,1.719,Fluminese vs Botafogo,2025-09-10 18:17:55
