team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Jacarepagua,Iraja BC,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/jacarepagua-vs-iraja-bc/1614928278/,,,-25.5,1.84,25.5,1.9,125.5,1.869,125.5,1.869,2025-09-10 17:46:43
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.62,1.102,10.5,1.833,-10.5,1.833,132.5,1.833,132.5,1.833,2025-09-10 17:46:43
Jacarepagua,Iraja BC,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/jacarepagua-vs-iraja-bc/1614928278/,,,-25.5,1.84,25.5,1.9,125.5,1.869,125.5,1.869,2025-09-10 17:53:17
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.62,1.102,10.5,1.833,-10.5,1.833,132.5,1.833,132.5,1.833,2025-09-10 17:53:17
Jacarepagua,Iraja BC,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/jacarepagua-vs-iraja-bc/1614928278/,,,-25.5,1.854,25.5,1.884,125.5,1.869,125.5,1.869,2025-09-10 17:59:11
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.62,1.102,10.5,1.833,-10.5,1.833,132.5,1.833,132.5,1.833,2025-09-10 17:59:11
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 18:17:55
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 18:43:19
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 18:48:18
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 18:54:10
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 18:59:53
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:23:56
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:27:33
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:39:20
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:42:27
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:46:16
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:51:55
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:55:10
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 19:58:57
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 20:32:18
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 20:42:32
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 20:46:44
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 20:53:06
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 20:59:23
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:03:13
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:12:20
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:16:34
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:26:43
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:32:57
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:36:54
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:39:55
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:44:43
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:51:43
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:55:12
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 21:58:24
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 22:30:09
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 22:34:55
Fluminese,Botafogo,https://www.pinnacle.com/en/basketball/brazil-camp-carioca-u19/fluminese-vs-botafogo/1614928838/,4.92,1.121,10.5,1.869,-10.5,1.869,132.5,1.869,132.5,1.869,2025-09-10 22:39:36
