team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Ajab Secel,ADIEE,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/ajab-secel-vs-adiee/1617127949/,,,-40.5,1.869,40.5,1.869,155.0,1.793,155.0,1.952,2025-10-08 22:34:11
Ajab Secel,ADIEE,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/ajab-secel-vs-adiee/1617127949/,,,-40.5,1.869,40.5,1.869,155.0,1.793,155.0,1.952,2025-10-08 22:44:11
Ajab Secel,ADIEE,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/ajab-secel-vs-adiee/1617127949/,,,-40.5,1.884,40.5,1.854,155.0,1.793,155.0,1.952,2025-10-08 22:56:25
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.409,2.55,-4.0,1.781,4.0,1.892,154.5,1.877,154.5,1.793,2025-10-09 03:06:02
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.295,2.97,-6.5,1.9,6.5,1.769,154.5,1.862,154.5,1.806,2025-10-09 17:28:59
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.295,2.97,-6.5,1.9,6.5,1.769,154.5,1.862,154.5,1.806,2025-10-09 17:44:31
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.295,2.97,-6.5,1.9,6.5,1.769,154.5,1.862,154.5,1.806,2025-10-09 17:58:42
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.323,3.05,-6.5,1.934,6.5,1.806,154.5,1.9,154.5,1.84,2025-10-09 18:37:34
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.323,3.05,-6.5,1.934,6.5,1.806,154.5,1.9,154.5,1.84,2025-10-09 18:57:34
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.323,3.05,-6.5,1.934,6.5,1.806,154.5,1.9,154.5,1.84,2025-10-09 19:42:14
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.323,3.05,-6.5,1.934,6.5,1.806,154.5,1.9,154.5,1.84,2025-10-09 19:56:00
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.323,3.05,-6.5,1.934,6.5,1.806,154.5,1.9,154.5,1.84,2025-10-09 20:03:11
APAB Blumenau,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-campeonato-fcb/apab-blumenau-vs-brusque-aradefe/1616798903/,1.323,3.05,-6.5,1.934,6.5,1.806,154.5,1.9,154.5,1.84,2025-10-09 20:29:14
