team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-15 23:26:18
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-15 23:55:22
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 00:02:06
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 01:51:03
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 01:55:22
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 03:01:52
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 03:38:44
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 03:55:11
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 03:59:18
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 04:45:58
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 04:58:44
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 05:03:17
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 07:42:40
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 07:55:32
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 08:34:33
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 08:38:33
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 08:57:52
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 09:05:55
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 09:30:13
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 09:36:22
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 09:46:48
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 09:51:25
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 09:59:34
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 10:04:52
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 10:30:30
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 10:35:13
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 11:23:39
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 11:41:40
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.296,3.19,-6.5,1.862,6.5,1.877,152.0,1.833,152.0,1.909,2025-09-16 11:45:35
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.292,3.21,-6.5,1.84,6.5,1.9,155.0,1.892,155.0,1.847,2025-09-16 11:55:43
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.292,3.21,-6.5,1.84,6.5,1.9,155.0,1.892,155.0,1.847,2025-09-16 12:52:35
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.291,3.22,-6.5,1.833,6.5,1.909,156.0,1.877,156.0,1.862,2025-09-16 13:34:40
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.291,3.22,-6.5,1.833,6.5,1.909,156.0,1.877,156.0,1.862,2025-09-16 13:43:08
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.291,3.22,-6.5,1.833,6.5,1.909,156.0,1.877,156.0,1.862,2025-09-16 13:57:26
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.291,3.22,-6.5,1.833,6.5,1.909,156.0,1.877,156.0,1.862,2025-09-16 14:26:58
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.291,3.22,-6.5,1.833,6.5,1.909,156.0,1.877,156.0,1.862,2025-09-16 14:32:15
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.291,3.22,-6.5,1.833,6.5,1.909,156.0,1.909,156.0,1.833,2025-09-16 14:59:23
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.291,3.22,-6.5,1.833,6.5,1.909,156.0,1.909,156.0,1.833,2025-09-16 15:06:27
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.228,3.63,-8.5,1.9,8.5,1.84,156.0,1.892,156.0,1.847,2025-09-16 15:29:47
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.228,3.63,-8.5,1.9,8.5,1.84,156.0,1.892,156.0,1.847,2025-09-16 15:35:16
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.228,3.63,-8.5,1.9,8.5,1.84,156.0,1.892,156.0,1.847,2025-09-16 15:45:51
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.228,3.63,-8.5,1.9,8.5,1.84,156.0,1.892,156.0,1.847,2025-09-16 15:58:51
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.215,3.74,-8.5,1.862,8.5,1.877,154.0,1.854,154.0,1.884,2025-09-16 16:34:04
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.215,3.74,-8.5,1.862,8.5,1.877,154.0,1.854,154.0,1.884,2025-09-16 16:57:48
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.208,3.8,-8.5,1.833,8.5,1.909,154.0,1.847,154.0,1.892,2025-09-16 17:43:12
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.208,3.8,-8.5,1.833,8.5,1.909,154.0,1.847,154.0,1.892,2025-09-16 17:47:11
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.208,3.8,-8.5,1.833,8.5,1.909,154.0,1.847,154.0,1.892,2025-09-16 17:55:54
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.195,3.92,-9.5,1.884,9.5,1.854,154.0,1.84,154.0,1.9,2025-09-16 18:56:33
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.2,3.88,-9.5,1.909,9.5,1.833,154.0,1.84,154.0,1.9,2025-09-16 19:42:50
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.2,3.88,-9.5,1.909,9.5,1.833,154.0,1.84,154.0,1.9,2025-09-16 19:55:45
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.2,3.88,-9.5,1.909,9.5,1.833,154.0,1.84,154.0,1.9,2025-09-16 20:28:22
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.2,3.88,-9.5,1.909,9.5,1.833,154.0,1.84,154.0,1.9,2025-09-16 20:33:23
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.2,3.88,-9.5,1.909,9.5,1.833,154.0,1.84,154.0,1.9,2025-09-16 20:44:13
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.2,3.88,-9.5,1.909,9.5,1.833,154.0,1.84,154.0,1.9,2025-09-16 20:51:04
Basket Osasco,SL Mandic Basquete,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-sl-mandic-basquete/1615126809/,1.2,3.88,-9.5,1.909,9.5,1.833,154.0,1.84,154.0,1.9,2025-09-16 20:56:51
Basket Osasco,Liga Sorocabana,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-liga-sorocabana/1615468897/,1.4,2.74,-5.0,1.884,5.0,1.854,149.5,1.84,149.5,1.9,2025-09-17 17:58:05
Bauru Basket SP,Corinthians Paulista,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/bauru-basket-sp-vs-corinthians-paulista/1615097736/,1.54,2.36,-3.5,1.847,3.5,1.892,155.0,1.869,155.0,1.869,2025-09-17 17:58:05
Basket Osasco,Liga Sorocabana,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/basket-osasco-vs-liga-sorocabana/1615468897/,1.4,2.74,-5.0,1.884,5.0,1.854,149.5,1.84,149.5,1.9,2025-09-17 18:38:20
Bauru Basket SP,Corinthians Paulista,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/bauru-basket-sp-vs-corinthians-paulista/1615097736/,1.54,2.36,-3.5,1.847,3.5,1.892,155.0,1.869,155.0,1.869,2025-09-17 18:38:20
SL Mandic Basquete,EC Pinheiros SP,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/sl-mandic-basquete-vs-ec-pinheiros-sp/1615469000/,4.6,1.14,10.0,1.854,-10.0,1.884,156.0,1.877,156.0,1.862,2025-09-17 18:38:20
Rio Claro,Paulistano,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/rio-claro-vs-paulistano/1615468896/,1.909,1.826,1.0,1.862,-1.0,1.877,159.5,1.833,159.5,1.909,2025-09-17 18:38:20
Mogi das Cruzes,Sesi/Franca BC SP,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/mogi-das-cruzes-vs-sesifranca-bc-sp/1615468889/,2.2,1.617,4.0,1.854,-4.0,1.884,149.0,1.833,149.0,1.909,2025-09-17 18:38:20
Rio Claro,Paulistano,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/rio-claro-vs-paulistano/1615468896/,1.909,1.826,1.0,1.862,-1.0,1.877,159.5,1.833,159.5,1.909,2025-09-17 18:44:09
SL Mandic Basquete,EC Pinheiros SP,https://www.pinnacle.com/en/basketball/brazil-campeonato-paulista/sl-mandic-basquete-vs-ec-pinheiros-sp/1615469000/,4.6,1.14,10.0,1.854,-10.0,1.884,156.0,1.877,156.0,1.862,2025-09-17 18:44:09
