Market,Selection,Odds,matchup,timestamp
Money Line – Game,EC Pinheiros,1.343,EC Pinheiros vs Corinthians,2025-09-24 16:37:20
Money Line – Game,Corinthians,2.77,EC Pinheiros vs Corinthians,2025-09-24 16:37:20
Handicap – Game,EC Pinheiros -5.5,1.877,EC Pinheiros vs Corinthians,2025-09-24 16:37:20
Handicap – Game,Corinthians +5.5,1.787,EC Pinheiros vs Corinthians,2025-09-24 16:37:20
Total – Game,Over 142.5,1.884,EC Pinheiros vs Corinthians,2025-09-24 16:37:20
Total – Game,Under 142.5,1.787,EC Pinheiros vs Corinthians,2025-09-24 16:37:20
Total – Game,Under 163,1.763,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 18:57:10
Total – Game,Over 163,1.909,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 18:57:10
Handicap – Game,Sesi SP/Franca +18.0,1.793,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 18:57:10
Handicap – Game,Sao Paulo FC -18.0,1.877,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 18:57:10
Money Line – Game,Sesi SP/Franca,7.58,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 18:57:10
Money Line – Game,Sao Paulo FC,1.02,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 18:57:10
Total – Game,Under 147.5,1.751,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 18:57:10
Total – Game,Over 147.5,1.917,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 18:57:10
Handicap – Game,Sao Jose Desportivo +8.5,1.819,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 18:57:10
Money Line – Game,Club Athletico Paulistano,1.176,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 18:57:10
Money Line – Game,Sao Jose Desportivo,3.73,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 18:57:10
Total – Game,Under 128.5,1.751,Sociedade Thalia vs Tijuca Tenis Clube,2025-09-26 18:57:10
Total – Game,Over 128.5,1.917,Sociedade Thalia vs Tijuca Tenis Clube,2025-09-26 18:57:10
Handicap – Game,Tijuca Tenis Clube +5.5,1.819,Sociedade Thalia vs Tijuca Tenis Clube,2025-09-26 18:57:10
Handicap – Game,Sociedade Thalia -5.5,1.847,Sociedade Thalia vs Tijuca Tenis Clube,2025-09-26 18:57:10
Money Line – Game,Tijuca Tenis Clube,2.87,Sociedade Thalia vs Tijuca Tenis Clube,2025-09-26 18:57:10
Money Line – Game,Sociedade Thalia,1.319,Sociedade Thalia vs Tijuca Tenis Clube,2025-09-26 18:57:10
Handicap – Game,Club Athletico Paulistano -8.5,1.847,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 18:57:10
Total – Game,Under 147.5,1.751,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:20:39
Total – Game,Over 147.5,1.925,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:20:39
Handicap – Game,Sao Jose Desportivo +8.5,1.833,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:20:39
Money Line – Game,Sao Jose Desportivo,3.75,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:20:39
Money Line – Game,Club Athletico Paulistano,1.173,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:20:39
Handicap – Game,Club Athletico Paulistano -8.5,1.833,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:20:39
Total – Game,Under 163,1.757,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 19:27:19
Handicap – Game,Sesi SP/Franca +18.0,1.769,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 19:27:19
Handicap – Game,Sao Paulo FC -18.0,1.9,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 19:27:19
Money Line – Game,Sesi SP/Franca,7.31,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 19:27:19
Money Line – Game,Sao Paulo FC,1.023,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 19:27:19
Total – Game,Over 163,1.917,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 19:27:19
Total – Game,Over 147.5,1.925,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:27:19
Handicap – Game,Sao Jose Desportivo +8.5,1.833,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:27:19
Handicap – Game,Club Athletico Paulistano -8.5,1.833,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:27:19
Money Line – Game,Sao Jose Desportivo,3.75,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:27:19
Money Line – Game,Club Athletico Paulistano,1.173,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:27:19
Total – Game,Under 147.5,1.751,Club Athletico Paulistano vs Sao Jose Desportivo,2025-09-26 19:27:19
Handicap – Game,Sesi SP/Franca +18.0,1.769,Sao Paulo FC vs Sesi SP/Franca,2025-09-26 19:50:18
