team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
EC Pinheiros,Corinthians,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/ec-pinheiros-vs-corinthians/1616109894/,1.343,2.77,-5.5,1.877,5.5,1.787,142.5,1.884,142.5,1.787,2025-09-24 16:02:24
EC Pinheiros,Corinthians,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/ec-pinheiros-vs-corinthians/1616109894/,1.343,2.77,-5.5,1.877,5.5,1.787,142.5,1.884,142.5,1.787,2025-09-24 16:37:20
Sociedade Thalia,Tijuca Tenis Clube,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sociedade-thalia-vs-tijuca-tenis-clube/1616250420/,1.319,2.87,-5.5,1.847,5.5,1.819,128.5,1.917,128.5,1.751,2025-09-26 18:37:26
Club Athletico Paulistano,Sao Jose Desportivo,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/club-athletico-paulistano-vs-sao-jose-desportivo/1616253784/,1.176,3.73,-8.5,1.847,8.5,1.819,147.5,1.917,147.5,1.751,2025-09-26 18:37:26
Sao Paulo FC,Sesi SP/Franca,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sao-paulo-fc-vs-sesi-spfranca/1616250421/,1.02,7.58,-18.0,1.877,18.0,1.793,163.0,1.909,163.0,1.763,2025-09-26 18:37:26
Sociedade Thalia,Tijuca Tenis Clube,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sociedade-thalia-vs-tijuca-tenis-clube/1616250420/,1.319,2.87,-5.5,1.847,5.5,1.819,128.5,1.917,128.5,1.751,2025-09-26 18:57:10
Club Athletico Paulistano,Sao Jose Desportivo,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/club-athletico-paulistano-vs-sao-jose-desportivo/1616253784/,1.176,3.73,-8.5,1.847,8.5,1.819,147.5,1.917,147.5,1.751,2025-09-26 18:57:10
Sao Paulo FC,Sesi SP/Franca,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sao-paulo-fc-vs-sesi-spfranca/1616250421/,1.02,7.58,-18.0,1.877,18.0,1.793,163.0,1.909,163.0,1.763,2025-09-26 18:57:10
Club Athletico Paulistano,Sao Jose Desportivo,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/club-athletico-paulistano-vs-sao-jose-desportivo/1616253784/,1.173,3.75,-8.5,1.833,8.5,1.833,147.5,1.925,147.5,1.751,2025-09-26 19:20:39
Sao Paulo FC,Sesi SP/Franca,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sao-paulo-fc-vs-sesi-spfranca/1616250421/,1.023,7.31,-18.0,1.9,18.0,1.769,163.0,1.917,163.0,1.757,2025-09-26 19:20:39
Sao Paulo FC,Sesi SP/Franca,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sao-paulo-fc-vs-sesi-spfranca/1616250421/,1.023,7.31,-18.0,1.9,18.0,1.769,163.0,1.917,163.0,1.757,2025-09-26 19:27:19
Club Athletico Paulistano,Sao Jose Desportivo,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/club-athletico-paulistano-vs-sao-jose-desportivo/1616253784/,1.173,3.75,-8.5,1.833,8.5,1.833,146.5,1.833,146.5,1.833,2025-09-26 19:27:19
Club Athletico Paulistano,Sao Jose Desportivo,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/club-athletico-paulistano-vs-sao-jose-desportivo/1616253784/,1.173,3.75,-8.5,1.833,8.5,1.833,146.5,1.833,146.5,1.833,2025-09-26 19:42:57
Sao Paulo FC,Sesi SP/Franca,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sao-paulo-fc-vs-sesi-spfranca/1616250421/,1.023,7.31,-18.0,1.9,18.0,1.769,163.0,1.917,163.0,1.757,2025-09-26 19:42:57
Club Athletico Paulistano,Sao Jose Desportivo,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/club-athletico-paulistano-vs-sao-jose-desportivo/1616253784/,1.173,3.75,-8.5,1.833,8.5,1.833,146.5,1.833,146.5,1.833,2025-09-26 19:50:18
Sao Paulo FC,Sesi SP/Franca,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sao-paulo-fc-vs-sesi-spfranca/1616250421/,1.023,7.31,-18.0,1.9,18.0,1.769,163.0,1.917,163.0,1.757,2025-09-26 19:50:18
Club Athletico Paulistano,Sao Jose Desportivo,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/club-athletico-paulistano-vs-sao-jose-desportivo/1616253784/,1.173,3.75,-8.5,1.833,8.5,1.833,146.5,1.833,146.5,1.833,2025-09-26 19:56:17
Sao Paulo FC,Sesi SP/Franca,https://www.pinnacle.com/en/basketball/brazil-interclubes-u19/sao-paulo-fc-vs-sesi-spfranca/1616250421/,1.023,7.31,-18.0,1.9,18.0,1.769,163.0,1.917,163.0,1.757,2025-09-26 19:56:17
