team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
ADRM Maringa,Sodie Mesquita,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-sodie-mesquita/1625658159/,9.96,1.02,20.5,1.9,-20.5,1.84,131.0,1.854,131.0,1.884,2026-03-08 19:01:47
ADRM Maringa,Sesi Araraquara,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-sesi-araraquara/1625632036/,,,30.0,1.9,-30.0,1.84,131.0,1.869,131.0,1.869,2026-03-13 19:51:11
ADRM Maringa,Sesi Araraquara,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-sesi-araraquara/1625632036/,,,30.0,1.9,-30.0,1.84,131.0,1.869,131.0,1.869,2026-03-13 20:16:53
ADRM Maringa,Sesi Araraquara,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-sesi-araraquara/1625632036/,,,30.0,1.9,-30.0,1.84,131.0,1.869,131.0,1.869,2026-03-13 20:53:53
ADRM Maringa,Sesi Araraquara,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-sesi-araraquara/1625632036/,,,30.0,1.9,-30.0,1.84,131.0,1.869,131.0,1.869,2026-03-13 21:24:42
ADRM Maringa,Sesi Araraquara,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-sesi-araraquara/1625632036/,,,30.0,1.9,-30.0,1.84,131.0,1.869,131.0,1.869,2026-03-13 21:52:09
Salvador,Recife,https://www.pinnacle.com/en/basketball/brazil-lbf-women/salvador-vs-recife/1626360332/,1.395,2.76,-4.5,1.9,4.5,1.84,134.5,1.909,134.5,1.833,2026-03-17 20:34:43
Salvador,Recife,https://www.pinnacle.com/en/basketball/brazil-lbf-women/salvador-vs-recife/1626360332/,1.395,2.76,-4.5,1.9,4.5,1.84,134.5,1.909,134.5,1.833,2026-03-17 21:12:23
Salvador,Recife,https://www.pinnacle.com/en/basketball/brazil-lbf-women/salvador-vs-recife/1626360332/,1.395,2.76,-4.5,1.9,4.5,1.84,134.5,1.909,134.5,1.833,2026-03-17 22:05:32
Salvador,Recife,https://www.pinnacle.com/en/basketball/brazil-lbf-women/salvador-vs-recife/1626360332/,1.46,2.55,-4.5,1.9,4.5,1.84,134.5,1.909,134.5,1.826,2026-03-17 22:29:04
ADRM Maringa,Santo Andre,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-santo-andre/1626022403/,3.65,1.225,8.5,1.909,-8.5,1.833,135.0,1.892,135.0,1.847,2026-03-19 19:52:35
ADRM Maringa,Santo Andre,https://www.pinnacle.com/en/basketball/brazil-lbf-women/adrm-maringa-vs-santo-andre/1626022403/,3.65,1.225,8.5,1.909,-8.5,1.833,135.0,1.892,135.0,1.847,2026-03-19 20:11:49
