team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.104,5.27,-11.5,1.854,11.5,1.884,152.5,1.869,152.5,1.869,2025-09-10 17:46:53
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.104,5.27,-11.5,1.854,11.5,1.884,152.5,1.869,152.5,1.869,2025-09-10 17:53:26
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.104,5.27,-11.5,1.854,11.5,1.884,152.5,1.869,152.5,1.869,2025-09-10 17:59:48
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.104,5.27,-11.5,1.854,11.5,1.884,152.5,1.869,152.5,1.869,2025-09-10 18:18:00
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.104,5.27,-11.5,1.854,11.5,1.884,152.5,1.869,152.5,1.869,2025-09-10 18:43:38
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.104,5.27,-11.5,1.854,11.5,1.884,152.5,1.869,152.5,1.869,2025-09-10 18:48:23
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.097,5.43,-11.5,1.793,11.5,1.952,152.5,1.862,152.5,1.877,2025-09-10 18:54:30
Flamengo,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/flamengo-vs-cetaf-vila-velha/1614928820/,1.097,5.43,-11.5,1.793,11.5,1.952,152.5,1.862,152.5,1.877,2025-09-10 18:59:59
Pato Basquete,Soc. Thalia/Smeij,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/pato-basquete-vs-soc-thaliasmeij/1615064392/,1.98,1.704,2.0,1.84,-2.0,1.826,142.5,1.833,142.5,1.833,2025-09-11 08:40:32
Vasco Da Gama,Mogi das Cruzes,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/vasco-da-gama-vs-mogi-das-cruzes/1615046617/,2.99,1.291,6.5,1.8,-6.5,1.869,136.5,1.84,136.5,1.826,2025-09-11 08:40:32
Pato Basquete,Soc. Thalia/Smeij,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/pato-basquete-vs-soc-thaliasmeij/1615064392/,1.98,1.704,2.0,1.84,-2.0,1.826,142.5,1.833,142.5,1.833,2025-09-11 08:46:03
Vasco Da Gama,Mogi das Cruzes,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/vasco-da-gama-vs-mogi-das-cruzes/1615046617/,2.99,1.291,6.5,1.8,-6.5,1.869,136.5,1.84,136.5,1.826,2025-09-11 08:46:03
Pato Basquete,Soc. Thalia/Smeij,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/pato-basquete-vs-soc-thaliasmeij/1615064392/,1.98,1.704,2.0,1.84,-2.0,1.826,142.5,1.833,142.5,1.833,2025-09-11 09:01:51
Vasco Da Gama,Mogi das Cruzes,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/vasco-da-gama-vs-mogi-das-cruzes/1615046617/,2.99,1.291,6.5,1.8,-6.5,1.869,136.5,1.84,136.5,1.826,2025-09-11 09:01:51
Instituto Viva Vida,Uniao Corinthians,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/instituto-viva-vida-vs-uniao-corinthians/1615064412/,1.018,7.75,-18.5,1.826,18.5,1.84,141.5,1.84,141.5,1.826,2025-09-11 09:01:51
Instituto Viva Vida,Uniao Corinthians,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/instituto-viva-vida-vs-uniao-corinthians/1615064412/,1.018,7.75,-18.5,1.826,18.5,1.84,141.5,1.84,141.5,1.826,2025-09-11 09:06:45
Pato Basquete,Soc. Thalia/Smeij,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/pato-basquete-vs-soc-thaliasmeij/1615064392/,1.98,1.704,2.0,1.84,-2.0,1.826,142.5,1.833,142.5,1.833,2025-09-11 09:06:45
Vasco Da Gama,Mogi das Cruzes,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/vasco-da-gama-vs-mogi-das-cruzes/1615046617/,2.99,1.291,6.5,1.8,-6.5,1.869,136.5,1.84,136.5,1.826,2025-09-11 09:06:45
Pato Basquete,Soc. Thalia/Smeij,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/pato-basquete-vs-soc-thaliasmeij/1615064392/,1.952,1.724,2.0,1.813,-2.0,1.854,142.5,1.84,142.5,1.826,2025-09-11 09:32:32
Vasco Da Gama,Mogi das Cruzes,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/vasco-da-gama-vs-mogi-das-cruzes/1615046617/,2.99,1.291,6.5,1.8,-6.5,1.869,136.5,1.84,136.5,1.826,2025-09-11 09:32:32
Instituto Viva Vida,Uniao Corinthians,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/instituto-viva-vida-vs-uniao-corinthians/1615064412/,1.018,7.75,-18.5,1.826,18.5,1.84,141.5,1.84,141.5,1.826,2025-09-11 09:32:32
KTO/Caxias/Recreio,Flamengo,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/ktocaxiasrecreio-vs-flamengo/1615073403/,2.52,1.42,4.5,1.833,-4.5,1.833,149.5,1.833,149.5,1.833,2025-09-11 09:32:32
Pato Basquete,Soc. Thalia/Smeij,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/pato-basquete-vs-soc-thaliasmeij/1615064392/,1.952,1.724,2.0,1.813,-2.0,1.854,142.5,1.84,142.5,1.826,2025-09-11 09:36:53
Vasco Da Gama,Mogi das Cruzes,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/vasco-da-gama-vs-mogi-das-cruzes/1615046617/,2.99,1.291,6.5,1.8,-6.5,1.869,136.5,1.84,136.5,1.826,2025-09-11 09:36:53
Instituto Viva Vida,Uniao Corinthians,https://www.pinnacle.com/en/basketball/brazil-ldb-u22/instituto-viva-vida-vs-uniao-corinthians/1615064412/,1.018,7.75,-18.5,1.826,18.5,1.84,141.5,1.84,141.5,1.826,2025-09-11 09:36:53
