Market,Selection,Odds,matchup,timestamp
Money Line – Game,Basquete de Tatuí,1.057,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Money Line – Game,Cetaf Vila Velha,6.81,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -11.5,1.526,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +11.5,2.24,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -12.0,1.568,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +12.0,2.16,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -12.5,1.617,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +12.5,2.08,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -13.0,1.675,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +13.0,2.0,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -13.5,1.74,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +13.5,1.925,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -14.0,1.854,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +14.0,1.884,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -14.5,1.9,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +14.5,1.763,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -15.0,1.98,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +15.0,1.694,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -15.5,2.05,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +15.5,1.636,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -16.0,2.13,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +16.0,1.584,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Basquete de Tatuí -16.5,2.21,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Handicap – Game,Cetaf Vila Velha +16.5,1.543,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 164,1.613,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 164,2.11,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 164.5,1.649,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 164.5,2.06,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 165,1.689,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 165,2.0,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 165.5,1.729,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 165.5,1.952,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 166,1.775,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 166,1.892,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 166.5,1.862,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 166.5,1.877,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 167,1.884,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 167,1.787,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 167.5,1.934,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 167.5,1.74,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 168,1.99,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 168,1.694,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 168.5,2.05,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 168.5,1.657,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Over 169,2.1,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Total – Game,Under 169,1.621,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:33:41
Money Line – Game,Basquete de Tatuí,1.057,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Money Line – Game,Cetaf Vila Velha,6.81,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -11.5,1.526,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +11.5,2.24,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -12.0,1.568,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +12.0,2.16,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -12.5,1.617,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +12.5,2.08,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -13.0,1.675,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +13.0,2.0,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -13.5,1.74,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +13.5,1.925,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -14.0,1.854,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +14.0,1.884,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -14.5,1.9,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +14.5,1.763,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -15.0,1.98,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +15.0,1.694,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -15.5,2.05,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +15.5,1.636,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -16.0,2.13,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +16.0,1.584,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Basquete de Tatuí -16.5,2.21,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Handicap – Game,Cetaf Vila Velha +16.5,1.543,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Total – Game,Over 164,1.613,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Total – Game,Under 164,2.11,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Total – Game,Over 164.5,1.649,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
Total – Game,Under 164.5,2.06,Basquete de Tatuí vs Cetaf Vila Velha,2026-03-11 19:49:11
