team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Basquete de Tatuí,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/basquete-de-tatu-vs-cetaf-vila-velha/1625911370/,1.057,6.81,-14.0,1.854,14.0,1.884,166.5,1.862,166.5,1.877,2026-03-11 19:33:41
Basquete de Tatuí,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/basquete-de-tatu-vs-cetaf-vila-velha/1625911370/,1.057,6.81,-14.0,1.854,14.0,1.884,166.5,1.862,166.5,1.877,2026-03-11 19:49:11
Basquete de Tatuí,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/basquete-de-tatu-vs-cetaf-vila-velha/1625911370/,1.057,6.81,-14.0,1.854,14.0,1.884,166.5,1.862,166.5,1.877,2026-03-11 20:40:31
Basquete de Tatuí,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/basquete-de-tatu-vs-cetaf-vila-velha/1625911370/,1.057,6.81,-14.0,1.854,14.0,1.884,166.5,1.862,166.5,1.877,2026-03-11 21:06:33
Basquete de Tatuí,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/basquete-de-tatu-vs-cetaf-vila-velha/1625911370/,1.057,6.81,-14.0,1.862,14.0,1.877,166.5,1.884,166.5,1.854,2026-03-11 22:00:06
Basquete de Tatuí,Cetaf Vila Velha,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/basquete-de-tatu-vs-cetaf-vila-velha/1625911370/,1.057,6.82,-14.0,1.869,14.0,1.869,164.5,1.909,164.5,1.833,2026-03-11 22:51:54
ABLUJHE Basquete de Joaçaba,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/ablujhe-basquete-de-joaaba-vs-brusque-aradefe/1625791784/,2.93,1.352,5.5,1.854,-5.5,1.884,163.5,1.925,163.5,1.819,2026-03-12 20:44:02
ABLUJHE Basquete de Joaçaba,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/ablujhe-basquete-de-joaaba-vs-brusque-aradefe/1625791784/,2.88,1.363,5.5,1.826,-5.5,1.917,163.5,1.917,163.5,1.819,2026-03-12 21:03:11
ABLUJHE Basquete de Joaçaba,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/ablujhe-basquete-de-joaaba-vs-brusque-aradefe/1625791784/,2.88,1.363,5.5,1.826,-5.5,1.917,163.5,1.917,163.5,1.819,2026-03-12 21:44:04
ABLUJHE Basquete de Joaçaba,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/ablujhe-basquete-de-joaaba-vs-brusque-aradefe/1625791784/,2.88,1.363,5.5,1.826,-5.5,1.917,163.5,1.917,163.5,1.819,2026-03-12 22:11:42
ABLUJHE Basquete de Joaçaba,Brusque Aradefe,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/ablujhe-basquete-de-joaaba-vs-brusque-aradefe/1625791784/,2.88,1.363,5.5,1.826,-5.5,1.917,163.5,1.917,163.5,1.819,2026-03-12 22:34:56
America Towers,IVV/CETAF,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/america-towers-vs-ivvcetaf/1626027694/,1.093,5.55,-11.5,1.884,11.5,1.854,159.5,1.9,159.5,1.833,2026-03-13 19:51:16
Basquete de Tatuí,Fluminense,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/basquete-de-tatu-vs-fluminense/1625618098/,1.465,2.54,-4.0,1.9,4.0,1.84,148.0,1.862,148.0,1.877,2026-03-13 19:51:16
America Towers,IVV/CETAF,https://www.pinnacle.com/en/basketball/brazil-liga-ouro/america-towers-vs-ivvcetaf/1626027694/,1.095,5.49,-11.5,1.909,11.5,1.826,159.5,1.909,159.5,1.833,2026-03-13 20:16:59
