Market,Selection,Odds,matchup,timestamp
Money Line – Game,Cruzeiro,2.45,Cruzeiro vs Sao Jose,2025-10-18 18:56:39
Money Line – Game,Sao Jose,1.558,Cruzeiro vs Sao Jose,2025-10-18 18:56:39
Handicap – Game,Cruzeiro +3.5,1.952,Cruzeiro vs Sao Jose,2025-10-18 18:56:39
Handicap – Game,Sao Jose -3.5,1.869,Cruzeiro vs Sao Jose,2025-10-18 18:56:39
Total – Game,Over 155.5,1.934,Cruzeiro vs Sao Jose,2025-10-18 18:56:39
Total – Game,Under 155.5,1.884,Cruzeiro vs Sao Jose,2025-10-18 18:56:39
Money Line – Game,Rio Claro,2.65,Rio Claro vs EC Pinheiros SP,2025-10-18 18:56:39
Money Line – Game,EC Pinheiros SP,1.48,Rio Claro vs EC Pinheiros SP,2025-10-18 18:56:39
Handicap – Game,Rio Claro +4.5,1.925,Rio Claro vs EC Pinheiros SP,2025-10-18 18:56:39
Handicap – Game,EC Pinheiros SP -4.5,1.892,Rio Claro vs EC Pinheiros SP,2025-10-18 18:56:39
Total – Game,Over 158,2.0,Rio Claro vs EC Pinheiros SP,2025-10-18 18:56:39
Total – Game,Under 158,1.826,Rio Claro vs EC Pinheiros SP,2025-10-18 18:56:39
Total – Game,Under 158,1.826,Rio Claro vs EC Pinheiros SP,2025-10-18 19:21:50
Total – Game,Over 158,2.0,Rio Claro vs EC Pinheiros SP,2025-10-18 19:21:50
Handicap – Game,EC Pinheiros SP -4.5,1.892,Rio Claro vs EC Pinheiros SP,2025-10-18 19:21:50
Money Line – Game,Rio Claro,2.65,Rio Claro vs EC Pinheiros SP,2025-10-18 19:21:50
Money Line – Game,EC Pinheiros SP,1.48,Rio Claro vs EC Pinheiros SP,2025-10-18 19:21:50
Handicap – Game,Rio Claro +4.5,1.925,Rio Claro vs EC Pinheiros SP,2025-10-18 19:21:50
Money Line – Game,Rio Claro,2.65,Rio Claro vs EC Pinheiros SP,2025-10-18 19:32:36
Money Line – Game,EC Pinheiros SP,1.48,Rio Claro vs EC Pinheiros SP,2025-10-18 19:32:36
Handicap – Game,Rio Claro +4.5,1.925,Rio Claro vs EC Pinheiros SP,2025-10-18 19:32:36
Handicap – Game,EC Pinheiros SP -4.5,1.892,Rio Claro vs EC Pinheiros SP,2025-10-18 19:32:36
Total – Game,Over 158,2.0,Rio Claro vs EC Pinheiros SP,2025-10-18 19:32:36
Total – Game,Under 158,1.826,Rio Claro vs EC Pinheiros SP,2025-10-18 19:32:36
Total – Game,Under 158,1.826,Rio Claro vs EC Pinheiros SP,2025-10-18 19:43:09
