Market,Selection,Odds,matchup,timestamp
Handicap – Game,Tatui -25.5,1.591,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 148.5,1.68,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 148.5,2.1,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 149,1.719,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 149,2.05,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 149.5,1.757,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 149.5,1.99,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 150,1.806,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 150,1.934,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 150.5,1.877,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 151,1.917,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 151,1.826,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 151.5,1.97,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 151.5,1.775,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 152,2.03,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 152,1.735,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 152.5,2.08,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 152.5,1.694,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 153,2.13,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 153,1.657,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 148,2.16,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 148,1.645,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Over 150.5,1.862,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -30.5,2.32,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +30.5,1.54,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -26.0,1.636,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +26.0,2.14,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -26.5,1.689,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +26.5,2.06,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -27.0,1.751,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +27.0,1.99,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -27.5,1.819,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +27.5,1.909,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -28.0,1.909,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +25.5,2.22,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -28.5,1.99,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +28.5,1.757,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -29.0,2.07,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +29.0,1.689,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -29.5,2.15,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +29.5,1.628,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Tatui -30.0,2.24,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +30.0,1.581,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Handicap – Game,Basquete Ourinhos AOBE +28.0,1.833,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:40:01
Total – Game,Under 148,2.16,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 150,1.806,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 149.5,1.99,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 149.5,1.757,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 148.5,1.68,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 149,1.719,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 148.5,2.1,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 150,1.934,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 149,2.05,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 150.5,1.877,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 152,2.03,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 151,1.826,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 151.5,1.97,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 151.5,1.775,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 152,1.735,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 152.5,2.08,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 152.5,1.694,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 153,2.13,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Under 153,1.657,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 151,1.917,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 148,1.645,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
Total – Game,Over 150.5,1.862,Tatui vs Basquete Ourinhos AOBE,2025-10-05 16:46:18
