team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 00:05:31
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 02:03:03
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 03:12:21
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 03:19:35
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 03:48:19
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 03:54:40
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 04:32:30
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 04:38:16
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.319,2.86,-5.5,1.833,5.5,1.833,149.5,1.833,149.5,1.833,2025-09-14 04:48:05
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.318,2.87,-5.5,1.833,5.5,1.833,150.0,1.847,150.0,1.819,2025-09-14 05:00:45
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.318,2.87,-5.5,1.833,5.5,1.833,150.0,1.847,150.0,1.819,2025-09-14 05:06:58
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.392,2.61,-4.5,1.869,4.5,1.8,150.0,1.854,150.0,1.813,2025-09-14 05:28:03
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.392,2.61,-4.5,1.869,4.5,1.8,150.0,1.854,150.0,1.813,2025-09-14 05:33:31
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.392,2.61,-4.5,1.869,4.5,1.8,150.0,1.854,150.0,1.813,2025-09-14 05:57:19
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.392,2.61,-4.5,1.869,4.5,1.8,150.0,1.854,150.0,1.813,2025-09-14 06:02:12
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.386,2.62,-4.5,1.847,4.5,1.819,150.0,1.854,150.0,1.813,2025-09-14 06:59:06
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.502,2.32,-2.5,1.819,2.5,1.847,150.0,1.862,150.0,1.806,2025-09-14 07:59:21
Araraquara,F.R.Avare,https://www.pinnacle.com/en/basketball/brazil-paulista-fpb-u20/araraquara-vs-fravare/1615303735/,1.502,2.32,-2.5,1.819,2.5,1.847,150.0,1.862,150.0,1.806,2025-09-14 08:05:02
