Market,Selection,Odds,matchup,timestamp
Money Line – Game,Sesi Araraquara,1.414,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 129,2.1,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 129.5,1.657,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 129.5,2.05,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 130,1.694,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 130,1.99,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 130.5,1.735,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 130.5,1.943,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 131,1.781,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 131,1.884,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 129,1.621,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 131.5,1.833,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 132,1.781,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 132.5,1.943,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 132.5,1.729,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 133,2.0,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 133,1.689,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 133.5,2.05,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 133.5,1.649,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 134,2.11,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Under 134,1.617,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Total – Game,Over 132,1.892,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
Handicap – Game,Corinthians +7.0,1.534,Sesi Araraquara vs Corinthians,2025-09-15 23:26:40
