Market,Selection,Odds,matchup,timestamp
Money Line – Game,Bax Catanduva,1.515,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:43:01
Money Line – Game,SESI/Araraquara,2.2,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:43:01
Handicap – Game,Bax Catanduva -3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:43:01
Handicap – Game,SESI/Araraquara +3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:43:01
Total – Game,Over 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:43:01
Total – Game,Under 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:43:01
Total – Game,Under 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:55:57
Handicap – Game,SESI/Araraquara +3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:55:57
Total – Game,Over 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:55:57
Money Line – Game,SESI/Araraquara,2.2,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:55:57
Money Line – Game,Bax Catanduva,1.515,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:55:57
Handicap – Game,Bax Catanduva -3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 19:55:57
Money Line – Game,Bax Catanduva,1.515,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:03:50
Money Line – Game,SESI/Araraquara,2.2,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:03:50
Handicap – Game,Bax Catanduva -3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:03:50
Handicap – Game,SESI/Araraquara +3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:03:50
Total – Game,Over 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:03:50
Total – Game,Under 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:03:50
Total – Game,Over 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:29:01
Total – Game,Under 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:29:01
Handicap – Game,SESI/Araraquara +3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:29:01
Money Line – Game,Bax Catanduva,1.515,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:29:01
Money Line – Game,SESI/Araraquara,2.2,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:29:01
Handicap – Game,Bax Catanduva -3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:29:01
Money Line – Game,Bax Catanduva,1.515,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:37:36
Money Line – Game,SESI/Araraquara,2.2,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:37:36
Handicap – Game,Bax Catanduva -3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:37:36
Handicap – Game,SESI/Araraquara +3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:37:36
Total – Game,Over 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:37:36
Total – Game,Under 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:37:36
Money Line – Game,Bax Catanduva,1.515,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:44:24
Money Line – Game,SESI/Araraquara,2.2,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:44:24
Handicap – Game,Bax Catanduva -3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:44:24
Handicap – Game,SESI/Araraquara +3.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:44:24
Total – Game,Over 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:44:24
Total – Game,Under 117.5,1.8,Bax Catanduva vs SESI/Araraquara,2025-10-25 20:44:24
