Market,Selection,Odds,matchup,timestamp
Money Line – Game,Nottingham Hoods,3.33,Nottingham Hoods vs Derby Trailblazers,2026-01-16 19:28:44
Money Line – Game,Derby Trailblazers,1.272,Nottingham Hoods vs Derby Trailblazers,2026-01-16 19:28:44
Handicap – Game,Nottingham Hoods +7.0,1.877,Nottingham Hoods vs Derby Trailblazers,2026-01-16 19:28:44
Handicap – Game,Derby Trailblazers -7.0,1.862,Nottingham Hoods vs Derby Trailblazers,2026-01-16 19:28:44
Total – Game,Over 168.5,1.84,Nottingham Hoods vs Derby Trailblazers,2026-01-16 19:28:44
Total – Game,Under 168.5,1.892,Nottingham Hoods vs Derby Trailblazers,2026-01-16 19:28:44
Money Line – Game,City of Birmingham Rockets,1.198,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Money Line – Game,Derby Trailblazers,3.9,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -6.0,1.568,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +6.0,2.27,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -6.5,1.609,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +6.5,2.19,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -7.0,1.657,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +7.0,2.1,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -7.5,1.719,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +7.5,2.03,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -8.0,1.787,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +8.0,1.952,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -8.5,1.869,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +8.5,1.869,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -9.0,1.952,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +9.0,1.787,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -9.5,2.03,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +9.5,1.719,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -10.0,2.11,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +10.0,1.657,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -10.5,2.19,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +10.5,1.606,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,City of Birmingham Rockets -11.0,2.27,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Handicap – Game,Derby Trailblazers +11.0,1.564,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 172,1.653,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 172,2.14,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 172.5,1.689,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 172.5,2.09,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 173,1.729,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 173,2.03,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 173.5,1.769,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 173.5,1.98,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 174,1.819,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 174,1.925,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 174.5,1.869,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 174.5,1.869,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 175,1.925,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 175,1.813,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 175.5,1.98,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 175.5,1.763,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 176,2.04,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 176,1.724,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 176.5,2.1,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 176.5,1.684,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Over 177,2.15,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Total – Game,Under 177,1.649,City of Birmingham Rockets vs Derby Trailblazers,2026-02-27 18:03:46
Money Line – Game,City of Birmingham Rockets,1.036,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Money Line – Game,Loughborough Riders,8.150,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -14.0,1.564,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +14.0,2.270,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -14.5,1.606,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +14.5,2.190,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -15.0,1.657,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +15.0,2.110,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -15.5,1.719,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +15.5,2.030,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -16.0,1.787,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +16.0,1.952,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -16.5,1.869,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +16.5,1.869,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -17.0,1.943,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +17.0,1.787,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -17.5,2.030,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +17.5,1.719,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -18.0,2.100,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +18.0,1.657,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -18.5,2.190,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +18.5,1.609,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,City of Birmingham Rockets -19.0,2.270,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Handicap – Game,Loughborough Riders +19.0,1.568,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Total – Game,Over 168,1.653,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Total – Game,Under 168,2.140,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Total – Game,Over 168.5,1.689,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Total – Game,Under 168.5,2.090,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Total – Game,Over 169,1.729,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
Total – Game,Under 169,2.030,City of Birmingham Rockets vs Loughborough Riders,2026-04-12 16:09:57
