Market,Selection,Odds,matchup,timestamp
Money Line – Game,London Lions,1.102,London Lions vs Cheshire Phoenix,2025-09-21 23:09:23
Money Line – Game,Cheshire Phoenix,5.32,London Lions vs Cheshire Phoenix,2025-09-21 23:09:23
Handicap – Game,London Lions -11.5,1.884,London Lions vs Cheshire Phoenix,2025-09-21 23:09:23
Handicap – Game,Cheshire Phoenix +11.5,1.854,London Lions vs Cheshire Phoenix,2025-09-21 23:09:23
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-21 23:09:23
Total – Game,Under 167,1.892,London Lions vs Cheshire Phoenix,2025-09-21 23:09:23
Total – Game,Under 167,1.892,London Lions vs Cheshire Phoenix,2025-09-22 02:07:24
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-22 02:07:24
Handicap – Game,Cheshire Phoenix +11.5,1.854,London Lions vs Cheshire Phoenix,2025-09-22 02:07:24
Money Line – Game,Cheshire Phoenix,5.32,London Lions vs Cheshire Phoenix,2025-09-22 02:07:24
Money Line – Game,London Lions,1.102,London Lions vs Cheshire Phoenix,2025-09-22 02:07:24
Handicap – Game,London Lions -11.5,1.884,London Lions vs Cheshire Phoenix,2025-09-22 02:07:24
Money Line – Game,London Lions,1.102,London Lions vs Cheshire Phoenix,2025-09-22 03:21:33
Money Line – Game,Cheshire Phoenix,5.32,London Lions vs Cheshire Phoenix,2025-09-22 03:21:33
Handicap – Game,London Lions -11.5,1.884,London Lions vs Cheshire Phoenix,2025-09-22 03:21:33
Handicap – Game,Cheshire Phoenix +11.5,1.854,London Lions vs Cheshire Phoenix,2025-09-22 03:21:33
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-22 03:21:33
Total – Game,Under 167,1.892,London Lions vs Cheshire Phoenix,2025-09-22 03:21:33
Total – Game,Under 167,1.892,London Lions vs Cheshire Phoenix,2025-09-22 03:55:49
Handicap – Game,Cheshire Phoenix +11.5,1.854,London Lions vs Cheshire Phoenix,2025-09-22 03:55:49
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-22 03:55:49
Money Line – Game,Cheshire Phoenix,5.32,London Lions vs Cheshire Phoenix,2025-09-22 03:55:49
Money Line – Game,London Lions,1.102,London Lions vs Cheshire Phoenix,2025-09-22 03:55:49
Handicap – Game,London Lions -11.5,1.884,London Lions vs Cheshire Phoenix,2025-09-22 03:55:49
Money Line – Game,London Lions,1.102,London Lions vs Cheshire Phoenix,2025-09-22 04:32:02
Money Line – Game,Cheshire Phoenix,5.32,London Lions vs Cheshire Phoenix,2025-09-22 04:32:02
Handicap – Game,London Lions -11.5,1.884,London Lions vs Cheshire Phoenix,2025-09-22 04:32:02
Handicap – Game,Cheshire Phoenix +11.5,1.854,London Lions vs Cheshire Phoenix,2025-09-22 04:32:02
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-22 04:32:02
Total – Game,Under 167,1.892,London Lions vs Cheshire Phoenix,2025-09-22 04:32:02
Total – Game,Under 167,1.892,London Lions vs Cheshire Phoenix,2025-09-22 04:39:06
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-22 04:39:06
Handicap – Game,Cheshire Phoenix +11.5,1.854,London Lions vs Cheshire Phoenix,2025-09-22 04:39:06
Handicap – Game,London Lions -11.5,1.884,London Lions vs Cheshire Phoenix,2025-09-22 04:39:06
Money Line – Game,London Lions,1.102,London Lions vs Cheshire Phoenix,2025-09-22 04:39:06
Money Line – Game,Cheshire Phoenix,5.32,London Lions vs Cheshire Phoenix,2025-09-22 04:39:06
Money Line – Game,London Lions,1.102,London Lions vs Cheshire Phoenix,2025-09-22 05:03:03
Money Line – Game,Cheshire Phoenix,5.32,London Lions vs Cheshire Phoenix,2025-09-22 05:03:03
Handicap – Game,London Lions -11.5,1.884,London Lions vs Cheshire Phoenix,2025-09-22 05:03:03
Handicap – Game,Cheshire Phoenix +11.5,1.854,London Lions vs Cheshire Phoenix,2025-09-22 05:03:03
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-22 05:03:03
Total – Game,Under 167,1.892,London Lions vs Cheshire Phoenix,2025-09-22 05:03:03
Total – Game,Over 167,1.847,London Lions vs Cheshire Phoenix,2025-09-22 05:08:22
