Market,Selection,Odds,matchup,timestamp
Money Line – Game,Sheffield Hatters,1.037,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:37:04
Money Line – Game,Manchester Basketball,6.46,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:37:04
Handicap – Game,Sheffield Hatters -14.5,1.781,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:37:04
Handicap – Game,Manchester Basketball +14.5,1.884,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:37:04
Total – Game,Over 158.5,1.833,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:37:04
Total – Game,Under 158.5,1.833,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:37:04
Money Line – Game,Sheffield Hatters,1.019,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:46:02
Money Line – Game,Manchester Basketball,7.71,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:46:02
Handicap – Game,Sheffield Hatters -18.5,1.854,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:46:02
Handicap – Game,Manchester Basketball +18.5,1.813,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:46:02
Total – Game,Over 158.5,1.769,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:46:02
Total – Game,Under 158.5,1.9,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:46:02
Total – Game,Under 158.5,1.9,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:57:33
Total – Game,Over 158.5,1.769,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:57:33
Handicap – Game,Manchester Basketball +18.5,1.813,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:57:33
Handicap – Game,Sheffield Hatters -18.5,1.854,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:57:33
Money Line – Game,Manchester Basketball,7.71,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:57:33
Money Line – Game,Sheffield Hatters,1.019,Sheffield Hatters vs Manchester Basketball,2025-09-28 16:57:33
Money Line – Game,Manchester Mystics,1.221,Manchester Mystics vs Newcastle Eagles,2025-10-05 16:40:13
Money Line – Game,Newcastle Eagles,3.38,Manchester Mystics vs Newcastle Eagles,2025-10-05 16:40:13
Handicap – Game,Manchester Mystics -7.5,1.787,Manchester Mystics vs Newcastle Eagles,2025-10-05 16:40:13
Handicap – Game,Newcastle Eagles +7.5,1.884,Manchester Mystics vs Newcastle Eagles,2025-10-05 16:40:13
Total – Game,Over 150.5,1.826,Manchester Mystics vs Newcastle Eagles,2025-10-05 16:40:13
Total – Game,Under 150.5,1.84,Manchester Mystics vs Newcastle Eagles,2025-10-05 16:40:13
Money Line – Game,Manchester Mystics,1.221,Manchester Mystics vs Newcastle Eagles,2025-10-05 17:10:12
Money Line – Game,Newcastle Eagles,3.38,Manchester Mystics vs Newcastle Eagles,2025-10-05 17:10:12
Handicap – Game,Manchester Mystics -7.5,1.787,Manchester Mystics vs Newcastle Eagles,2025-10-05 17:10:12
Handicap – Game,Newcastle Eagles +7.5,1.884,Manchester Mystics vs Newcastle Eagles,2025-10-05 17:10:12
Total – Game,Over 150.5,1.826,Manchester Mystics vs Newcastle Eagles,2025-10-05 17:10:12
Total – Game,Under 150.5,1.84,Manchester Mystics vs Newcastle Eagles,2025-10-05 17:10:12
