Market,Selection,Odds,matchup,timestamp
Money Line – Game,BC Lokomotiv Plovdiv,4.35,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 163,2.12,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 163.5,1.645,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 163.5,2.06,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 164,1.68,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 164,2.01,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 164.5,1.724,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 164.5,1.952,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 165,1.769,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 165,1.9,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 163,1.609,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 165.5,1.847,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 166,1.793,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 166.5,1.934,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 166.5,1.746,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 167,1.98,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 167,1.699,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 167.5,2.04,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 167.5,1.662,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 168,2.09,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Under 168,1.628,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 166,1.877,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -7.5,1.507,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 165.5,1.819,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -8.0,1.546,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +7.5,2.28,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Money Line – Game,Cherno More IG,1.12,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +12.5,1.564,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -12.5,2.17,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +12.0,1.609,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -12.0,2.09,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +11.5,1.657,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +11.0,1.719,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -11.0,1.943,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +10.5,1.793,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -11.5,2.02,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -8.5,1.595,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +10.0,1.877,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -10.0,1.793,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +9.5,1.952,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -9.5,1.719,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +9.0,2.04,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -9.0,1.653,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +8.5,2.12,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,Cherno More IG -10.5,1.869,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Handicap – Game,BC Lokomotiv Plovdiv +8.0,2.2,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:02:29
Total – Game,Over 165,1.769,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 164.5,1.952,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 164.5,1.724,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 164,2.01,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 163,2.12,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 163.5,2.06,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 163.5,1.645,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 165,1.9,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 164,1.68,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 165.5,1.819,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 168,1.628,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 166,1.877,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 166,1.793,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 166.5,1.934,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 166.5,1.746,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 167,1.98,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 167,1.699,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 167.5,2.04,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 167.5,1.662,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 168,2.09,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Over 163,1.609,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Total – Game,Under 165.5,1.847,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Handicap – Game,Cherno More IG -7.5,1.507,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Handicap – Game,Cherno More IG -10.5,1.869,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Handicap – Game,Cherno More IG -8.0,1.546,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Handicap – Game,BC Lokomotiv Plovdiv +7.5,2.28,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Money Line – Game,BC Lokomotiv Plovdiv,4.35,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Money Line – Game,Cherno More IG,1.12,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
Handicap – Game,BC Lokomotiv Plovdiv +12.5,1.564,BC Lokomotiv Plovdiv vs Cherno More IG,2025-10-05 23:27:50
