team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-05 23:02:29
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-05 23:22:26
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-05 23:27:50
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-05 23:41:48
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-05 23:47:56
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-05 23:56:06
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 00:00:43
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 01:55:44
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 03:09:12
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 03:17:00
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 03:59:14
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 04:04:48
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 04:33:07
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 04:40:06
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 04:48:41
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 04:53:49
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 05:27:39
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 05:35:55
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 05:45:08
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 05:58:13
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 06:39:45
BC Lokomotiv Plovdiv,Cherno More IG,https://www.pinnacle.com/en/basketball/bulgaria-nbl/bc-lokomotiv-plovdiv-vs-cherno-more-ig/1617062120/,4.35,1.12,10.0,1.877,-10.0,1.793,165.5,1.819,165.5,1.847,2025-10-06 06:59:18
