Market,Selection,Odds,matchup,timestamp
Money Line – Game,Lake Erie,1.378,Lake Erie vs Newfoundland Rogues,2026-02-16 15:31:24
Money Line – Game,Newfoundland Rogues,3.02,Lake Erie vs Newfoundland Rogues,2026-02-16 15:31:24
Handicap – Game,Lake Erie -5.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 15:31:24
Handicap – Game,Newfoundland Rogues +5.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 15:31:24
Total – Game,Over 213.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 15:31:24
Total – Game,Under 213.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 15:31:24
Money Line – Game,Kw Titans,1.224,Kw Titans vs Lebanon Leprechauns,2026-02-16 15:31:24
Money Line – Game,Lebanon Leprechauns,4.08,Kw Titans vs Lebanon Leprechauns,2026-02-16 15:31:24
Handicap – Game,Kw Titans -8.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 15:31:24
Handicap – Game,Lebanon Leprechauns +8.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 15:31:24
Total – Game,Over 212.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 15:31:24
Total – Game,Under 212.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 15:31:24
Money Line – Game,Lake Erie,1.378,Lake Erie vs Newfoundland Rogues,2026-02-16 16:19:53
Money Line – Game,Newfoundland Rogues,3.02,Lake Erie vs Newfoundland Rogues,2026-02-16 16:19:53
Handicap – Game,Lake Erie -5.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 16:19:53
Handicap – Game,Newfoundland Rogues +5.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 16:19:53
Total – Game,Over 213.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 16:19:53
Total – Game,Under 213.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 16:19:53
Money Line – Game,Kw Titans,1.224,Kw Titans vs Lebanon Leprechauns,2026-02-16 16:19:53
Money Line – Game,Lebanon Leprechauns,4.08,Kw Titans vs Lebanon Leprechauns,2026-02-16 16:19:53
Handicap – Game,Kw Titans -8.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 16:19:53
Handicap – Game,Lebanon Leprechauns +8.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 16:19:53
Total – Game,Over 212.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 16:19:53
Total – Game,Under 212.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 16:19:53
Money Line – Game,Lake Erie,1.378,Lake Erie vs Newfoundland Rogues,2026-02-16 17:58:33
Money Line – Game,Newfoundland Rogues,3.02,Lake Erie vs Newfoundland Rogues,2026-02-16 17:58:33
Handicap – Game,Lake Erie -5.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 17:58:33
Handicap – Game,Newfoundland Rogues +5.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 17:58:33
Total – Game,Over 213.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 17:58:33
Total – Game,Under 213.5,1.869,Lake Erie vs Newfoundland Rogues,2026-02-16 17:58:33
Money Line – Game,Kw Titans,1.224,Kw Titans vs Lebanon Leprechauns,2026-02-16 17:58:33
Money Line – Game,Lebanon Leprechauns,4.08,Kw Titans vs Lebanon Leprechauns,2026-02-16 17:58:33
Handicap – Game,Kw Titans -8.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 17:58:33
Handicap – Game,Lebanon Leprechauns +8.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 17:58:33
Total – Game,Over 212.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 17:58:33
Total – Game,Under 212.5,1.869,Kw Titans vs Lebanon Leprechauns,2026-02-16 17:58:33
