Market,Selection,Odds,matchup,timestamp
Money Line – Game,Taoyuan Pauian Pilots,1.258,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 22:04:56
Money Line – Game,New Taipei Kings,3.42,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 22:04:56
Handicap – Game,Taoyuan Pauian Pilots -7.5,1.847,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 22:04:56
Handicap – Game,New Taipei Kings +7.5,1.892,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 22:04:56
Total – Game,Over 174.5,1.877,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 22:04:56
Total – Game,Under 174.5,1.862,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 22:04:56
Money Line – Game,Taoyuan Pauian Pilots,1.255,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 23:11:12
Money Line – Game,New Taipei Kings,3.44,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 23:11:12
Handicap – Game,Taoyuan Pauian Pilots -7.5,1.833,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 23:11:12
Handicap – Game,New Taipei Kings +7.5,1.909,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 23:11:12
Total – Game,Over 174.5,1.869,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 23:11:12
Total – Game,Under 174.5,1.869,Taoyuan Pauian Pilots vs New Taipei Kings,2026-04-13 23:11:12
Money Line – Game,Taoyuan Pauian Pilots,1.24,Taoyuan Pauian Pilots vs Khasiin Khuleguud,2026-04-21 00:01:17
Money Line – Game,Khasiin Khuleguud,3.54,Taoyuan Pauian Pilots vs Khasiin Khuleguud,2026-04-21 00:01:17
Handicap – Game,Taoyuan Pauian Pilots -8.0,1.833,Taoyuan Pauian Pilots vs Khasiin Khuleguud,2026-04-21 00:01:17
Handicap – Game,Khasiin Khuleguud +8.0,1.909,Taoyuan Pauian Pilots vs Khasiin Khuleguud,2026-04-21 00:01:17
Total – Game,Over 169.5,1.8,Taoyuan Pauian Pilots vs Khasiin Khuleguud,2026-04-21 00:01:17
Total – Game,Under 169.5,1.943,Taoyuan Pauian Pilots vs Khasiin Khuleguud,2026-04-21 00:01:17
Money Line – Game,Khasiin Khuleguud,1.552,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 05:07:08
Money Line – Game,Taoyuan Pauian Pilots,2.22,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 05:07:08
Handicap – Game,Khasiin Khuleguud -3.0,1.763,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 05:07:08
Handicap – Game,Taoyuan Pauian Pilots +3.0,1.909,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 05:07:08
Total – Game,Over 171.5,1.869,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 05:07:08
Total – Game,Under 171.5,1.869,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 05:07:08
Money Line – Game,Khasiin Khuleguud,1.571,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 07:43:01
Money Line – Game,Taoyuan Pauian Pilots,2.190,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 07:43:01
Handicap – Game,Khasiin Khuleguud -3.0,1.787,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 07:43:01
Handicap – Game,Taoyuan Pauian Pilots +3.0,1.884,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 07:43:01
Total – Game,Over 171.5,1.869,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 07:43:01
Total – Game,Under 171.5,1.869,Khasiin Khuleguud vs Taoyuan Pauian Pilots,2026-05-07 07:43:01
