Market,Selection,Odds,matchup,timestamp
Money Line – Game,CD Valdivia,1.157,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:43:44
Money Line – Game,CD Universidad Catolica,3.9,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:43:44
Handicap – Game,CD Valdivia -9.5,1.813,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:43:44
Handicap – Game,CD Universidad Catolica +9.5,1.854,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:43:44
Total – Game,Over 150,1.833,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:43:44
Total – Game,Under 150,1.833,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:43:44
Total – Game,Under 150,1.833,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:56:58
Total – Game,Over 150,1.833,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:56:58
Handicap – Game,CD Universidad Catolica +9.5,1.854,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:56:58
Handicap – Game,CD Valdivia -9.5,1.813,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:56:58
Money Line – Game,CD Universidad Catolica,3.9,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:56:58
Money Line – Game,CD Valdivia,1.157,CD Valdivia vs CD Universidad Catolica,2025-11-01 19:56:58
Money Line – Game,CD Valdivia,1.157,CD Valdivia vs CD Universidad Catolica,2025-11-01 20:11:06
Money Line – Game,CD Universidad Catolica,3.9,CD Valdivia vs CD Universidad Catolica,2025-11-01 20:11:06
Handicap – Game,CD Valdivia -9.5,1.813,CD Valdivia vs CD Universidad Catolica,2025-11-01 20:11:06
Handicap – Game,CD Universidad Catolica +9.5,1.854,CD Valdivia vs CD Universidad Catolica,2025-11-01 20:11:06
Total – Game,Over 150,1.833,CD Valdivia vs CD Universidad Catolica,2025-11-01 20:11:06
Total – Game,Under 150,1.833,CD Valdivia vs CD Universidad Catolica,2025-11-01 20:11:06
