team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
CD Colegio Los Leones,CD Espanol Osorno,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-colegio-los-leones-vs-cd-espanol-osorno/1618707564/,1.19,3.61,-8.5,1.833,8.5,1.833,148.5,1.826,148.5,1.84,2025-11-01 19:43:44
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 19:43:44
CD Colegio Los Leones,CD Espanol Osorno,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-colegio-los-leones-vs-cd-espanol-osorno/1618707564/,1.19,3.61,-8.5,1.833,8.5,1.833,148.5,1.826,148.5,1.84,2025-11-01 19:56:58
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 19:56:58
CD Colegio Los Leones,CD Espanol Osorno,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-colegio-los-leones-vs-cd-espanol-osorno/1618707564/,1.19,3.61,-8.5,1.833,8.5,1.833,148.5,1.826,148.5,1.84,2025-11-01 20:11:06
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 20:11:06
CD Colegio Los Leones,CD Espanol Osorno,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-colegio-los-leones-vs-cd-espanol-osorno/1618707564/,1.19,3.61,-8.5,1.833,8.5,1.833,148.5,1.826,148.5,1.84,2025-11-01 20:43:04
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 20:43:04
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 20:53:13
CD Colegio Los Leones,CD Espanol Osorno,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-colegio-los-leones-vs-cd-espanol-osorno/1618707564/,1.19,3.61,-8.5,1.833,8.5,1.833,148.5,1.826,148.5,1.84,2025-11-01 20:53:13
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 21:21:59
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 21:42:00
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 21:55:32
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 22:05:19
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 22:23:51
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 22:43:13
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 22:55:46
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 23:05:40
CD Valdivia,CD Universidad Catolica,https://www.pinnacle.com/en/basketball/chile-lnb-cup/cd-valdivia-vs-cd-universidad-catolica/1618707565/,1.157,3.9,-9.5,1.813,9.5,1.854,150.0,1.833,150.0,1.833,2025-11-01 23:23:54
