team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
CD Valdivia,CD Universidad De Concepcion,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-universidad-de-concepcion/1616067931/,3.96,1.152,9.0,1.819,-9.0,1.847,158.0,1.826,158.0,1.84,2025-09-25 23:07:34
CD Valdivia,CD Universidad De Concepcion,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-universidad-de-concepcion/1616067931/,3.96,1.152,9.0,1.819,-9.0,1.847,158.0,1.826,158.0,1.84,2025-09-25 23:22:46
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.323,2.69,-6.0,1.854,6.0,1.751,147.0,1.781,147.0,1.819,2025-09-26 18:38:27
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.189,3.61,-10.0,1.8,10.0,1.869,147.0,1.787,147.0,1.884,2025-09-26 18:57:25
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.174,3.74,-13.5,1.892,13.5,1.775,148.0,1.84,148.0,1.826,2025-09-26 19:21:01
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.172,3.76,-13.5,1.877,13.5,1.787,148.0,1.751,148.0,1.925,2025-09-26 19:27:28
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.172,3.76,-13.5,1.877,13.5,1.787,148.0,1.751,148.0,1.925,2025-09-26 19:43:38
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.217,3.4,-11.5,1.847,11.5,1.819,149.5,1.847,149.5,1.819,2025-09-26 19:50:29
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.217,3.4,-11.5,1.847,11.5,1.819,149.5,1.847,149.5,1.819,2025-09-26 19:56:55
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.232,3.31,-10.0,1.806,10.0,1.854,149.5,1.869,149.5,1.8,2025-09-26 20:28:33
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.232,3.31,-10.0,1.806,10.0,1.854,149.5,1.869,149.5,1.8,2025-09-26 20:35:34
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.235,3.28,-10.0,1.833,10.0,1.833,147.0,1.847,147.0,1.819,2025-09-26 20:44:56
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.234,3.3,-10.0,1.819,10.0,1.847,148.0,1.826,148.0,1.84,2025-09-26 20:59:16
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.234,3.3,-10.0,1.819,10.0,1.847,148.0,1.826,148.0,1.84,2025-09-26 21:05:31
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.234,3.29,-10.0,1.826,10.0,1.84,148.0,1.854,148.0,1.813,2025-09-26 21:22:40
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.234,3.29,-10.0,1.826,10.0,1.84,148.0,1.854,148.0,1.813,2025-09-26 21:31:04
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.234,3.29,-10.0,1.826,10.0,1.84,148.0,1.854,148.0,1.813,2025-09-26 21:56:07
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.225,3.35,-10.0,1.813,10.0,1.854,148.0,1.854,148.0,1.813,2025-09-26 22:23:23
CD Valdivia,CD ABA Ancud,https://www.pinnacle.com/en/basketball/chile-lnb/cd-valdivia-vs-cd-aba-ancud/1616067932/,1.225,3.35,-10.0,1.813,10.0,1.854,148.0,1.854,148.0,1.813,2025-09-26 22:31:35
