team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Truenos de Talca,CD Muncipal Chillan,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/truenos-de-talca-vs-cd-muncipal-chillan/1626863839/,1.04,6.35,-15.0,1.917,15.0,1.751,140.5,1.819,140.5,1.847,2026-03-28 19:54:23
Truenos de Talca,CD Muncipal Chillan,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/truenos-de-talca-vs-cd-muncipal-chillan/1626863839/,1.04,6.35,-15.0,1.917,15.0,1.751,140.5,1.819,140.5,1.847,2026-03-28 20:57:46
Truenos de Talca,CD Muncipal Chillan,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/truenos-de-talca-vs-cd-muncipal-chillan/1626863839/,1.04,6.34,-14.5,1.84,14.5,1.826,140.5,1.854,140.5,1.813,2026-03-28 21:27:31
Truenos de Talca,CD Muncipal Chillan,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/truenos-de-talca-vs-cd-muncipal-chillan/1626863839/,,,,,,,,,,,2026-03-28 21:56:07
The Sharks,CD Illapel Basquetbol,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/the-sharks-vs-cd-illapel-basquetbol/1626864953/,3.06,1.276,7.0,1.8,-7.0,1.869,144.0,1.813,144.0,1.854,2026-03-29 17:29:07
Stadio Italiano,CD Sergio Ceppi,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/stadio-italiano-vs-cd-sergio-ceppi/1626864676/,1.156,3.91,-8.5,1.862,8.5,1.806,140.0,1.877,140.0,1.787,2026-03-29 17:29:07
The Sharks,CD Illapel Basquetbol,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/the-sharks-vs-cd-illapel-basquetbol/1626864953/,3.06,1.276,7.0,1.8,-7.0,1.869,144.0,1.813,144.0,1.854,2026-03-29 18:36:57
Stadio Italiano,CD Sergio Ceppi,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/stadio-italiano-vs-cd-sergio-ceppi/1626864676/,1.156,3.91,-8.5,1.862,8.5,1.806,140.0,1.877,140.0,1.787,2026-03-29 18:36:57
The Sharks,CD Illapel Basquetbol,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/the-sharks-vs-cd-illapel-basquetbol/1626864953/,2.96,1.297,6.5,1.806,-6.5,1.854,144.0,1.819,144.0,1.847,2026-03-29 19:57:29
Stadio Italiano,CD Sergio Ceppi,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/stadio-italiano-vs-cd-sergio-ceppi/1626864676/,1.156,3.91,-8.5,1.862,8.5,1.806,140.0,1.877,140.0,1.787,2026-03-29 19:57:29
The Sharks,CD Illapel Basquetbol,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/the-sharks-vs-cd-illapel-basquetbol/1626864953/,2.96,1.297,6.5,1.806,-6.5,1.854,144.0,1.819,144.0,1.847,2026-03-29 20:28:35
Stadio Italiano,CD Sergio Ceppi,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/stadio-italiano-vs-cd-sergio-ceppi/1626864676/,1.156,3.91,-8.5,1.862,8.5,1.806,140.0,1.877,140.0,1.787,2026-03-29 20:28:35
The Sharks,CD Illapel Basquetbol,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/the-sharks-vs-cd-illapel-basquetbol/1626864953/,2.43,1.456,4.0,1.862,-4.0,1.8,144.0,1.833,144.0,1.833,2026-03-29 21:00:05
Stadio Italiano,CD Sergio Ceppi,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/stadio-italiano-vs-cd-sergio-ceppi/1626864676/,1.156,3.91,-8.5,1.862,8.5,1.806,140.0,1.877,140.0,1.787,2026-03-29 21:00:05
Stadio Italiano,CD Sergio Ceppi,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/stadio-italiano-vs-cd-sergio-ceppi/1626864676/,1.156,3.91,-8.5,1.862,8.5,1.806,140.0,1.877,140.0,1.787,2026-03-29 21:29:49
Stadio Italiano,CD Sergio Ceppi,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/stadio-italiano-vs-cd-sergio-ceppi/1626864676/,1.156,3.91,-8.5,1.862,8.5,1.806,140.0,1.877,140.0,1.787,2026-03-29 21:57:53
CDS Constitucion,CD Muncipal Chillan,https://www.pinnacle.com/en/basketball/chile-lnb-segunda/cds-constitucion-vs-cd-muncipal-chillan/1627278031/,1.378,2.65,-4.5,1.751,4.5,1.925,145.0,1.819,145.0,1.847,2026-04-04 18:37:03
