Market,Selection,Odds,matchup,timestamp
Handicap – Game,Gimnastico +25.5,1.833,Gimnastico vs Colegio Los Leones,2025-09-14 07:59:27
Handicap – Game,Colegio Los Leones -25.5,1.769,Gimnastico vs Colegio Los Leones,2025-09-14 07:59:27
Total – Game,Over 133.5,1.787,Gimnastico vs Colegio Los Leones,2025-09-14 07:59:27
Total – Game,Under 133.5,1.813,Gimnastico vs Colegio Los Leones,2025-09-14 07:59:27
Handicap – Game,Gimnastico +25.5,1.833,Gimnastico vs Colegio Los Leones,2025-09-14 08:05:11
Handicap – Game,Colegio Los Leones -25.5,1.769,Gimnastico vs Colegio Los Leones,2025-09-14 08:05:11
Total – Game,Over 133.5,1.787,Gimnastico vs Colegio Los Leones,2025-09-14 08:05:11
Total – Game,Under 133.5,1.813,Gimnastico vs Colegio Los Leones,2025-09-14 08:05:11
Total – Game,Under 133.5,1.813,Gimnastico vs Colegio Los Leones,2025-09-14 08:42:17
Total – Game,Over 133.5,1.787,Gimnastico vs Colegio Los Leones,2025-09-14 08:42:17
Handicap – Game,Gimnastico +25.5,1.833,Gimnastico vs Colegio Los Leones,2025-09-14 08:42:17
Handicap – Game,Colegio Los Leones -25.5,1.769,Gimnastico vs Colegio Los Leones,2025-09-14 08:42:17
Handicap – Game,Gimnastico +25.5,1.833,Gimnastico vs Colegio Los Leones,2025-09-14 09:11:16
Handicap – Game,Colegio Los Leones -25.5,1.769,Gimnastico vs Colegio Los Leones,2025-09-14 09:11:16
Total – Game,Over 133.5,1.787,Gimnastico vs Colegio Los Leones,2025-09-14 09:11:16
Total – Game,Under 133.5,1.813,Gimnastico vs Colegio Los Leones,2025-09-14 09:11:16
Total – Game,Under 133.5,1.813,Gimnastico vs Colegio Los Leones,2025-09-14 12:01:29
Total – Game,Over 133.5,1.787,Gimnastico vs Colegio Los Leones,2025-09-14 12:01:29
Handicap – Game,Gimnastico +25.5,1.833,Gimnastico vs Colegio Los Leones,2025-09-14 12:01:29
Handicap – Game,Colegio Los Leones -25.5,1.769,Gimnastico vs Colegio Los Leones,2025-09-14 12:01:29
Handicap – Game,Gimnastico +22.5,1.787,Gimnastico vs Colegio Los Leones,2025-09-14 14:38:34
Handicap – Game,Colegio Los Leones -22.5,1.813,Gimnastico vs Colegio Los Leones,2025-09-14 14:38:34
Total – Game,Over 131.5,1.746,Gimnastico vs Colegio Los Leones,2025-09-14 14:38:34
Total – Game,Under 131.5,1.854,Gimnastico vs Colegio Los Leones,2025-09-14 14:38:34
Handicap – Game,Gimnastico +22.5,1.787,Gimnastico vs Colegio Los Leones,2025-09-14 15:26:22
Handicap – Game,Colegio Los Leones -22.5,1.813,Gimnastico vs Colegio Los Leones,2025-09-14 15:26:22
Total – Game,Over 131.5,1.746,Gimnastico vs Colegio Los Leones,2025-09-14 15:26:22
Total – Game,Under 131.5,1.854,Gimnastico vs Colegio Los Leones,2025-09-14 15:26:22
Total – Game,Under 132.5,1.793,Gimnastico vs Colegio Los Leones,2025-09-14 16:31:16
Handicap – Game,Gimnastico +23.0,1.826,Gimnastico vs Colegio Los Leones,2025-09-14 16:31:16
Handicap – Game,Colegio Los Leones -23.0,1.775,Gimnastico vs Colegio Los Leones,2025-09-14 16:31:16
Total – Game,Over 132.5,1.806,Gimnastico vs Colegio Los Leones,2025-09-14 16:31:16
Total – Game,Under 132.5,1.826,Gimnastico vs Colegio Los Leones,2025-09-14 18:03:51
Total – Game,Over 132.5,1.84,Gimnastico vs Colegio Los Leones,2025-09-14 18:03:51
Handicap – Game,Gimnastico +23.0,1.862,Gimnastico vs Colegio Los Leones,2025-09-14 18:03:51
Handicap – Game,Colegio Los Leones -23.0,1.806,Gimnastico vs Colegio Los Leones,2025-09-14 18:03:51
Handicap – Game,Gimnastico +23.0,1.862,Gimnastico vs Colegio Los Leones,2025-09-14 18:52:47
Handicap – Game,Colegio Los Leones -23.0,1.806,Gimnastico vs Colegio Los Leones,2025-09-14 18:52:47
Total – Game,Over 132.5,1.84,Gimnastico vs Colegio Los Leones,2025-09-14 18:52:47
Total – Game,Under 132.5,1.826,Gimnastico vs Colegio Los Leones,2025-09-14 18:52:47
Handicap – Game,Gimnastico +23.0,1.862,Gimnastico vs Colegio Los Leones,2025-09-14 21:21:04
Handicap – Game,Colegio Los Leones -23.0,1.806,Gimnastico vs Colegio Los Leones,2025-09-14 21:21:04
Total – Game,Over 132.5,1.84,Gimnastico vs Colegio Los Leones,2025-09-14 21:21:04
Total – Game,Under 132.5,1.826,Gimnastico vs Colegio Los Leones,2025-09-14 21:21:04
Handicap – Game,Gimnastico +21.5,1.869,Gimnastico vs Colegio Los Leones,2025-09-14 21:59:36
Handicap – Game,Colegio Los Leones -21.5,1.8,Gimnastico vs Colegio Los Leones,2025-09-14 21:59:36
Total – Game,Over 132.5,1.877,Gimnastico vs Colegio Los Leones,2025-09-14 21:59:36
