Market,Selection,Odds,matchup,timestamp
Money Line – Game,CD ABA Ancud,1.746,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 13:11:24
Money Line – Game,CD Universidad De Concepcion,1.854,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 13:11:24
Handicap – Game,CD ABA Ancud +1.0,1.724,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 13:11:24
Handicap – Game,CD Universidad De Concepcion -1.0,1.884,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 13:11:24
Total – Game,Over 160,1.833,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 13:11:24
Total – Game,Under 160,1.769,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 13:11:24
Total – Game,Over 159,1.833,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 14:38:53
Handicap – Game,CD Universidad De Concepcion -3.5,1.819,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 14:38:53
Handicap – Game,CD ABA Ancud +3.5,1.781,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 14:38:53
Money Line – Game,CD Universidad De Concepcion,1.471,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 14:38:53
Money Line – Game,CD ABA Ancud,2.28,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 14:38:53
Total – Game,Under 159,1.769,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 14:38:53
Total – Game,Over 150.5,1.787,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 14:38:53
Handicap – Game,CD Colegio Los Leones -7.0,1.813,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 14:38:53
Handicap – Game,CD Espanol Osorno +7.0,1.787,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 14:38:53
Money Line – Game,CD Colegio Los Leones,1.238,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 14:38:53
Money Line – Game,CD Espanol Osorno,3.05,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 14:38:53
Total – Game,Under 150.5,1.813,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 14:38:53
Total – Game,Under 156.5,1.826,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:31:21
Total – Game,Over 156.5,1.769,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:31:21
Handicap – Game,CD Universidad De Concepcion -1.5,1.813,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:31:21
Handicap – Game,CD ABA Ancud +1.5,1.787,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:31:21
Money Line – Game,CD Universidad De Concepcion,1.746,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:31:21
Money Line – Game,CD ABA Ancud,1.862,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:31:21
Total – Game,Under 150.5,1.847,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:31:21
Handicap – Game,CD Colegio Los Leones -7.0,1.847,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:31:21
Handicap – Game,CD Espanol Osorno +7.0,1.819,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:31:21
Money Line – Game,CD Colegio Los Leones,1.261,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:31:21
Money Line – Game,CD Espanol Osorno,3.14,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:31:21
Total – Game,Over 150.5,1.819,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:31:21
Money Line – Game,CD Universidad De Concepcion,1.746,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:47:14
Total – Game,Under 156.5,1.826,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:47:14
Total – Game,Over 156.5,1.769,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:47:14
Handicap – Game,CD Universidad De Concepcion -1.5,1.813,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:47:14
Handicap – Game,CD ABA Ancud +1.5,1.787,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:47:14
Money Line – Game,CD ABA Ancud,1.862,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 16:47:14
Handicap – Game,CD Espanol Osorno +7.0,1.819,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:47:14
Total – Game,Over 150.5,1.819,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:47:14
Handicap – Game,CD Colegio Los Leones -7.0,1.847,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:47:14
Money Line – Game,CD Colegio Los Leones,1.261,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:47:14
Money Line – Game,CD Espanol Osorno,3.14,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:47:14
Total – Game,Under 150.5,1.847,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 16:47:14
Total – Game,Under 156.5,1.862,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:03:56
Total – Game,Over 156.5,1.806,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:03:56
Handicap – Game,CD ABA Ancud +1.5,1.84,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:03:56
Money Line – Game,CD Universidad De Concepcion,1.757,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:03:56
Money Line – Game,CD ABA Ancud,1.909,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:03:56
Handicap – Game,CD Universidad De Concepcion -1.5,1.826,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:03:56
Total – Game,Over 150.5,1.819,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 18:03:56
Handicap – Game,CD Colegio Los Leones -7.0,1.751,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 18:03:56
Handicap – Game,CD Espanol Osorno +7.0,1.925,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 18:03:56
Money Line – Game,CD Colegio Los Leones,1.235,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 18:03:56
Money Line – Game,CD Espanol Osorno,3.28,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 18:03:56
Total – Game,Under 150.5,1.847,CD Espanol Osorno vs CD Colegio Los Leones,2025-09-14 18:03:56
Total – Game,Under 156.5,1.862,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:52:51
Total – Game,Over 156.5,1.806,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:52:51
Handicap – Game,CD Universidad De Concepcion -1.5,1.826,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:52:51
Handicap – Game,CD ABA Ancud +1.5,1.84,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:52:51
Money Line – Game,CD ABA Ancud,1.909,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:52:51
Money Line – Game,CD Universidad De Concepcion,1.757,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 18:52:51
Total – Game,Over 156.5,1.806,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 19:22:08
Money Line – Game,CD ABA Ancud,1.909,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 19:22:08
Money Line – Game,CD Universidad De Concepcion,1.757,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 19:22:08
Handicap – Game,CD ABA Ancud +1.5,1.84,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 19:22:08
Handicap – Game,CD Universidad De Concepcion -1.5,1.826,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 19:22:08
Total – Game,Under 156.5,1.862,CD ABA Ancud vs CD Universidad De Concepcion,2025-09-14 19:22:08
Money Line – Game,CSD Colo Colo,8.7,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 19:53:02
Money Line – Game,CD Universidad De Concepcion,1.01,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 19:53:02
Handicap – Game,CSD Colo Colo +23.0,1.833,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 19:53:02
Handicap – Game,CD Universidad De Concepcion -23.0,1.833,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 19:53:02
Total – Game,Over 154.5,1.847,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 19:53:02
Total – Game,Under 154.5,1.819,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 19:53:02
Money Line – Game,CSD Colo Colo,8.7,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:10:18
Money Line – Game,CD Universidad De Concepcion,1.01,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:10:18
Handicap – Game,CSD Colo Colo +23.0,1.833,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:10:18
Handicap – Game,CD Universidad De Concepcion -23.0,1.833,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:10:18
Total – Game,Over 154.5,1.847,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:10:18
Total – Game,Under 154.5,1.819,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:10:18
Money Line – Game,CSD Colo Colo,8.7,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:40:49
Money Line – Game,CD Universidad De Concepcion,1.01,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:40:49
Handicap – Game,CSD Colo Colo +23.0,1.833,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:40:49
Handicap – Game,CD Universidad De Concepcion -23.0,1.833,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:40:49
Total – Game,Over 154.5,1.847,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:40:49
Total – Game,Under 154.5,1.819,CSD Colo Colo vs CD Universidad De Concepcion,2026-03-19 21:40:49
Money Line – Game,CD Colegio Los Leones,1.041,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 20:29:11
Money Line – Game,CD Atletico Puerto Varas,6.29,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 20:29:11
Handicap – Game,CD Colegio Los Leones -15.0,1.813,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 20:29:11
Handicap – Game,CD Atletico Puerto Varas +15.0,1.854,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 20:29:11
Total – Game,Over 149.5,1.869,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 20:29:11
Total – Game,Under 149.5,1.8,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 20:29:11
Money Line – Game,CD Colegio Los Leones,1.041,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 21:18:31
Money Line – Game,CD Atletico Puerto Varas,6.29,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 21:18:31
Handicap – Game,CD Colegio Los Leones -15.0,1.813,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 21:18:31
Handicap – Game,CD Atletico Puerto Varas +15.0,1.854,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 21:18:31
Total – Game,Over 149.5,1.869,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 21:18:31
Total – Game,Under 149.5,1.8,CD Colegio Los Leones vs CD Atletico Puerto Varas,2026-03-20 21:18:31
Money Line – Game,CD Atletico Puerto Varas,2.24,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 19:35:30
Money Line – Game,CD Valdivia,1.543,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 19:35:30
Handicap – Game,CD Atletico Puerto Varas +3.5,1.833,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 19:35:30
Handicap – Game,CD Valdivia -3.5,1.833,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 19:35:30
Total – Game,Over 150.5,1.84,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 19:35:30
Total – Game,Under 150.5,1.826,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 19:35:30
Money Line – Game,CD Universidad De Concepcion,1.226,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 19:35:30
Money Line – Game,CD Espanol Osorno,3.35,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 19:35:30
Handicap – Game,CD Universidad De Concepcion -7.5,1.833,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 19:35:30
Handicap – Game,CD Espanol Osorno +7.5,1.833,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 19:35:30
Total – Game,Over 154.5,1.84,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 19:35:30
Total – Game,Under 154.5,1.826,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 19:35:30
Money Line – Game,CD Atletico Puerto Varas,2.24,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 20:36:50
Money Line – Game,CD Valdivia,1.543,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 20:36:50
Handicap – Game,CD Atletico Puerto Varas +3.5,1.833,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 20:36:50
Handicap – Game,CD Valdivia -3.5,1.833,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 20:36:50
Total – Game,Over 150.5,1.84,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 20:36:50
Total – Game,Under 150.5,1.826,CD Atletico Puerto Varas vs CD Valdivia,2026-03-21 20:36:50
Money Line – Game,CD Universidad De Concepcion,1.198,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 20:36:50
Money Line – Game,CD Espanol Osorno,3.55,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 20:36:50
Handicap – Game,CD Universidad De Concepcion -8.0,1.781,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 20:36:50
Handicap – Game,CD Espanol Osorno +8.0,1.884,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 20:36:50
Total – Game,Over 154.5,1.826,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 20:36:50
Total – Game,Under 154.5,1.84,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 20:36:50
Money Line – Game,CD Universidad De Concepcion,1.182,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 21:02:02
Money Line – Game,CD Espanol Osorno,3.67,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 21:02:02
Handicap – Game,CD Universidad De Concepcion -9.0,1.862,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 21:02:02
Handicap – Game,CD Espanol Osorno +9.0,1.806,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 21:02:02
Total – Game,Over 154.5,1.826,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 21:02:02
Total – Game,Under 154.5,1.84,CD Universidad De Concepcion vs CD Espanol Osorno,2026-03-21 21:02:02
