Market,Selection,Odds,matchup,timestamp
Money Line – Game,Shandong Kirin,2.26,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Money Line – Game,Qingdao Eagles,1.478,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +6.0,1.478,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -6.0,2.24,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +5.5,1.518,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -5.5,2.16,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +5.0,1.564,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -5.0,2.08,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +4.5,1.621,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -4.5,2.0,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +4.0,1.684,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -4.0,1.917,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +3.5,1.763,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -3.5,1.84,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +3.0,1.833,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -3.0,1.757,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +2.5,1.909,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -2.5,1.689,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +2.0,1.97,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -2.0,1.632,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +1.5,2.04,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -1.5,1.588,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Shandong Kirin +1.0,2.09,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Handicap – Game,Qingdao Eagles -1.0,1.558,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 188,1.595,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 188,2.05,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 188.5,1.632,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 188.5,2.0,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 189,1.671,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 189,1.952,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 189.5,1.714,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 189.5,1.892,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 190,1.757,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 190,1.84,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 190.5,1.813,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 190.5,1.787,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 191,1.862,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 191,1.74,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 191.5,1.917,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 191.5,1.694,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 192,1.97,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 192,1.649,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 192.5,2.03,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 192.5,1.613,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Over 193,2.08,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Total – Game,Under 193,1.581,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:28:23
Money Line – Game,Shandong Kirin,2.26,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Money Line – Game,Qingdao Eagles,1.478,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +6.0,1.478,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -6.0,2.24,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +5.5,1.518,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -5.5,2.16,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +5.0,1.564,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -5.0,2.08,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +4.5,1.621,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -4.5,2.0,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +4.0,1.684,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -4.0,1.917,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +3.5,1.763,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -3.5,1.84,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +3.0,1.833,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -3.0,1.757,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Shandong Kirin +2.5,1.909,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
Handicap – Game,Qingdao Eagles -2.5,1.689,Shandong Kirin vs Qingdao Eagles,2025-12-07 23:45:39
