team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Shandong Kirin,Qingdao Eagles,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shandong-kirin-vs-qingdao-eagles/1620572905/,2.26,1.478,3.5,1.763,-3.5,1.84,190.5,1.813,190.5,1.787,2025-12-07 23:28:23
Shandong Kirin,Qingdao Eagles,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shandong-kirin-vs-qingdao-eagles/1620572905/,2.26,1.478,3.5,1.763,-3.5,1.84,190.5,1.813,190.5,1.787,2025-12-07 23:45:39
Zhejiang Guangsha Lions,Beijing Ducks,https://www.pinnacle.com/en/basketball/china-cba-club-cup/zhejiang-guangsha-lions-vs-beijing-ducks/1620583833/,1.38,2.5,-5.0,1.763,5.0,1.833,191.5,1.793,191.5,1.806,2025-12-07 23:45:39
Shandong Kirin,Qingdao Eagles,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shandong-kirin-vs-qingdao-eagles/1620572905/,2.26,1.478,3.5,1.763,-3.5,1.84,190.5,1.813,190.5,1.787,2025-12-07 23:57:47
Zhejiang Guangsha Lions,Beijing Ducks,https://www.pinnacle.com/en/basketball/china-cba-club-cup/zhejiang-guangsha-lions-vs-beijing-ducks/1620583833/,1.38,2.5,-5.0,1.763,5.0,1.833,191.5,1.793,191.5,1.806,2025-12-07 23:57:47
Shanxi Loongs,Zhejiang Guangsha Lions,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shanxi-loongs-vs-zhejiang-guangsha-lions/1623826411/,1.275,2.87,-8.0,1.84,8.0,1.757,180.5,1.757,180.5,1.84,2026-02-08 20:55:53
Shanxi Loongs,Zhejiang Guangsha Lions,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shanxi-loongs-vs-zhejiang-guangsha-lions/1623826411/,1.275,2.87,-8.0,1.84,8.0,1.757,180.5,1.757,180.5,1.84,2026-02-08 21:53:53
Shanxi Loongs,Zhejiang Guangsha Lions,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shanxi-loongs-vs-zhejiang-guangsha-lions/1623826411/,1.256,2.96,-8.0,1.775,8.0,1.826,180.5,1.757,180.5,1.847,2026-02-08 22:58:07
Shanxi Loongs,Zhejiang Guangsha Lions,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shanxi-loongs-vs-zhejiang-guangsha-lions/1623826411/,1.256,2.96,-8.0,1.775,8.0,1.826,180.5,1.757,180.5,1.847,2026-02-08 23:56:09
Shanxi Loongs,Zhejiang Guangsha Lions,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shanxi-loongs-vs-zhejiang-guangsha-lions/1623826411/,1.083,4.4,-11.5,1.8,11.5,1.8,187.0,1.869,187.0,1.735,2026-02-09 04:12:28
Shanxi Loongs,Zhejiang Guangsha Lions,https://www.pinnacle.com/en/basketball/china-cba-club-cup/shanxi-loongs-vs-zhejiang-guangsha-lions/1623826411/,1.095,4.750,-12.0,1.869,+12.0,1.800,187,1.884,187,1.787,2026-02-09 06:52:55
