team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Beijing Ducks,Xinjiang Flying Tigers,https://www.pinnacle.com/en/basketball/china-cba/beijing-ducks-vs-xinjiang-flying-tigers/1621171442/,1.487,2.32,-5.0,1.819,5.0,1.806,179.0,1.833,179.0,1.793,2025-12-15 00:00:19
Liaoning Flying Leopards,Zhejiang Guangsha Lions,https://www.pinnacle.com/en/basketball/china-cba/liaoning-flying-leopards-vs-zhejiang-guangsha-lions/1621181018/,3.43,1.228,8.5,1.793,-8.5,1.833,173.5,1.8,173.5,1.826,2025-12-15 00:00:19
Qingdao Eagles,Sichuan Blue Whales,https://www.pinnacle.com/en/basketball/china-cba/qingdao-eagles-vs-sichuan-blue-whales/1621171445/,1.005,15.84,-30.5,1.757,30.5,1.869,174.0,1.819,174.0,1.806,2025-12-15 00:00:19
Xinjiang Flying Tigers,Qingdao Eagles,https://www.pinnacle.com/en/basketball/china-cba/xinjiang-flying-tigers-vs-qingdao-eagles/1621587393/,1.262,3.59,-8.0,1.869,8.0,1.869,186.5,1.892,186.5,1.847,2025-12-24 10:45:46
Shenzhen Leopards,Sichuan Blue Whales,https://www.pinnacle.com/en/basketball/china-cba/shenzhen-leopards-vs-sichuan-blue-whales/1621591684/,1.01,21.65,-28.5,1.952,28.5,1.793,166.5,1.9,166.5,1.84,2025-12-24 10:45:46
Jilin Northeast Tigers,Beijing Royal Fighters,https://www.pinnacle.com/en/basketball/china-cba/jilin-northeast-tigers-vs-beijing-royal-fighters/1621591685/,1.694,2.09,-2.5,1.833,2.5,1.909,183.5,1.925,183.5,1.813,2025-12-24 10:45:46
Shanghai Sharks,Jiangsu Dragons,https://www.pinnacle.com/en/basketball/china-cba/shanghai-sharks-vs-jiangsu-dragons/1621597188/,,,,,,,,,,,2025-12-24 16:48:17
Zhejiang Guangsha Lions,Liaoning Flying Leopards,https://www.pinnacle.com/en/basketball/china-cba/zhejiang-guangsha-lions-vs-liaoning-flying-leopards/1621597187/,,,,,,,,,,,2025-12-24 16:48:17
Shanghai Sharks,Jiangsu Dragons,https://www.pinnacle.com/en/basketball/china-cba/shanghai-sharks-vs-jiangsu-dragons/1621597188/,1.03,9.89,-19.5,1.833,19.5,1.833,183.5,1.833,183.5,1.833,2025-12-24 17:17:53
Zhejiang Guangsha Lions,Liaoning Flying Leopards,https://www.pinnacle.com/en/basketball/china-cba/zhejiang-guangsha-lions-vs-liaoning-flying-leopards/1621597187/,1.277,3.23,-7.5,1.862,7.5,1.806,178.0,1.862,178.0,1.806,2025-12-24 17:17:53
Shanghai Sharks,Jiangsu Dragons,https://www.pinnacle.com/en/basketball/china-cba/shanghai-sharks-vs-jiangsu-dragons/1621597188/,1.03,9.89,-19.5,1.833,19.5,1.833,183.5,1.833,183.5,1.833,2025-12-24 17:38:26
Zhejiang Guangsha Lions,Liaoning Flying Leopards,https://www.pinnacle.com/en/basketball/china-cba/zhejiang-guangsha-lions-vs-liaoning-flying-leopards/1621597187/,1.277,3.23,-7.5,1.862,7.5,1.806,178.0,1.862,178.0,1.806,2025-12-24 17:38:26
Shanghai Sharks,Jiangsu Dragons,https://www.pinnacle.com/en/basketball/china-cba/shanghai-sharks-vs-jiangsu-dragons/1621597188/,1.03,9.89,-19.5,1.833,19.5,1.833,183.5,1.833,183.5,1.833,2025-12-24 17:48:43
Zhejiang Guangsha Lions,Liaoning Flying Leopards,https://www.pinnacle.com/en/basketball/china-cba/zhejiang-guangsha-lions-vs-liaoning-flying-leopards/1621597187/,1.277,3.23,-7.5,1.862,7.5,1.806,178.0,1.862,178.0,1.806,2025-12-24 17:48:43
Shanghai Sharks,Jiangsu Dragons,https://www.pinnacle.com/en/basketball/china-cba/shanghai-sharks-vs-jiangsu-dragons/1621597188/,1.031,9.83,-19.5,1.847,19.5,1.819,183.5,1.826,183.5,1.84,2025-12-24 18:08:03
