Market,Selection,Odds,matchup,timestamp
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:20:46
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:20:46
Handicap – Game,Hong Kong Golden Bulls -12.0,1.833,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:20:46
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:20:46
Total – Game,Over 172.5,1.854,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:20:46
Total – Game,Under 172.5,1.746,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:20:46
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:41:17
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:41:17
Handicap – Game,Hong Kong Golden Bulls -12.0,1.833,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:41:17
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:41:17
Total – Game,Over 172.5,1.854,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:41:17
Total – Game,Under 172.5,1.746,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:41:17
Total – Game,Under 172.5,1.746,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:46:29
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:46:29
Total – Game,Over 172.5,1.854,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:46:29
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:46:29
Handicap – Game,Hong Kong Golden Bulls -12.0,1.833,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:46:29
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-16 23:46:29
Total – Game,Over 172.5,1.854,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 01:50:33
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 01:50:33
Total – Game,Under 172.5,1.746,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 01:50:33
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 01:50:33
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 01:50:33
Handicap – Game,Hong Kong Golden Bulls -12.0,1.833,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 01:50:33
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 03:36:17
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 03:36:17
Handicap – Game,Hong Kong Golden Bulls -12.0,1.84,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 03:36:17
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 03:36:17
Total – Game,Over 171.5,1.787,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 03:36:17
Total – Game,Under 171.5,1.813,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 03:36:17
Total – Game,Over 171.5,1.787,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:01:15
Total – Game,Under 171.5,1.813,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:01:15
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:01:15
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:01:15
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:01:15
Handicap – Game,Hong Kong Golden Bulls -12.0,1.84,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:01:15
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:46:17
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:46:17
Handicap – Game,Hong Kong Golden Bulls -12.0,1.84,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:46:17
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:46:17
Total – Game,Over 171.5,1.787,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:46:17
Total – Game,Under 171.5,1.813,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 04:46:17
Total – Game,Over 171.5,1.787,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:07:03
Total – Game,Under 171.5,1.813,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:07:03
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:07:03
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:07:03
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:07:03
Handicap – Game,Hong Kong Golden Bulls -12.0,1.84,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:07:03
Total – Game,Under 171.5,1.813,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:27:56
Total – Game,Over 171.5,1.787,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:27:56
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:27:56
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:27:56
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:27:56
Handicap – Game,Hong Kong Golden Bulls -12.0,1.84,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:27:56
Total – Game,Over 171.5,1.787,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:44:27
Money Line – Game,Hong Kong Golden Bulls,1.081,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:44:27
Money Line – Game,Cheung Sha Wan Tian Yongsheng,4.45,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:44:27
Handicap – Game,Hong Kong Golden Bulls -12.0,1.84,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:44:27
Handicap – Game,Cheung Sha Wan Tian Yongsheng +12.0,1.763,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:44:27
Total – Game,Under 171.5,1.813,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:44:27
Total – Game,Over 171.5,1.787,Hong Kong Golden Bulls vs Cheung Sha Wan Tian Yongsheng,2025-09-17 05:49:14
