team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.833,12.0,1.763,172.5,1.854,172.5,1.746,2025-09-16 23:20:46
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.833,12.0,1.763,172.5,1.854,172.5,1.746,2025-09-16 23:41:17
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.833,12.0,1.763,172.5,1.854,172.5,1.746,2025-09-16 23:46:29
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.833,12.0,1.763,172.5,1.854,172.5,1.746,2025-09-16 23:55:38
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.833,12.0,1.763,172.5,1.854,172.5,1.746,2025-09-17 01:50:33
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.84,12.0,1.763,171.5,1.787,171.5,1.813,2025-09-17 03:00:45
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.84,12.0,1.763,171.5,1.787,171.5,1.813,2025-09-17 03:08:18
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.84,12.0,1.763,171.5,1.787,171.5,1.813,2025-09-17 03:36:17
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.84,12.0,1.763,171.5,1.787,171.5,1.813,2025-09-17 03:55:04
Hong Kong Golden Bulls,Cheung Sha Wan Tian Yongsheng,https://www.pinnacle.com/en/basketball/china-nbl/hong-kong-golden-bulls-vs-cheung-sha-wan-tian-yongsheng/1615066291/,1.081,4.45,-12.0,1.84,12.0,1.763,171.5,1.787,171.5,1.813,2025-09-17 04:01:15
