Market,Selection,Odds,matchup,timestamp
Money Line – Game,Hsinchu Jko Lioneers,2.22,Hsinchu Jko Lioneers vs Taiwan Beer Leopards,2025-12-24 10:46:14
Money Line – Game,Taiwan Beer Leopards,1.666,Hsinchu Jko Lioneers vs Taiwan Beer Leopards,2025-12-24 10:46:14
Handicap – Game,Hsinchu Jko Lioneers +3.0,1.8,Hsinchu Jko Lioneers vs Taiwan Beer Leopards,2025-12-24 10:46:14
Handicap – Game,Taiwan Beer Leopards -3.0,1.943,Hsinchu Jko Lioneers vs Taiwan Beer Leopards,2025-12-24 10:46:14
Total – Game,Over 191.5,1.917,Hsinchu Jko Lioneers vs Taiwan Beer Leopards,2025-12-24 10:46:14
Total – Game,Under 191.5,1.819,Hsinchu Jko Lioneers vs Taiwan Beer Leopards,2025-12-24 10:46:14
Money Line – Game,New Taipei CTBC DEA,1.892,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 05:54:50
Money Line – Game,New Taipei Kings,1.925,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 05:54:50
Handicap – Game,New Taipei CTBC DEA +1.0,1.819,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 05:54:50
Handicap – Game,New Taipei Kings -1.0,1.925,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 05:54:50
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 05:54:50
Total – Game,Under 192,1.9,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 05:54:50
Money Line – Game,New Taipei CTBC DEA,1.892,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 07:42:21
Money Line – Game,New Taipei Kings,1.925,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 07:42:21
Handicap – Game,New Taipei CTBC DEA +1.0,1.819,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 07:42:21
Handicap – Game,New Taipei Kings -1.0,1.925,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 07:42:21
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 07:42:21
Total – Game,Under 192,1.9,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 07:42:21
Money Line – Game,New Taipei CTBC DEA,1.892,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:00:32
Money Line – Game,New Taipei Kings,1.925,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:00:32
Handicap – Game,New Taipei CTBC DEA +1.0,1.819,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:00:32
Handicap – Game,New Taipei Kings -1.0,1.925,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:00:32
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:00:32
Total – Game,Under 192,1.9,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:00:32
Money Line – Game,New Taipei CTBC DEA,1.877,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:43:37
Money Line – Game,New Taipei Kings,1.943,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:43:37
Handicap – Game,New Taipei CTBC DEA +1.0,1.806,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:43:37
Handicap – Game,New Taipei Kings -1.0,1.934,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:43:37
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:43:37
Total – Game,Under 192,1.9,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 08:43:37
Money Line – Game,New Taipei CTBC DEA,1.877,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:06:10
Money Line – Game,New Taipei Kings,1.943,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:06:10
Handicap – Game,New Taipei CTBC DEA +1.0,1.806,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:06:10
Handicap – Game,New Taipei Kings -1.0,1.934,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:06:10
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:06:10
Total – Game,Under 192,1.9,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:06:10
Money Line – Game,New Taipei CTBC DEA,1.877,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:46:03
Money Line – Game,New Taipei Kings,1.943,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:46:03
Handicap – Game,New Taipei CTBC DEA +1.0,1.806,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:46:03
Handicap – Game,New Taipei Kings -1.0,1.934,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:46:03
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:46:03
Total – Game,Under 192,1.9,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 09:46:03
Money Line – Game,New Taipei CTBC DEA,1.854,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:02:00
Money Line – Game,New Taipei Kings,1.97,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:02:00
Handicap – Game,New Taipei CTBC DEA +1.0,1.787,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:02:00
Handicap – Game,New Taipei Kings -1.0,1.961,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:02:00
Total – Game,Over 192,1.854,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:02:00
Total – Game,Under 192,1.884,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:02:00
Money Line – Game,New Taipei CTBC DEA,1.847,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:34:07
Money Line – Game,New Taipei Kings,1.98,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:34:07
Handicap – Game,New Taipei CTBC DEA -1.0,1.847,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:34:07
Handicap – Game,New Taipei Kings +1.0,1.892,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:34:07
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:34:07
Total – Game,Under 192,1.9,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:34:07
Money Line – Game,New Taipei CTBC DEA,1.8,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:54:16
Money Line – Game,New Taipei Kings,2.03,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:54:16
Handicap – Game,New Taipei CTBC DEA -1.0,1.8,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:54:16
Handicap – Game,New Taipei Kings +1.0,1.943,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:54:16
Total – Game,Over 192,1.84,New Taipei CTBC DEA vs New Taipei Kings,2025-12-31 10:54:16
