team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Hsinchu Jko Lioneers,Taiwan Beer Leopards,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/hsinchu-jko-lioneers-vs-taiwan-beer-leopards/1621615663/,2.22,1.666,3.0,1.8,-3.0,1.943,191.5,1.917,191.5,1.819,2025-12-24 10:32:53
Hsinchu Jko Lioneers,Taiwan Beer Leopards,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/hsinchu-jko-lioneers-vs-taiwan-beer-leopards/1621615663/,2.22,1.666,3.0,1.8,-3.0,1.943,191.5,1.917,191.5,1.819,2025-12-24 10:46:14
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.9,1.917,1.0,1.833,-1.0,1.909,192.0,1.84,192.0,1.9,2025-12-31 04:07:53
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.9,1.917,1.0,1.833,-1.0,1.909,192.0,1.84,192.0,1.9,2025-12-31 04:42:43
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.892,1.925,1.0,1.819,-1.0,1.925,192.0,1.84,192.0,1.9,2025-12-31 05:54:50
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.892,1.925,1.0,1.819,-1.0,1.925,192.0,1.84,192.0,1.9,2025-12-31 07:07:58
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.892,1.925,1.0,1.819,-1.0,1.925,192.0,1.84,192.0,1.9,2025-12-31 07:42:21
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.892,1.925,1.0,1.819,-1.0,1.925,192.0,1.84,192.0,1.9,2025-12-31 08:00:32
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.877,1.943,1.0,1.806,-1.0,1.934,192.0,1.84,192.0,1.9,2025-12-31 08:43:37
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.877,1.943,1.0,1.806,-1.0,1.934,192.0,1.84,192.0,1.9,2025-12-31 09:06:10
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.877,1.943,1.0,1.806,-1.0,1.934,192.0,1.84,192.0,1.9,2025-12-31 09:46:03
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.854,1.97,1.0,1.787,-1.0,1.961,192.0,1.854,192.0,1.884,2025-12-31 10:02:00
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.847,1.98,-1.0,1.847,1.0,1.892,192.0,1.84,192.0,1.9,2025-12-31 10:34:07
New Taipei CTBC DEA,New Taipei Kings,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/new-taipei-ctbc-dea-vs-new-taipei-kings/1621646394/,1.813,2.01,-1.0,1.819,1.0,1.925,192.0,1.884,192.0,1.854,2025-12-31 10:54:16
Formosa Dreamers,Kaohsiung Aquas,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/formosa-dreamers-vs-kaohsiung-aquas/1626581024/,1.154,5.05,-10.5,1.793,10.5,1.952,197.0,1.909,197.0,1.833,2026-03-24 23:03:00
Formosa Dreamers,Kaohsiung Aquas,https://www.pinnacle.com/en/basketball/chinese-taipei-tpbl/formosa-dreamers-vs-kaohsiung-aquas/1626581024/,1.154,5.050,-10.5,1.793,+10.5,1.952,197,1.909,197,1.833,2026-03-24 23:57:02
